Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,106.79805334649498,2021,3,17,2021-03,1
2021-03-18,106.93458915166714,2021,3,18,2021-03,1
2021-03-19,107.18499118369341,2021,3,19,2021-03,1
2021-03-20,108.28740408372124,2021,3,20,2021-03,1
2021-03-21,111.16638133645337,2021,3,21,2021-03,1
2021-03-22,106.29387275958392,2021,3,22,2021-03,1
2021-03-23,104.43241850840467,2021,3,23,2021-03,1
2021-03-24,105.41634928280548,2021,3,24,2021-03,1
2021-03-25,105.98164790495692,2021,3,25,2021-03,1
2021-03-26,106.0829806339234,2021,3,26,2021-03,1
2021-03-27,106.21337307820234,2021,3,27,2021-03,1
2021-03-28,109.18873939290175,2021,3,28,2021-03,1
2021-03-29,105.98997275220772,2021,3,29,2021-03,1
2021-03-30,105.8931065294813,2021,3,30,2021-03,1
2021-03-31,105.48840873687024,2021,3,31,2021-03,1
2021-04-01,105.14963569037548,2021,4,1,2021-04,2
2021-04-02,105.06147184129563,2021,4,2,2021-04,2
2021-04-03,105.45226708974253,2021,4,3,2021-04,2
2021-04-04,107.38685137815203,2021,4,4,2021-04,2
2021-04-05,104.855576629072,2021,4,5,2021-04,2
2021-04-06,104.01705176748187,2021,4,6,2021-04,2
2021-04-07,105.04485054701703,2021,4,7,2021-04,2
2021-04-08,105.89783893954143,2021,4,8,2021-04,2
2021-04-09,104.89620263045623,2021,4,9,2021-04,2
2021-04-10,105.0459915970016,2021,4,10,2021-04,2
2021-04-11,105.67153298091759,2021,4,11,2021-04,2
2021-04-12,106.09130126170238,2021,4,12,2021-04,2
2021-04-13,106.88684455211632,2021,4,13,2021-04,2
2021-04-14,106.83236346709288,2021,4,14,2021-04,2
2021-04-15,104.7597293710766,2021,4,15,2021-04,2
2021-04-16,105.37208504927767,2021,4,16,2021-04,2
2021-04-17,106.90025243270816,2021,4,17,2021-04,2
2021-04-18,105.12124580208986,2021,4,18,2021-04,2
2021-04-19,104.62411520719566,2021,4,19,2021-04,2
2021-04-20,105.24163263537751,2021,4,20,2021-04,2
2021-04-21,105.23800290688807,2021,4,21,2021-04,2
2021-04-22,105.62253599456328,2021,4,22,2021-04,2
2021-04-23,105.85861534664006,2021,4,23,2021-04,2
2021-04-24,106.20773418447533,2021,4,24,2021-04,2
2021-04-25,106.95195272584546,2021,4,25,2021-04,2
2021-04-26,106.19793826964849,2021,4,26,2021-04,2
2021-04-27,106.45071614842949,2021,4,27,2021-04,2
2021-04-28,107.61853363708998,2021,4,28,2021-04,2
2021-04-29,106.98684239260483,2021,4,29,2021-04,2
2021-04-30,104.14979659597802,2021,4,30,2021-04,2
2021-05-01,105.0366819341944,2021,5,1,2021-05,3
2021-05-02,105.06695420713372,2021,5,2,2021-05,3
2021-05-03,103.24626333617113,2021,5,3,2021-05,3
2021-05-04,103.93925703929968,2021,5,4,2021-05,3
2021-05-05,106.00889981225752,2021,5,5,2021-05,3
2021-05-06,104.47212602510112,2021,5,6,2021-05,3
2021-05-07,105.57567960461782,2021,5,7,2021-05,3
2021-05-08,105.88629150821511,2021,5,8,2021-05,3
2021-05-09,106.61390600566278,2021,5,9,2021-05,3
2021-05-10,106.12694583845884,2021,5,10,2021-05,3
2021-05-11,106.12209322738143,2021,5,11,2021-05,3
2021-05-12,106.37530282210518,2021,5,12,2021-05,3
2021-05-13,106.5048097625956,2021,5,13,2021-05,3
2021-05-14,107.09077071931539,2021,5,14,2021-05,3
2021-05-15,107.17159585327893,2021,5,15,2021-05,3
2021-05-16,107.49004242548398,2021,5,16,2021-05,3
2021-05-17,109.04091716745579,2021,5,17,2021-05,3
2021-05-18,107.4179620889023,2021,5,18,2021-05,3
2021-05-19,104.94497586694264,2021,5,19,2021-05,3
2021-05-20,104.8545363874499,2021,5,20,2021-05,3
2021-05-21,105.13417325981811,2021,5,21,2021-05,3
2021-05-22,105.37895428023295,2021,5,22,2021-05,3
2021-05-23,102.40807413693227,2021,5,23,2021-05,3
2021-05-24,103.55333801901004,2021,5,24,2021-05,3
2021-05-25,105.4377339076809,2021,5,25,2021-05,3
2021-05-26,103.32747451491035,2021,5,26,2021-05,3
2021-05-27,105.83518267819429,2021,5,27,2021-05,3
2021-05-28,103.28141667605722,2021,5,28,2021-05,3
2021-05-29,104.24228290901338,2021,5,29,2021-05,3
2021-05-30,104.48627823181498,2021,5,30,2021-05,3
2021-05-31,105.40949778627547,2021,5,31,2021-05,3
2021-06-01,104.83570173260472,2021,6,1,2021-06,4
2021-06-02,105.3263201466397,2021,6,2,2021-06,4
2021-06-03,105.71178930620903,2021,6,3,2021-06,4
2021-06-04,107.60657084901331,2021,6,4,2021-06,4
2021-06-05,102.95152106187352,2021,6,5,2021-06,4
2021-06-06,103.87846324564023,2021,6,6,2021-06,4
2021-06-07,104.71522104441455,2021,6,7,2021-06,4
2021-06-08,104.9941336059364,2021,6,8,2021-06,4
2021-06-09,104.93795520646212,2021,6,9,2021-06,4
2021-06-10,105.52577805892173,2021,6,10,2021-06,4
2021-06-11,105.67928653687339,2021,6,11,2021-06,4
2021-06-12,105.93836226793552,2021,6,12,2021-06,4
2021-06-13,107.23988562060067,2021,6,13,2021-06,4
2021-06-14,106.28655313547709,2021,6,14,2021-06,4
2021-06-15,106.69766584690542,2021,6,15,2021-06,4
2021-06-16,107.05097245957671,2021,6,16,2021-06,4
2021-06-17,105.16805035993276,2021,6,17,2021-06,4
2021-06-18,106.17717678078769,2021,6,18,2021-06,4
2021-06-19,107.05089916108102,2021,6,19,2021-06,4
2021-06-20,103.94710181587666,2021,6,20,2021-06,4
2021-06-21,104.75354649816079,2021,6,21,2021-06,4
2021-06-22,105.53283115538761,2021,6,22,2021-06,4
2021-06-23,105.05297933394496,2021,6,23,2021-06,4
2021-06-24,104.75892430534232,2021,6,24,2021-06,4
2021-06-25,103.91960140005162,2021,6,25,2021-06,4
2021-06-26,104.51403703623046,2021,6,26,2021-06,4
2021-06-27,104.9502394652381,2021,6,27,2021-06,4
2021-06-28,105.38185255293374,2021,6,28,2021-06,4
2021-06-29,104.1711293034448,2021,6,29,2021-06,4
2021-06-30,102.94186130711505,2021,6,30,2021-06,4
2021-07-01,103.77434048545312,2021,7,1,2021-07,5
2021-07-02,103.37140444874471,2021,7,2,2021-07,5
2021-07-03,102.80480963739814,2021,7,3,2021-07,5
2021-07-04,103.23521495016475,2021,7,4,2021-07,5
2021-07-05,104.07114327828687,2021,7,5,2021-07,5
2021-07-06,103.63025472483488,2021,7,6,2021-07,5
2021-07-07,104.72663407930216,2021,7,7,2021-07,5
2021-07-08,102.62756649496914,2021,7,8,2021-07,5
2021-07-09,103.97782985464183,2021,7,9,2021-07,5
2021-07-10,103.24217671032775,2021,7,10,2021-07,5
2021-07-11,104.24630738149253,2021,7,11,2021-07,5
2021-07-12,103.31417819210917,2021,7,12,2021-07,5
2021-07-13,103.24837399285094,2021,7,13,2021-07,5
2021-07-14,102.63170770649057,2021,7,14,2021-07,5
2021-07-15,103.01476870781794,2021,7,15,2021-07,5
2021-07-16,103.60298188311494,2021,7,16,2021-07,5
2021-07-17,104.50898496030663,2021,7,17,2021-07,5
2021-07-18,105.34529909659692,2021,7,18,2021-07,5
2021-07-19,106.10676010165415,2021,7,19,2021-07,5
2021-07-20,106.58473158728489,2021,7,20,2021-07,5
2021-07-21,106.76732716735994,2021,7,21,2021-07,5
2021-07-22,106.63353623318709,2021,7,22,2021-07,5
2021-07-23,105.87159486877536,2021,7,23,2021-07,5
2021-07-24,105.6288271958545,2021,7,24,2021-07,5
2021-07-25,105.77463568164028,2021,7,25,2021-07,5
2021-07-26,105.8299741013138,2021,7,26,2021-07,5
2021-07-27,102.5103825540872,2021,7,27,2021-07,5
2021-07-28,102.86140262095118,2021,7,28,2021-07,5
2021-07-29,103.57702265021646,2021,7,29,2021-07,5
2021-07-30,102.93872826948274,2021,7,30,2021-07,5
2021-07-31,103.18964938013173,2021,7,31,2021-07,5
2021-08-01,103.72570307325738,2021,8,1,2021-08,6
2021-08-02,103.65471914978055,2021,8,2,2021-08,6
2021-08-03,104.09039131111727,2021,8,3,2021-08,6
2021-08-04,105.1935085293923,2021,8,4,2021-08,6
2021-08-05,105.38459462502037,2021,8,5,2021-08,6
2021-08-06,105.5835649356912,2021,8,6,2021-08,6
2021-08-07,105.4176232600714,2021,8,7,2021-08,6
2021-08-08,104.03439467841484,2021,8,8,2021-08,6
2021-08-09,102.44482799444236,2021,8,9,2021-08,6
2021-08-10,102.8158599532329,2021,8,10,2021-08,6
2021-08-11,103.36818183572298,2021,8,11,2021-08,6
2021-08-12,103.06743738126895,2021,8,12,2021-08,6
2021-08-13,104.41083458839093,2021,8,13,2021-08,6
2021-08-14,104.55098266456902,2021,8,14,2021-08,6
2021-08-15,102.40252541813571,2021,8,15,2021-08,6
2021-08-16,100.25457686049461,2021,8,16,2021-08,6
2021-08-17,101.28011366988007,2021,8,17,2021-08,6
2021-08-18,100.74107659544666,2021,8,18,2021-08,6
2021-08-19,102.08428869923168,2021,8,19,2021-08,6
2021-08-20,102.77838578849898,2021,8,20,2021-08,6
2021-08-21,103.15241477893635,2021,8,21,2021-08,6
2021-08-22,102.9204478904948,2021,8,22,2021-08,6
2021-08-23,103.89983664826785,2021,8,23,2021-08,6
2021-08-24,102.92406728037825,2021,8,24,2021-08,6
2021-08-25,102.8659853624788,2021,8,25,2021-08,6
2021-08-26,102.46287111591954,2021,8,26,2021-08,6
2021-08-27,101.60568887268394,2021,8,27,2021-08,6
2021-08-28,102.38398870661835,2021,8,28,2021-08,6
2021-08-29,102.56955659018634,2021,8,29,2021-08,6
2021-08-30,103.68150140964359,2021,8,30,2021-08,6
2021-08-31,103.30495638529098,2021,8,31,2021-08,6
2021-09-01,106.04681836320121,2021,9,1,2021-09,7
2021-09-02,102.17278828885186,2021,9,2,2021-09,7
2021-09-03,101.45880353275305,2021,9,3,2021-09,7
2021-09-04,100.96242678515844,2021,9,4,2021-09,7
2021-09-05,98.35159294991588,2021,9,5,2021-09,7
2021-09-06,99.45642145412982,2021,9,6,2021-09,7
2021-09-07,98.81489045504787,2021,9,7,2021-09,7
2021-09-08,101.13458859269795,2021,9,8,2021-09,7
2021-09-09,100.07636327059376,2021,9,9,2021-09,7
2021-09-10,100.68002226642876,2021,9,10,2021-09,7
2021-09-11,101.42273745163904,2021,9,11,2021-09,7
2021-09-12,101.25703553544058,2021,9,12,2021-09,7
2021-09-13,101.26791461055693,2021,9,13,2021-09,7
2021-09-14,102.10984775634698,2021,9,14,2021-09,7
2021-09-15,102.22378006247328,2021,9,15,2021-09,7
2021-09-16,100.23127006821124,2021,9,16,2021-09,7
2021-09-17,100.74122006523436,2021,9,17,2021-09,7
2021-09-18,101.64715511829658,2021,9,18,2021-09,7
2021-09-19,99.72116055937296,2021,9,19,2021-09,7
2021-09-20,100.64743522878842,2021,9,20,2021-09,7
2021-09-21,101.22013246932387,2021,9,21,2021-09,7
2021-09-22,102.24828228591129,2021,9,22,2021-09,7
2021-09-23,100.84662940570034,2021,9,23,2021-09,7
2021-09-24,100.97488588806301,2021,9,24,2021-09,7
2021-09-25,100.22408153859791,2021,9,25,2021-09,7
2021-09-26,99.9499588857952,2021,9,26,2021-09,7
2021-09-27,100.43114697661916,2021,9,27,2021-09,7
2021-09-28,100.82342481213279,2021,9,28,2021-09,7
2021-09-29,101.34799900166854,2021,9,29,2021-09,7
2021-09-30,102.0129862127265,2021,9,30,2021-09,7
2021-10-01,99.94802939311806,2021,10,1,2021-10,8
2021-10-02,99.21605378853863,2021,10,2,2021-10,8
2021-10-03,99.6279119756401,2021,10,3,2021-10,8
2021-10-04,100.49256930599542,2021,10,4,2021-10,8
2021-10-05,101.12858164122396,2021,10,5,2021-10,8
2021-10-06,100.7980606252263,2021,10,6,2021-10,8
2021-10-07,100.1132703909424,2021,10,7,2021-10,8
2021-10-08,100.48312798716942,2021,10,8,2021-10,8
2021-10-09,99.93051163102345,2021,10,9,2021-10,8
2021-10-10,99.56375350520757,2021,10,10,2021-10,8
2021-10-11,100.86175733804302,2021,10,11,2021-10,8
2021-10-12,102.89800108052427,2021,10,12,2021-10,8
2021-10-13,100.22718328396184,2021,10,13,2021-10,8
2021-10-14,98.55178863747345,2021,10,14,2021-10,8
2021-10-15,99.51824867873269,2021,10,15,2021-10,8
2021-10-16,101.90003656692967,2021,10,16,2021-10,8
2021-10-17,100.6837842026632,2021,10,17,2021-10,8
2021-10-18,97.81157975688363,2021,10,18,2021-10,8
2021-10-19,98.97277625077058,2021,10,19,2021-10,8
2021-10-20,101.11534905341931,2021,10,20,2021-10,8
2021-10-21,98.78045231235032,2021,10,21,2021-10,8
2021-10-22,99.2854084687694,2021,10,22,2021-10,8
2021-10-23,98.56248261299756,2021,10,23,2021-10,8
2021-10-24,98.4777569458955,2021,10,24,2021-10,8
2021-10-25,99.45704760667284,2021,10,25,2021-10,8
2021-10-26,98.28782392011671,2021,10,26,2021-10,8
2021-10-27,97.5419542865719,2021,10,27,2021-10,8
2021-10-28,98.37368868407809,2021,10,28,2021-10,8
2021-10-29,98.62807927351113,2021,10,29,2021-10,8
2021-10-30,98.97847614232356,2021,10,30,2021-10,8
2021-10-31,98.81628952261615,2021,10,31,2021-10,8
2021-11-01,99.58532966087763,2021,11,1,2021-11,9
2021-11-02,99.63575906869171,2021,11,2,2021-11,9
2021-11-03,99.71572987818728,2021,11,3,2021-11,9
2021-11-04,99.69893897092987,2021,11,4,2021-11,9
2021-11-05,99.78174519110495,2021,11,5,2021-11,9
2021-11-06,100.02101494114787,2021,11,6,2021-11,9
2021-11-07,99.85902829972217,2021,11,7,2021-11,9
2021-11-08,99.9246484520862,2021,11,8,2021-11,9
2021-11-09,99.20758130408456,2021,11,9,2021-11,9
2021-11-10,100.14362681191803,2021,11,10,2021-11,9
2021-11-11,100.2112777377911,2021,11,11,2021-11,9
2021-11-12,100.01651255956263,2021,11,12,2021-11,9
2021-11-13,99.69042705371193,2021,11,13,2021-11,9
2021-11-14,99.9998247593369,2021,11,14,2021-11,9
2021-11-15,99.97899525019653,2021,11,15,2021-11,9
2021-11-16,100.02733919728642,2021,11,16,2021-11,9
2021-11-17,100.03110736894705,2021,11,17,2021-11,9
2021-11-18,100.2975367588493,2021,11,18,2021-11,9
2021-11-19,100.70157565871466,2021,11,19,2021-11,9
2021-11-20,100.33697524665298,2021,11,20,2021-11,9
2021-11-21,100.99733015150193,2021,11,21,2021-11,9
2021-11-22,103.3378823625054,2021,11,22,2021-11,9
2021-11-23,100.44890824163637,2021,11,23,2021-11,9
2021-11-24,100.72318019257449,2021,11,24,2021-11,9
2021-11-25,100.18320284747871,2021,11,25,2021-11,9
2021-11-26,99.6723593384821,2021,11,26,2021-11,9
2021-11-27,99.55379345880823,2021,11,27,2021-11,9
2021-11-28,97.92655122968328,2021,11,28,2021-11,9
2021-11-29,98.35595699867548,2021,11,29,2021-11,9
2021-11-30,99.60359303280332,2021,11,30,2021-11,9
2021-12-01,100.69946278198842,2021,12,1,2021-12,10
2021-12-02,98.57214467534548,2021,12,2,2021-12,10
2021-12-03,98.15337500939273,2021,12,3,2021-12,10
2021-12-04,99.87116205083977,2021,12,4,2021-12,10
2021-12-05,97.53563498962329,2021,12,5,2021-12,10
2021-12-06,98.40362557835839,2021,12,6,2021-12,10
2021-12-07,100.03707889924553,2021,12,7,2021-12,10
2021-12-08,98.87516967832222,2021,12,8,2021-12,10
2021-12-09,96.15914715619894,2021,12,9,2021-12,10
2021-12-10,96.60355750673052,2021,12,10,2021-12,10
2021-12-11,97.74009057861413,2021,12,11,2021-12,10
2021-12-12,99.00735216453064,2021,12,12,2021-12,10
2021-12-13,99.28981205502816,2021,12,13,2021-12,10
2021-12-14,97.81354582357224,2021,12,14,2021-12,10
2021-12-15,98.90348412490756,2021,12,15,2021-12,10
2021-12-16,99.38832153199607,2021,12,16,2021-12,10
2021-12-17,102.96457908204678,2021,12,17,2021-12,10
2021-12-18,97.61962491747835,2021,12,18,2021-12,10
2021-12-19,96.27831481256403,2021,12,19,2021-12,10
2021-12-20,96.832412947605,2021,12,20,2021-12,10
2021-12-21,98.13631592103454,2021,12,21,2021-12,10
2021-12-22,97.9808023060982,2021,12,22,2021-12,10
2021-12-23,97.54330174158132,2021,12,23,2021-12,10
2021-12-24,98.57448682914305,2021,12,24,2021-12,10
2021-12-25,99.50022538546393,2021,12,25,2021-12,10
2021-12-26,97.70372602548656,2021,12,26,2021-12,10
2021-12-27,95.57915054598595,2021,12,27,2021-12,10
2021-12-28,92.40104314864585,2021,12,28,2021-12,10
2021-12-29,92.05551772059678,2021,12,29,2021-12,10
2021-12-30,94.59987727255402,2021,12,30,2021-12,10
2021-12-31,94.9041313304865,2021,12,31,2021-12,10
2022-01-01,91.23352168370145,2022,1,1,2022-01,11
2022-01-02,91.09055657040122,2022,1,2,2022-01,11
2022-01-03,90.25514767401688,2022,1,3,2022-01,11
2022-01-04,93.06293519227583,2022,1,4,2022-01,11
2022-01-05,89.71356675000318,2022,1,5,2022-01,11
2022-01-06,90.06576948792673,2022,1,6,2022-01,11
2022-01-07,90.58732447009874,2022,1,7,2022-01,11
2022-01-08,90.37048171344456,2022,1,8,2022-01,11
2022-01-09,91.63627899756348,2022,1,9,2022-01,11
2022-01-10,91.44028941055221,2022,1,10,2022-01,11
2022-01-11,94.10784072046707,2022,1,11,2022-01,11
2022-01-12,93.44043443409002,2022,1,12,2022-01,11
2022-01-13,90.78236700387518,2022,1,13,2022-01,11
2022-01-14,91.07293984603913,2022,1,14,2022-01,11
2022-01-15,89.059770627949,2022,1,15,2022-01,11
2022-01-16,90.49585629843655,2022,1,16,2022-01,11
2022-01-17,92.02643416142148,2022,1,17,2022-01,11
2022-01-18,93.88693618318426,2022,1,18,2022-01,11
2022-01-19,90.73131125832074,2022,1,19,2022-01,11
2022-01-20,91.59011223604715,2022,1,20,2022-01,11
2022-01-21,89.41726368706816,2022,1,21,2022-01,11
2022-01-22,89.14170788671339,2022,1,22,2022-01,11
2022-01-23,90.27744623383155,2022,1,23,2022-01,11
2022-01-24,90.63587607854717,2022,1,24,2022-01,11
2022-01-25,90.70365174182766,2022,1,25,2022-01,11
2022-01-26,92.35027296417353,2022,1,26,2022-01,11
2022-01-27,92.26947362155335,2022,1,27,2022-01,11
2022-01-28,92.80996011545332,2022,1,28,2022-01,11
2022-01-29,92.82435874891861,2022,1,29,2022-01,11
2022-01-30,92.66214439353566,2022,1,30,2022-01,11
2022-01-31,92.64193902287235,2022,1,31,2022-01,11
2022-02-01,93.17309401716493,2022,2,1,2022-02,12
2022-02-02,93.41493406940815,2022,2,2,2022-02,12
2022-02-03,93.28585694363099,2022,2,3,2022-02,12
2022-02-04,92.75252676905681,2022,2,4,2022-02,12
2022-02-05,93.37030664382739,2022,2,5,2022-02,12
2022-02-06,92.26889610006931,2022,2,6,2022-02,12
2022-02-07,91.16974659474118,2022,2,7,2022-02,12
2022-02-08,91.88643925834177,2022,2,8,2022-02,12
2022-02-09,91.98122675497679,2022,2,9,2022-02,12
2022-02-10,92.87496287009239,2022,2,10,2022-02,12
2022-02-11,87.43851363005082,2022,2,11,2022-02,12
2022-02-12,88.47414686482077,2022,2,12,2022-02,12
2022-02-13,90.83655837076039,2022,2,13,2022-02,12
2022-02-14,91.47284551852282,2022,2,14,2022-02,12
2022-02-15,94.23984684979534,2022,2,15,2022-02,12
2022-02-16,94.7668779037057,2022,2,16,2022-02,12
2022-02-17,95.1685968229849,2022,2,17,2022-02,12
2022-02-18,93.99228235982154,2022,2,18,2022-02,12
2022-02-19,94.38087238563473,2022,2,19,2022-02,12
2022-02-20,94.77636238687201,2022,2,20,2022-02,12
2022-02-21,94.26059562744193,2022,2,21,2022-02,12
2022-02-22,91.95632241437762,2022,2,22,2022-02,12
2022-02-23,90.14327833344248,2022,2,23,2022-02,12
2022-02-24,90.0845960697573,2022,2,24,2022-02,12
2022-02-25,91.44262333824476,2022,2,25,2022-02,12
2022-02-26,92.54338389923373,2022,2,26,2022-02,12
