Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,38.24936868686869,2021,3,17,2021-03,1
2021-03-18,38.50820707070707,2021,3,18,2021-03,1
2021-03-19,38.544191919191924,2021,3,19,2021-03,1
2021-03-20,40.72537878787878,2021,3,20,2021-03,1
2021-03-21,46.14078282828283,2021,3,21,2021-03,1
2021-03-22,40.02777777777778,2021,3,22,2021-03,1
2021-03-23,41.172222222222224,2021,3,23,2021-03,1
2021-03-24,43.817721167721174,2021,3,24,2021-03,1
2021-03-25,43.81155303030303,2021,3,25,2021-03,1
2021-03-26,43.73516414141414,2021,3,26,2021-03,1
2021-03-27,44.24242424242424,2021,3,27,2021-03,1
2021-03-28,47.343118686868685,2021,3,28,2021-03,1
2021-03-29,44.08964646464647,2021,3,29,2021-03,1
2021-03-30,44.10763888888889,2021,3,30,2021-03,1
2021-03-31,43.89488636363637,2021,3,31,2021-03,1
2021-04-01,44.00599747474748,2021,4,1,2021-04,2
2021-04-02,44.19728535353535,2021,4,2,2021-04,2
2021-04-03,43.804608585858574,2021,4,3,2021-04,2
2021-04-04,48.131079148124606,2021,4,4,2021-04,2
2021-04-05,43.316287878787875,2021,4,5,2021-04,2
2021-04-06,43.269255050505045,2021,4,6,2021-04,2
2021-04-07,43.09722222222222,2021,4,7,2021-04,2
2021-04-08,43.96433080808082,2021,4,8,2021-04,2
2021-04-09,42.99558080808081,2021,4,9,2021-04,2
2021-04-10,43.40751262626263,2021,4,10,2021-04,2
2021-04-11,44.57007575757576,2021,4,11,2021-04,2
2021-04-12,43.82102272727273,2021,4,12,2021-04,2
2021-04-13,45.312184343434346,2021,4,13,2021-04,2
2021-04-14,45.04608585858586,2021,4,14,2021-04,2
2021-04-15,43.18150252525253,2021,4,15,2021-04,2
2021-04-16,43.969065656565654,2021,4,16,2021-04,2
2021-04-17,48.18718434343434,2021,4,17,2021-04,2
2021-04-18,44.796401515151516,2021,4,18,2021-04,2
2021-04-19,43.72159090909091,2021,4,19,2021-04,2
2021-04-20,44.11047979797979,2021,4,20,2021-04,2
2021-04-21,43.499684343434346,2021,4,21,2021-04,2
2021-04-22,43.59501262626262,2021,4,22,2021-04,2
2021-04-23,43.68402777777778,2021,4,23,2021-04,2
2021-04-24,44.56534090909091,2021,4,24,2021-04,2
2021-04-25,43.91003787878788,2021,4,25,2021-04,2
2021-04-26,43.19444444444445,2021,4,26,2021-04,2
2021-04-27,44.310921717171716,2021,4,27,2021-04,2
2021-04-28,46.022727272727266,2021,4,28,2021-04,2
2021-04-29,49.4905303030303,2021,4,29,2021-04,2
2021-04-30,43.59943181818182,2021,4,30,2021-04,2
2021-05-01,44.779356060606055,2021,5,1,2021-05,3
2021-05-02,44.75715856113584,2021,5,2,2021-05,3
2021-05-03,43.13301767676767,2021,5,3,2021-05,3
2021-05-04,41.51767676767678,2021,5,4,2021-05,3
2021-05-05,47.69421487603306,2021,5,5,2021-05,3
2021-05-06,43.407828282828284,2021,5,6,2021-05,3
2021-05-07,45.15498737373737,2021,5,7,2021-05,3
2021-05-08,43.654356060606055,2021,5,8,2021-05,3
2021-05-09,44.121212121212125,2021,5,9,2021-05,3
2021-05-10,44.43232909380358,2021,5,10,2021-05,3
2021-05-11,43.58158068478869,2021,5,11,2021-05,3
2021-05-12,44.37317933802309,2021,5,12,2021-05,3
2021-05-13,43.977963714722186,2021,5,13,2021-05,3
2021-05-14,45.34769794935633,2021,5,14,2021-05,3
2021-05-15,45.094381313131315,2021,5,15,2021-05,3
2021-05-16,45.46527777777778,2021,5,16,2021-05,3
2021-05-17,51.01767676767676,2021,5,17,2021-05,3
2021-05-18,44.84785353535353,2021,5,18,2021-05,3
2021-05-19,45.04959521687463,2021,5,19,2021-05,3
2021-05-20,47.14772727272726,2021,5,20,2021-05,3
2021-05-21,46.0530303030303,2021,5,21,2021-05,3
2021-05-22,43.23137626262628,2021,5,22,2021-05,3
2021-05-23,43.790719696969695,2021,5,23,2021-05,3
2021-05-24,48.04766414141414,2021,5,24,2021-05,3
2021-05-25,43.511489898989886,2021,5,25,2021-05,3
2021-05-26,43.5050505050505,2021,5,26,2021-05,3
2021-05-27,52.35164141414141,2021,5,27,2021-05,3
2021-05-28,43.52241161616162,2021,5,28,2021-05,3
2021-05-29,43.77716503267975,2021,5,29,2021-05,3
2021-05-30,41.40625000000001,2021,5,30,2021-05,3
2021-05-31,46.318733221140356,2021,5,31,2021-05,3
2021-06-01,46.06155303030303,2021,6,1,2021-06,4
2021-06-02,44.751578282828284,2021,6,2,2021-06,4
2021-06-03,44.30808080808081,2021,6,3,2021-06,4
2021-06-04,52.928093434343445,2021,6,4,2021-06,4
2021-06-05,43.62878787878788,2021,6,5,2021-06,4
2021-06-06,44.39646464646464,2021,6,6,2021-06,4
2021-06-07,45.095079232693905,2021,6,7,2021-06,4
2021-06-08,44.76170907185059,2021,6,8,2021-06,4
2021-06-09,44.318223508671615,2021,6,9,2021-06,4
2021-06-10,44.85790470494418,2021,6,10,2021-06,4
2021-06-11,44.365981191190514,2021,6,11,2021-06,4
2021-06-12,44.379145622895614,2021,6,12,2021-06,4
2021-06-13,46.267361111111114,2021,6,13,2021-06,4
2021-06-14,45.546352702280544,2021,6,14,2021-06,4
2021-06-15,46.06898399128905,2021,6,15,2021-06,4
2021-06-16,46.05113636363636,2021,6,16,2021-06,4
2021-06-17,43.564393939393945,2021,6,17,2021-06,4
2021-06-18,44.73626033057852,2021,6,18,2021-06,4
2021-06-19,47.425189393939405,2021,6,19,2021-06,4
2021-06-20,43.464646464646464,2021,6,20,2021-06,4
2021-06-21,44.2473144000729,2021,6,21,2021-06,4
2021-06-22,44.42143303161485,2021,6,22,2021-06,4
2021-06-23,43.44551342754468,2021,6,23,2021-06,4
2021-06-24,44.77327249770431,2021,6,24,2021-06,4
2021-06-25,45.44255050505051,2021,6,25,2021-06,4
2021-06-26,44.90719696969697,2021,6,26,2021-06,4
2021-06-27,45.882260101010104,2021,6,27,2021-06,4
2021-06-28,45.23074494949495,2021,6,28,2021-06,4
2021-06-29,45.20548359468814,2021,6,29,2021-06,4
2021-06-30,44.5566478575625,2021,6,30,2021-06,4
2021-07-01,44.80961016595346,2021,7,1,2021-07,5
2021-07-02,46.784406565656575,2021,7,2,2021-07,5
2021-07-03,45.07796717171716,2021,7,3,2021-07,5
2021-07-04,44.44381313131313,2021,7,4,2021-07,5
2021-07-05,45.966459116634006,2021,7,5,2021-07,5
2021-07-06,44.227763728917495,2021,7,6,2021-07,5
2021-07-07,51.96277629989463,2021,7,7,2021-07,5
2021-07-08,49.32853535353535,2021,7,8,2021-07,5
2021-07-09,45.52885472370767,2021,7,9,2021-07,5
2021-07-10,45.5719696969697,2021,7,10,2021-07,5
2021-07-11,45.58554734407008,2021,7,11,2021-07,5
2021-07-12,44.85921717171718,2021,7,12,2021-07,5
2021-07-13,44.71622474747474,2021,7,13,2021-07,5
2021-07-14,44.68465909090909,2021,7,14,2021-07,5
2021-07-15,45.98439961542026,2021,7,15,2021-07,5
2021-07-16,43.07670454545455,2021,7,16,2021-07,5
2021-07-17,43.18035420818792,2021,7,17,2021-07,5
2021-07-18,43.66382575757576,2021,7,18,2021-07,5
2021-07-19,44.35037878787879,2021,7,19,2021-07,5
2021-07-20,45.2114898989899,2021,7,20,2021-07,5
2021-07-21,45.090593434343425,2021,7,21,2021-07,5
2021-07-22,45.21054292929293,2021,7,22,2021-07,5
2021-07-23,45.44349747474747,2021,7,23,2021-07,5
2021-07-24,45.651515151515156,2021,7,24,2021-07,5
2021-07-25,45.58396464646464,2021,7,25,2021-07,5
2021-07-26,45.67494132698999,2021,7,26,2021-07,5
2021-07-27,44.54513888888889,2021,7,27,2021-07,5
2021-07-28,45.23484848484849,2021,7,28,2021-07,5
2021-07-29,46.063950254291164,2021,7,29,2021-07,5
2021-07-30,46.06484203927385,2021,7,30,2021-07,5
2021-07-31,46.307765151515156,2021,7,31,2021-07,5
2021-08-01,46.76641414141414,2021,8,1,2021-08,6
2021-08-02,45.68465909090909,2021,8,2,2021-08,6
2021-08-03,47.30027246145667,2021,8,3,2021-08,6
2021-08-04,44.49810606060606,2021,8,4,2021-08,6
2021-08-05,45.57133838383838,2021,8,5,2021-08,6
2021-08-06,44.97411616161616,2021,8,6,2021-08,6
2021-08-07,44.63383838383839,2021,8,7,2021-08,6
2021-08-08,46.017992424242415,2021,8,8,2021-08,6
2021-08-09,47.26699026983119,2021,8,9,2021-08,6
2021-08-10,43.470328282828284,2021,8,10,2021-08,6
2021-08-11,44.55018939393939,2021,8,11,2021-08,6
2021-08-12,46.22758838383838,2021,8,12,2021-08,6
2021-08-13,47.45833333333334,2021,8,13,2021-08,6
2021-08-14,52.71306818181818,2021,8,14,2021-08,6
2021-08-15,47.862689393939384,2021,8,15,2021-08,6
2021-08-16,43.91603535353536,2021,8,16,2021-08,6
2021-08-17,43.463068181818194,2021,8,17,2021-08,6
2021-08-18,43.492739898989896,2021,8,18,2021-08,6
2021-08-19,43.343434343434346,2021,8,19,2021-08,6
2021-08-20,43.160037878787875,2021,8,20,2021-08,6
2021-08-21,43.256313131313135,2021,8,21,2021-08,6
2021-08-22,43.502209595959606,2021,8,22,2021-08,6
2021-08-23,44.31123737373736,2021,8,23,2021-08,6
2021-08-24,43.428030303030305,2021,8,24,2021-08,6
2021-08-25,43.62594696969697,2021,8,25,2021-08,6
2021-08-26,44.49936868686868,2021,8,26,2021-08,6
2021-08-27,44.8705808080808,2021,8,27,2021-08,6
2021-08-28,45.339646464646464,2021,8,28,2021-08,6
2021-08-29,45.24905303030303,2021,8,29,2021-08,6
2021-08-30,45.48169191919191,2021,8,30,2021-08,6
2021-08-31,44.972537878787875,2021,8,31,2021-08,6
2021-09-01,47.17203282828282,2021,9,1,2021-09,7
2021-09-02,49.323619113671924,2021,9,2,2021-09,7
2021-09-03,48.22916666666666,2021,9,3,2021-09,7
2021-09-04,46.550189393939384,2021,9,4,2021-09,7
2021-09-05,43.85858585858586,2021,9,5,2021-09,7
2021-09-06,43.770202020202014,2021,9,6,2021-09,7
2021-09-07,44.02051767676768,2021,9,7,2021-09,7
2021-09-08,44.88588463304373,2021,9,8,2021-09,7
2021-09-09,45.879734848484844,2021,9,9,2021-09,7
