Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,27.736359126984127,2021,3,17,2021-03,1
2021-03-18,25.07936507936508,2021,3,18,2021-03,1
2021-03-19,25.165199383949382,2021,3,19,2021-03,1
2021-03-20,25.026041666666668,2021,3,20,2021-03,1
2021-03-21,28.039710097001763,2021,3,21,2021-03,1
2021-03-22,27.86116834554334,2021,3,22,2021-03,1
2021-03-23,26.51884920634921,2021,3,23,2021-03,1
2021-03-24,26.89905753968254,2021,3,24,2021-03,1
2021-03-25,27.925595238095237,2021,3,25,2021-03,1
2021-03-26,28.31795634920635,2021,3,26,2021-03,1
2021-03-27,28.276537698412703,2021,3,27,2021-03,1
2021-03-28,29.30530753968255,2021,3,28,2021-03,1
2021-03-29,30.832589285714295,2021,3,29,2021-03,1
2021-03-30,30.258928571428566,2021,3,30,2021-03,1
2021-03-31,30.78298611111111,2021,3,31,2021-03,1
2021-04-01,30.905933699237274,2021,4,1,2021-04,2
2021-04-02,30.977706438380597,2021,4,2,2021-04,2
2021-04-03,32.66989087301588,2021,4,3,2021-04,2
2021-04-04,33.76512896825397,2021,4,4,2021-04,2
2021-04-05,31.226934523809522,2021,4,5,2021-04,2
2021-04-06,31.46230626684636,2021,4,6,2021-04,2
2021-04-07,31.76959325396826,2021,4,7,2021-04,2
2021-04-08,32.343501984126995,2021,4,8,2021-04,2
2021-04-09,33.457589285714285,2021,4,9,2021-04,2
2021-04-10,31.72321428571429,2021,4,10,2021-04,2
2021-04-11,32.11855158730158,2021,4,11,2021-04,2
2021-04-12,32.39037698412698,2021,4,12,2021-04,2
2021-04-13,34.669813510266486,2021,4,13,2021-04,2
2021-04-14,32.8468925070028,2021,4,14,2021-04,2
2021-04-15,33.09970238095239,2021,4,15,2021-04,2
2021-04-16,33.20039682539683,2021,4,16,2021-04,2
2021-04-17,36.77108134920635,2021,4,17,2021-04,2
2021-04-18,37.358630952380956,2021,4,18,2021-04,2
2021-04-19,34.24429563492063,2021,4,19,2021-04,2
2021-04-20,33.13467261904761,2021,4,20,2021-04,2
2021-04-21,33.22767857142857,2021,4,21,2021-04,2
2021-04-22,33.201636904761905,2021,4,22,2021-04,2
2021-04-23,33.57415674603175,2021,4,23,2021-04,2
2021-04-24,33.95882936507937,2021,4,24,2021-04,2
2021-04-25,34.70138888888888,2021,4,25,2021-04,2
2021-04-26,33.16021825396825,2021,4,26,2021-04,2
2021-04-27,33.51364087301587,2021,4,27,2021-04,2
2021-04-28,33.67435515873016,2021,4,28,2021-04,2
2021-04-29,34.187251984126995,2021,4,29,2021-04,2
2021-04-30,36.408730158730165,2021,4,30,2021-04,2
2021-05-01,33.157738095238095,2021,5,1,2021-05,3
2021-05-02,33.375,2021,5,2,2021-05,3
2021-05-03,33.88343253968253,2021,5,3,2021-05,3
2021-05-04,33.487847222222214,2021,5,4,2021-05,3
2021-05-05,34.01587301587302,2021,5,5,2021-05,3
2021-05-06,33.84287464985995,2021,5,6,2021-05,3
2021-05-07,33.923770725286815,2021,5,7,2021-05,3
2021-05-08,34.97743055555555,2021,5,8,2021-05,3
2021-05-09,35.777281746031754,2021,5,9,2021-05,3
2021-05-10,34.56929515333642,2021,5,10,2021-05,3
2021-05-11,33.50090452847805,2021,5,11,2021-05,3
