Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,40.08074846959472,2021,3,17,2021-03,1
2021-03-18,39.88420893719807,2021,3,18,2021-03,1
2021-03-19,39.75397896185939,2021,3,19,2021-03,1
2021-03-20,40.77861341556993,2021,3,20,2021-03,1
2021-03-21,43.73248792270531,2021,3,21,2021-03,1
2021-03-22,40.45123792270531,2021,3,22,2021-03,1
2021-03-23,39.391696859903384,2021,3,23,2021-03,1
2021-03-24,39.7391304347826,2021,3,24,2021-03,1
2021-03-25,40.08772877959574,2021,3,25,2021-03,1
2021-03-26,39.729594439377045,2021,3,26,2021-03,1
2021-03-27,39.80999573742542,2021,3,27,2021-03,1
2021-03-28,43.82455647176412,2021,3,28,2021-03,1
2021-03-29,41.15458937198069,2021,3,29,2021-03,1
2021-03-30,39.966015646203125,2021,3,30,2021-03,1
2021-03-31,40.300422705314006,2021,3,31,2021-03,1
2021-04-01,40.7777059896625,2021,4,1,2021-04,2
2021-04-02,40.69580314009661,2021,4,2,2021-04,2
2021-04-03,40.746980676328505,2021,4,3,2021-04,2
2021-04-04,42.387735000506744,2021,4,4,2021-04,2
2021-04-05,41.547554347826086,2021,4,5,2021-04,2
2021-04-06,40.22494066923414,2021,4,6,2021-04,2
2021-04-07,40.583031400966185,2021,4,7,2021-04,2
2021-04-08,40.81023550724638,2021,4,8,2021-04,2
2021-04-09,40.89900362318841,2021,4,9,2021-04,2
2021-04-10,40.60884661835748,2021,4,10,2021-04,2
2021-04-11,40.84661835748791,2021,4,11,2021-04,2
2021-04-12,40.79378019323671,2021,4,12,2021-04,2
2021-04-13,41.14538043478261,2021,4,13,2021-04,2
2021-04-14,41.53472222222222,2021,4,14,2021-04,2
2021-04-15,41.05012077294685,2021,4,15,2021-04,2
2021-04-16,41.15806159420289,2021,4,16,2021-04,2
2021-04-17,43.54060990338164,2021,4,17,2021-04,2
2021-04-18,42.01449275362317,2021,4,18,2021-04,2
2021-04-19,40.922252415458935,2021,4,19,2021-04,2
2021-04-20,40.72614734299518,2021,4,20,2021-04,2
2021-04-21,40.27381465153205,2021,4,21,2021-04,2
2021-04-22,40.47327898550723,2021,4,22,2021-04,2
2021-04-23,40.75075483091787,2021,4,23,2021-04,2
2021-04-24,41.04468599033817,2021,4,24,2021-04,2
2021-04-25,41.1304347826087,2021,4,25,2021-04,2
2021-04-26,40.834842995169076,2021,4,26,2021-04,2
2021-04-27,40.845561594202906,2021,4,27,2021-04,2
2021-04-28,41.40262681159421,2021,4,28,2021-04,2
2021-04-29,44.421799516908216,2021,4,29,2021-04,2
2021-04-30,41.00815217391305,2021,4,30,2021-04,2
2021-05-01,42.78799491571232,2021,5,1,2021-05,3
2021-05-02,43.394105140029055,2021,5,2,2021-05,3
2021-05-03,40.228102513428595,2021,5,3,2021-05,3
2021-05-04,40.218297101449274,2021,5,4,2021-05,3
2021-05-05,42.1328502415459,2021,5,5,2021-05,3
2021-05-06,40.15525362318841,2021,5,6,2021-05,3
2021-05-07,40.58574879227052,2021,5,7,2021-05,3
2021-05-08,40.96920289855071,2021,5,8,2021-05,3
2021-05-09,41.41243961352656,2021,5,9,2021-05,3
2021-05-10,40.883152173913054,2021,5,10,2021-05,3
2021-05-11,40.848637248539916,2021,5,11,2021-05,3
2021-05-12,40.91148424543945,2021,5,12,2021-05,3
2021-05-13,40.97021910375658,2021,5,13,2021-05,3
2021-05-14,41.231884057971016,2021,5,14,2021-05,3
2021-05-15,41.35867876085268,2021,5,15,2021-05,3
2021-05-16,41.88405797101449,2021,5,16,2021-05,3
2021-05-17,42.88659166920036,2021,5,17,2021-05,3
2021-05-18,43.00489130434784,2021,5,18,2021-05,3
2021-05-19,42.2145229468599,2021,5,19,2021-05,3
2021-05-20,40.60265700483091,2021,5,20,2021-05,3
2021-05-21,44.55457089552238,2021,5,21,2021-05,3
2021-05-22,44.16137850589094,2021,5,22,2021-05,3
2021-05-23,40.71627551669028,2021,5,23,2021-05,3
2021-05-24,40.05695706251352,2021,5,24,2021-05,3
2021-05-25,41.407124933261024,2021,5,25,2021-05,3
2021-05-26,40.562633322736346,2021,5,26,2021-05,3
2021-05-27,42.347383252818034,2021,5,27,2021-05,3
2021-05-28,40.50286835748793,2021,5,28,2021-05,3
2021-05-29,40.91847826086956,2021,5,29,2021-05,3
2021-05-30,40.92074275362319,2021,5,30,2021-05,3
2021-05-31,40.860194047876554,2021,5,31,2021-05,3
2021-06-01,40.75499383688871,2021,6,1,2021-06,4
2021-06-02,41.143869871656214,2021,6,2,2021-06,4
2021-06-03,41.26545485089536,2021,6,3,2021-06,4
2021-06-04,47.839174258561876,2021,6,4,2021-06,4
2021-06-05,40.43946256038647,2021,6,5,2021-06,4
2021-06-06,41.06189613526572,2021,6,6,2021-06,4
2021-06-07,41.26841787439614,2021,6,7,2021-06,4
2021-06-08,41.658363526570064,2021,6,8,2021-06,4
2021-06-09,41.12914190386821,2021,6,9,2021-06,4
2021-06-10,41.239603462157795,2021,6,10,2021-06,4
