Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,45.754464285714285,2021,3,17,2021-03,1
2021-03-18,46.02628968253968,2021,3,18,2021-03,1
2021-03-19,45.950892857142854,2021,3,19,2021-03,1
2021-03-20,48.38095238095237,2021,3,20,2021-03,1
2021-03-21,49.76835317460318,2021,3,21,2021-03,1
2021-03-22,48.28472222222222,2021,3,22,2021-03,1
2021-03-23,46.16517857142857,2021,3,23,2021-03,1
2021-03-24,45.93601190476191,2021,3,24,2021-03,1
2021-03-25,46.17857142857143,2021,3,25,2021-03,1
2021-03-26,46.27678571428572,2021,3,26,2021-03,1
2021-03-27,46.13244047619048,2021,3,27,2021-03,1
2021-03-28,50.343253968253975,2021,3,28,2021-03,1
2021-03-29,45.81845238095239,2021,3,29,2021-03,1
2021-03-30,46.320436507936506,2021,3,30,2021-03,1
2021-03-31,46.37152777777778,2021,3,31,2021-03,1
2021-04-01,46.39186507936508,2021,4,1,2021-04,2
2021-04-02,46.549107142857146,2021,4,2,2021-04,2
2021-04-03,46.74255952380951,2021,4,3,2021-04,2
2021-04-04,51.02876984126984,2021,4,4,2021-04,2
2021-04-05,46.49107142857143,2021,4,5,2021-04,2
2021-04-06,45.67261904761905,2021,4,6,2021-04,2
2021-04-07,45.485615079365076,2021,4,7,2021-04,2
2021-04-08,46.126984126984134,2021,4,8,2021-04,2
2021-04-09,45.93055555555555,2021,4,9,2021-04,2
2021-04-10,46.15450310559006,2021,4,10,2021-04,2
2021-04-11,46.49751984126984,2021,4,11,2021-04,2
2021-04-12,46.62549603174604,2021,4,12,2021-04,2
2021-04-13,47.71626984126984,2021,4,13,2021-04,2
2021-04-14,49.03224206349206,2021,4,14,2021-04,2
2021-04-15,45.803075396825406,2021,4,15,2021-04,2
2021-04-16,46.169642857142854,2021,4,16,2021-04,2
2021-04-17,50.80208333333332,2021,4,17,2021-04,2
2021-04-18,48.77480158730158,2021,4,18,2021-04,2
2021-04-19,45.51537698412698,2021,4,19,2021-04,2
2021-04-20,45.93749999999999,2021,4,20,2021-04,2
2021-04-21,45.918650793650784,2021,4,21,2021-04,2
2021-04-22,45.852182539682545,2021,4,22,2021-04,2
2021-04-23,45.822420634920626,2021,4,23,2021-04,2
2021-04-24,46.30753968253969,2021,4,24,2021-04,2
2021-04-25,46.05208333333333,2021,4,25,2021-04,2
2021-04-26,46.1031746031746,2021,4,26,2021-04,2
2021-04-27,46.801091269841265,2021,4,27,2021-04,2
2021-04-28,48.56001984126984,2021,4,28,2021-04,2
2021-04-29,53.375992063492056,2021,4,29,2021-04,2
2021-04-30,46.670634920634924,2021,4,30,2021-04,2
2021-05-01,48.55654761904761,2021,5,1,2021-05,3
2021-05-02,48.63591269841271,2021,5,2,2021-05,3
2021-05-03,45.36656746031746,2021,5,3,2021-05,3
2021-05-04,45.77579365079364,2021,5,4,2021-05,3
2021-05-05,51.884424603174594,2021,5,5,2021-05,3
2021-05-06,45.38839285714285,2021,5,6,2021-05,3
2021-05-07,46.38343253968254,2021,5,7,2021-05,3
2021-05-08,46.28025793650794,2021,5,8,2021-05,3
2021-05-09,46.75843253968253,2021,5,9,2021-05,3
2021-05-10,46.042658730158735,2021,5,10,2021-05,3
2021-05-11,46.01140873015873,2021,5,11,2021-05,3
2021-05-12,46.198412698412696,2021,5,12,2021-05,3
2021-05-13,46.63045634920635,2021,5,13,2021-05,3
2021-05-14,46.92063492063492,2021,5,14,2021-05,3
2021-05-15,47.16269841269842,2021,5,15,2021-05,3
2021-05-16,48.88045634920635,2021,5,16,2021-05,3
2021-05-17,55.16021825396825,2021,5,17,2021-05,3
2021-05-18,47.12351190476191,2021,5,18,2021-05,3
2021-05-19,45.58134920634921,2021,5,19,2021-05,3
