Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,32.09837962962963,2021,3,17,2021-03,1
2021-03-18,32.11265432098765,2021,3,18,2021-03,1
2021-03-19,32.19086160752828,2021,3,19,2021-03,1
2021-03-20,33.1033950617284,2021,3,20,2021-03,1
2021-03-21,35.599151234567906,2021,3,21,2021-03,1
2021-03-22,34.16550925925926,2021,3,22,2021-03,1
2021-03-23,32.90586419753086,2021,3,23,2021-03,1
2021-03-24,33.26543209876544,2021,3,24,2021-03,1
2021-03-25,33.91550925925925,2021,3,25,2021-03,1
2021-03-26,33.338348765432094,2021,3,26,2021-03,1
2021-03-27,33.32445987654321,2021,3,27,2021-03,1
2021-03-28,36.8653549382716,2021,3,28,2021-03,1
2021-03-29,33.91498316498316,2021,3,29,2021-03,1
2021-03-30,32.27314814814815,2021,3,30,2021-03,1
2021-03-31,32.20679012345679,2021,3,31,2021-03,1
2021-04-01,32.157407407407405,2021,4,1,2021-04,2
2021-04-02,32.21219135802469,2021,4,2,2021-04,2
2021-04-03,32.45717592592593,2021,4,3,2021-04,2
2021-04-04,34.82460016835017,2021,4,4,2021-04,2
2021-04-05,31.992669753086417,2021,4,5,2021-04,2
2021-04-06,33.10743583495777,2021,4,6,2021-04,2
2021-04-07,31.959876543209873,2021,4,7,2021-04,2
2021-04-08,31.95138888888889,2021,4,8,2021-04,2
2021-04-09,32.66859567901234,2021,4,9,2021-04,2
2021-04-10,31.96913580246913,2021,4,10,2021-04,2
2021-04-11,32.38657407407408,2021,4,11,2021-04,2
2021-04-12,32.24729938271605,2021,4,12,2021-04,2
2021-04-13,32.42746913580247,2021,4,13,2021-04,2
2021-04-14,33.03549382716049,2021,4,14,2021-04,2
2021-04-15,31.98109567901234,2021,4,15,2021-04,2
2021-04-16,32.25424382716049,2021,4,16,2021-04,2
2021-04-17,35.42785493827161,2021,4,17,2021-04,2
2021-04-18,36.175925925925924,2021,4,18,2021-04,2
2021-04-19,33.53742283950617,2021,4,19,2021-04,2
2021-04-20,32.07922194582643,2021,4,20,2021-04,2
2021-04-21,31.80463134574977,2021,4,21,2021-04,2
2021-04-22,32.02929795467109,2021,4,22,2021-04,2
2021-04-23,32.49970992295553,2021,4,23,2021-04,2
2021-04-24,33.08371913580247,2021,4,24,2021-04,2
2021-04-25,32.75925925925927,2021,4,25,2021-04,2
2021-04-26,32.430935599778884,2021,4,26,2021-04,2
2021-04-27,32.58751957803574,2021,4,27,2021-04,2
2021-04-28,33.10615901971624,2021,4,28,2021-04,2
2021-04-29,35.53356481481481,2021,4,29,2021-04,2
2021-04-30,32.97685185185186,2021,4,30,2021-04,2
2021-05-01,35.36265432098765,2021,5,1,2021-05,3
2021-05-02,34.26581790123456,2021,5,2,2021-05,3
2021-05-03,33.245756172839506,2021,5,3,2021-05,3
2021-05-04,32.26581790123456,2021,5,4,2021-05,3
2021-05-05,34.28317901234568,2021,5,5,2021-05,3
2021-05-06,32.49151234567901,2021,5,6,2021-05,3
2021-05-07,32.79706790123457,2021,5,7,2021-05,3
2021-05-08,33.00308641975309,2021,5,8,2021-05,3
2021-05-09,33.976080246913575,2021,5,9,2021-05,3
2021-05-10,32.32754629629629,2021,5,10,2021-05,3
2021-05-11,32.23501704440759,2021,5,11,2021-05,3
2021-05-12,32.41049382716049,2021,5,12,2021-05,3
2021-05-13,32.49768518518518,2021,5,13,2021-05,3
2021-05-14,32.952160493827165,2021,5,14,2021-05,3
2021-05-15,33.05979938271605,2021,5,15,2021-05,3
2021-05-16,33.75578703703704,2021,5,16,2021-05,3
2021-05-17,33.9633487654321,2021,5,17,2021-05,3
2021-05-18,34.338734567901234,2021,5,18,2021-05,3
2021-05-19,35.48958333333333,2021,5,19,2021-05,3
2021-05-20,32.37229938271605,2021,5,20,2021-05,3
2021-05-21,36.692515432098766,2021,5,21,2021-05,3
2021-05-22,33.4375,2021,5,22,2021-05,3
2021-05-23,32.87962962962963,2021,5,23,2021-05,3
2021-05-24,32.30632716049383,2021,5,24,2021-05,3
2021-05-25,32.93171296296296,2021,5,25,2021-05,3
2021-05-26,32.764274691358025,2021,5,26,2021-05,3
2021-05-27,33.769675925925924,2021,5,27,2021-05,3
2021-05-28,33.13618827160494,2021,5,28,2021-05,3
2021-05-29,32.91473765432099,2021,5,29,2021-05,3
2021-05-30,32.382330246913575,2021,5,30,2021-05,3
2021-05-31,32.4128086419753,2021,5,31,2021-05,3
2021-06-01,32.68827160493827,2021,6,1,2021-06,4
2021-06-02,32.93171296296296,2021,6,2,2021-06,4
2021-06-03,33.08873456790123,2021,6,3,2021-06,4
2021-06-04,37.415123456790134,2021,6,4,2021-06,4
2021-06-05,32.33989197530863,2021,6,5,2021-06,4
2021-06-06,33.18880126595522,2021,6,6,2021-06,4
2021-06-07,30.855324074074076,2021,6,7,2021-06,4
2021-06-08,31.02006172839506,2021,6,8,2021-06,4
2021-06-09,32.83617349619122,2021,6,9,2021-06,4
2021-06-10,30.965277777777786,2021,6,10,2021-06,4
2021-06-11,31.017115600448935,2021,6,11,2021-06,4
2021-06-12,31.12195944487611,2021,6,12,2021-06,4
2021-06-13,31.443956121039452,2021,6,13,2021-06,4
2021-06-14,31.332175925925924,2021,6,14,2021-06,4
2021-06-15,31.35725308641976,2021,6,15,2021-06,4
2021-06-16,33.01351851851852,2021,6,16,2021-06,4
