Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,20.45272435897436,2021,3,17,2021-03,1
2021-03-18,20.640224358974358,2021,3,18,2021-03,1
2021-03-19,20.588942307692307,2021,3,19,2021-03,1
2021-03-20,22.63327991452991,2021,3,20,2021-03,1
2021-03-21,23.67548076923077,2021,3,21,2021-03,1
2021-03-22,21.19577991452991,2021,3,22,2021-03,1
2021-03-23,20.41319444444445,2021,3,23,2021-03,1
2021-03-24,20.449786324786324,2021,3,24,2021-03,1
2021-03-25,20.422008547008545,2021,3,25,2021-03,1
2021-03-26,20.559844771241828,2021,3,26,2021-03,1
2021-03-27,20.84940566911721,2021,3,27,2021-03,1
2021-03-28,23.800053045245356,2021,3,28,2021-03,1
2021-03-29,20.462311726734807,2021,3,29,2021-03,1
2021-03-30,20.564369658119656,2021,3,30,2021-03,1
2021-03-31,20.709134615384617,2021,3,31,2021-03,1
2021-04-01,20.70673076923077,2021,4,1,2021-04,2
2021-04-02,20.729166666666668,2021,4,2,2021-04,2
2021-04-03,20.723290598290596,2021,4,3,2021-04,2
2021-04-04,23.290161227661226,2021,4,4,2021-04,2
2021-04-05,20.37606837606838,2021,4,5,2021-04,2
2021-04-06,20.27590811965812,2021,4,6,2021-04,2
2021-04-07,20.52857905982906,2021,4,7,2021-04,2
2021-04-08,20.636752136752136,2021,4,8,2021-04,2
2021-04-09,20.51896367521368,2021,4,9,2021-04,2
2021-04-10,20.65090811965812,2021,4,10,2021-04,2
2021-04-11,20.803418803418804,2021,4,11,2021-04,2
2021-04-12,21.29780982905983,2021,4,12,2021-04,2
2021-04-13,21.311965811965813,2021,4,13,2021-04,2
2021-04-14,20.862713675213676,2021,4,14,2021-04,2
2021-04-15,20.800747863247867,2021,4,15,2021-04,2
2021-04-16,20.956730769230774,2021,4,16,2021-04,2
2021-04-17,21.781784188034187,2021,4,17,2021-04,2
2021-04-18,21.10924145299145,2021,4,18,2021-04,2
2021-04-19,20.804487179487182,2021,4,19,2021-04,2
2021-04-20,20.804487179487175,2021,4,20,2021-04,2
2021-04-21,20.95673076923077,2021,4,21,2021-04,2
2021-04-22,20.9866452991453,2021,4,22,2021-04,2
2021-04-23,20.91933760683761,2021,4,23,2021-04,2
2021-04-24,21.00667735042735,2021,4,24,2021-04,2
2021-04-25,20.877938034188034,2021,4,25,2021-04,2
2021-04-26,20.82184829059829,2021,4,26,2021-04,2
2021-04-27,21.225694444444443,2021,4,27,2021-04,2
2021-04-28,21.49465811965812,2021,4,28,2021-04,2
2021-04-29,22.38568376068376,2021,4,29,2021-04,2
2021-04-30,20.919871794871792,2021,4,30,2021-04,2
2021-05-01,22.302884615384617,2021,5,1,2021-05,3
2021-05-02,22.008814102564102,2021,5,2,2021-05,3
2021-05-03,20.44951923076923,2021,5,3,2021-05,3
2021-05-04,20.648771367521366,2021,5,4,2021-05,3
2021-05-05,22.808760683760685,2021,5,5,2021-05,3
2021-05-06,20.49465811965812,2021,5,6,2021-05,3
2021-05-07,20.795179204966942,2021,5,7,2021-05,3
