Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,58.63888888888889,2021,3,17,2021-03,1
2021-03-18,59.152777777777786,2021,3,18,2021-03,1
2021-03-19,59.69444444444444,2021,3,19,2021-03,1
2021-03-20,61.46006944444444,2021,3,20,2021-03,1
2021-03-21,61.00520833333334,2021,3,21,2021-03,1
2021-03-22,57.96414869852371,2021,3,22,2021-03,1
2021-03-23,59.02777777777777,2021,3,23,2021-03,1
2021-03-24,59.001736111111114,2021,3,24,2021-03,1
2021-03-25,59.30729166666667,2021,3,25,2021-03,1
2021-03-26,58.958333333333336,2021,3,26,2021-03,1
2021-03-27,59.104166666666664,2021,3,27,2021-03,1
2021-03-28,64.64409722222223,2021,3,28,2021-03,1
2021-03-29,58.82465277777777,2021,3,29,2021-03,1
2021-03-30,59.68402777777778,2021,3,30,2021-03,1
2021-03-31,59.20833333333334,2021,3,31,2021-03,1
2021-04-01,59.42881944444444,2021,4,1,2021-04,2
2021-04-02,59.38541666666667,2021,4,2,2021-04,2
2021-04-03,59.26041666666667,2021,4,3,2021-04,2
2021-04-04,62.26398601398601,2021,4,4,2021-04,2
2021-04-05,58.07638888888889,2021,4,5,2021-04,2
2021-04-06,58.46875,2021,4,6,2021-04,2
2021-04-07,58.71354166666667,2021,4,7,2021-04,2
2021-04-08,58.782986111111114,2021,4,8,2021-04,2
2021-04-09,57.98090277777778,2021,4,9,2021-04,2
2021-04-10,57.98335518648018,2021,4,10,2021-04,2
2021-04-11,58.93893259518259,2021,4,11,2021-04,2
2021-04-12,59.45966312056738,2021,4,12,2021-04,2
2021-04-13,58.984375,2021,4,13,2021-04,2
2021-04-14,57.439236111111114,2021,4,14,2021-04,2
2021-04-15,57.96701388888889,2021,4,15,2021-04,2
2021-04-16,58.59375,2021,4,16,2021-04,2
2021-04-17,60.33506944444444,2021,4,17,2021-04,2
2021-04-18,57.137262043512045,2021,4,18,2021-04,2
2021-04-19,57.79484546165884,2021,4,19,2021-04,2
2021-04-20,57.97433574879227,2021,4,20,2021-04,2
2021-04-21,58.33506944444444,2021,4,21,2021-04,2
