Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,41.975,2021,3,17,2021-03,1
2021-03-18,42.33632208157525,2021,3,18,2021-03,1
2021-03-19,28.505555555555553,2021,3,19,2021-03,1
2021-03-20,29.481944444444444,2021,3,20,2021-03,1
2021-03-21,42.45418943533697,2021,3,21,2021-03,1
2021-03-22,41.491666666666674,2021,3,22,2021-03,1
2021-03-23,41.46388888888889,2021,3,23,2021-03,1
2021-03-24,41.81388888888889,2021,3,24,2021-03,1
2021-03-25,41.855555555555554,2021,3,25,2021-03,1
2021-03-26,41.706944444444446,2021,3,26,2021-03,1
2021-03-27,42.06944444444444,2021,3,27,2021-03,1
2021-03-28,45.44166666666666,2021,3,28,2021-03,1
2021-03-29,41.43194444444445,2021,3,29,2021-03,1
2021-03-30,41.893055555555556,2021,3,30,2021-03,1
2021-03-31,42.045833333333334,2021,3,31,2021-03,1
2021-04-01,41.86527777777778,2021,4,1,2021-04,2
2021-04-02,41.81111111111112,2021,4,2,2021-04,2
2021-04-03,41.94166666666668,2021,4,3,2021-04,2
2021-04-04,44.5625,2021,4,4,2021-04,2
2021-04-05,41.831944444444446,2021,4,5,2021-04,2
2021-04-06,41.37083333333334,2021,4,6,2021-04,2
2021-04-07,41.70138888888888,2021,4,7,2021-04,2
2021-04-08,41.82638888888889,2021,4,8,2021-04,2
2021-04-09,41.77222222222222,2021,4,9,2021-04,2
2021-04-10,41.81666666666666,2021,4,10,2021-04,2
2021-04-11,42.172222222222224,2021,4,11,2021-04,2
2021-04-12,42.63888888888889,2021,4,12,2021-04,2
2021-04-13,42.893055555555556,2021,4,13,2021-04,2
2021-04-14,41.833333333333336,2021,4,14,2021-04,2
2021-04-15,42.147222222222226,2021,4,15,2021-04,2
2021-04-16,42.548611111111114,2021,4,16,2021-04,2
2021-04-17,44.72777777777778,2021,4,17,2021-04,2
2021-04-18,41.59861111111111,2021,4,18,2021-04,2
2021-04-19,41.69722222222223,2021,4,19,2021-04,2
2021-04-20,41.777777777777786,2021,4,20,2021-04,2
2021-04-21,42.365277777777784,2021,4,21,2021-04,2
2021-04-22,42.44722222222223,2021,4,22,2021-04,2
2021-04-23,42.340277777777786,2021,4,23,2021-04,2
2021-04-24,42.56527777777778,2021,4,24,2021-04,2
2021-04-25,42.50694444444444,2021,4,25,2021-04,2
2021-04-26,42.21527777777777,2021,4,26,2021-04,2
2021-04-27,42.53888888888889,2021,4,27,2021-04,2
2021-04-28,42.90416666666667,2021,4,28,2021-04,2
2021-04-29,44.827777777777776,2021,4,29,2021-04,2
2021-04-30,41.19861111111112,2021,4,30,2021-04,2
2021-05-01,41.87222222222223,2021,5,1,2021-05,3
2021-05-02,41.773611111111116,2021,5,2,2021-05,3
2021-05-03,41.608333333333334,2021,5,3,2021-05,3
2021-05-04,41.88055555555555,2021,5,4,2021-05,3
2021-05-05,46.02361111111111,2021,5,5,2021-05,3
2021-05-06,41.4125,2021,5,6,2021-05,3
2021-05-07,43.38194444444444,2021,5,7,2021-05,3
2021-05-08,41.615277777777784,2021,5,8,2021-05,3
2021-05-09,41.64583333333333,2021,5,9,2021-05,3
2021-05-10,41.97222222222222,2021,5,10,2021-05,3
2021-05-11,42.325,2021,5,11,2021-05,3
2021-05-12,42.74861111111111,2021,5,12,2021-05,3
2021-05-13,41.761111111111106,2021,5,13,2021-05,3
2021-05-14,42.15416666666667,2021,5,14,2021-05,3
2021-05-15,42.95277777777778,2021,5,15,2021-05,3
2021-05-16,41.894444444444446,2021,5,16,2021-05,3
2021-05-17,44.375,2021,5,17,2021-05,3
2021-05-18,41.92222222222222,2021,5,18,2021-05,3
2021-05-19,42.21944444444445,2021,5,19,2021-05,3
2021-05-20,45.71666666666666,2021,5,20,2021-05,3
2021-05-21,42.6375,2021,5,21,2021-05,3
2021-05-22,41.047222222222224,2021,5,22,2021-05,3
2021-05-23,41.50694444444444,2021,5,23,2021-05,3
2021-05-24,44.449999999999996,2021,5,24,2021-05,3
2021-05-25,41.20277777777777,2021,5,25,2021-05,3
2021-05-26,41.7125,2021,5,26,2021-05,3
2021-05-27,45.84722222222223,2021,5,27,2021-05,3
2021-05-28,41.09583333333334,2021,5,28,2021-05,3
2021-05-29,41.479166666666664,2021,5,29,2021-05,3
2021-05-30,42.04166666666667,2021,5,30,2021-05,3
2021-05-31,42.25694444444444,2021,5,31,2021-05,3
2021-06-01,42.515277777777776,2021,6,1,2021-06,4
2021-06-02,42.74444444444445,2021,6,2,2021-06,4
2021-06-03,43.24861111111111,2021,6,3,2021-06,4
2021-06-04,45.46805555555556,2021,6,4,2021-06,4
2021-06-05,41.4,2021,6,5,2021-06,4
2021-06-06,41.770833333333336,2021,6,6,2021-06,4
2021-06-07,42.1875,2021,6,7,2021-06,4
2021-06-08,42.415277777777774,2021,6,8,2021-06,4
2021-06-09,42.8181950097995,2021,6,9,2021-06,4
2021-06-10,42.628349673202614,2021,6,10,2021-06,4
2021-06-11,42.53888888888889,2021,6,11,2021-06,4
2021-06-12,43.00694444444444,2021,6,12,2021-06,4
2021-06-13,42.44583333333334,2021,6,13,2021-06,4
2021-06-14,42.45833333333333,2021,6,14,2021-06,4
2021-06-15,42.19583333333334,2021,6,15,2021-06,4
2021-06-16,42.738888888888894,2021,6,16,2021-06,4
2021-06-17,41.468055555555566,2021,6,17,2021-06,4
2021-06-18,44.25972222222222,2021,6,18,2021-06,4
2021-06-19,43.97916666666667,2021,6,19,2021-06,4
2021-06-20,41.763888888888886,2021,6,20,2021-06,4
2021-06-21,42.17471833721834,2021,6,21,2021-06,4
2021-06-22,42.47222222222223,2021,6,22,2021-06,4
2021-06-23,42.459748989129864,2021,6,23,2021-06,4
2021-06-24,42.6,2021,6,24,2021-06,4
2021-06-25,42.584722222222226,2021,6,25,2021-06,4
2021-06-26,42.59861111111111,2021,6,26,2021-06,4
2021-06-27,42.49861111111112,2021,6,27,2021-06,4
2021-06-28,42.66388888888889,2021,6,28,2021-06,4
2021-06-29,42.30833333333334,2021,6,29,2021-06,4
2021-06-30,42.48714788732394,2021,6,30,2021-06,4
2021-07-01,42.73295454545455,2021,7,1,2021-07,5
2021-07-02,41.97222222222222,2021,7,2,2021-07,5
2021-07-03,42.68194444444445,2021,7,3,2021-07,5
2021-07-04,42.271996124031006,2021,7,4,2021-07,5
2021-07-05,41.61050724637681,2021,7,5,2021-07,5
2021-07-06,42.12375886524823,2021,7,6,2021-07,5
2021-07-07,52.0890503875969,2021,7,7,2021-07,5
2021-07-08,52.41111111111112,2021,7,8,2021-07,5
2021-07-09,55.72317251461989,2021,7,9,2021-07,5
2021-07-10,53.24861111111111,2021,7,10,2021-07,5
2021-07-11,51.68472222222222,2021,7,11,2021-07,5
2021-07-12,53.55833333333334,2021,7,12,2021-07,5
2021-07-13,51.554166666666674,2021,7,13,2021-07,5
2021-07-14,52.204166666666666,2021,7,14,2021-07,5
2021-07-15,53.06666666666666,2021,7,15,2021-07,5
2021-07-16,52.40555555555555,2021,7,16,2021-07,5
2021-07-17,51.90972222222223,2021,7,17,2021-07,5
2021-07-18,52.391666666666666,2021,7,18,2021-07,5
2021-07-19,50.97777777777778,2021,7,19,2021-07,5
2021-07-20,51.275,2021,7,20,2021-07,5
2021-07-21,51.572222222222216,2021,7,21,2021-07,5
2021-07-22,51.79722222222223,2021,7,22,2021-07,5
2021-07-23,52.080555555555556,2021,7,23,2021-07,5
2021-07-24,52.34722222222223,2021,7,24,2021-07,5
2021-07-25,52.25138888888889,2021,7,25,2021-07,5
2021-07-26,52.41678321678322,2021,7,26,2021-07,5
2021-07-27,52.865277777777784,2021,7,27,2021-07,5
2021-07-28,53.520833333333336,2021,7,28,2021-07,5
2021-07-29,53.25833333333334,2021,7,29,2021-07,5
2021-07-30,53.22720473970473,2021,7,30,2021-07,5
2021-07-31,53.47361111111111,2021,7,31,2021-07,5
2021-08-01,53.76527777777778,2021,8,1,2021-08,6
2021-08-02,53.49444444444445,2021,8,2,2021-08,6
2021-08-03,53.40972222222223,2021,8,3,2021-08,6
2021-08-04,53.51527777777778,2021,8,4,2021-08,6
2021-08-05,53.804166666666674,2021,8,5,2021-08,6
2021-08-06,53.64305555555556,2021,8,6,2021-08,6
2021-08-07,53.24686285936285,2021,8,7,2021-08,6
2021-08-08,55.43472222222222,2021,8,8,2021-08,6
2021-08-09,55.24861111111111,2021,8,9,2021-08,6
2021-08-10,51.38333333333334,2021,8,10,2021-08,6
2021-08-11,54.01388888888889,2021,8,11,2021-08,6
2021-08-12,54.875,2021,8,12,2021-08,6
2021-08-13,54.84722222222223,2021,8,13,2021-08,6
2021-08-14,55.59305555555555,2021,8,14,2021-08,6
2021-08-15,58.45138888888889,2021,8,15,2021-08,6
2021-08-16,52.822222222222216,2021,8,16,2021-08,6
2021-08-17,51.608333333333334,2021,8,17,2021-08,6
2021-08-18,52.62361111111111,2021,8,18,2021-08,6
2021-08-19,51.509722222222216,2021,8,19,2021-08,6
2021-08-20,53.00277777777778,2021,8,20,2021-08,6
2021-08-21,50.88055555555555,2021,8,21,2021-08,6
2021-08-22,51.19166666666666,2021,8,22,2021-08,6
2021-08-23,51.35,2021,8,23,2021-08,6
2021-08-24,51.209722222222226,2021,8,24,2021-08,6
2021-08-25,51.22083333333334,2021,8,25,2021-08,6
2021-08-26,51.93611111111112,2021,8,26,2021-08,6
2021-08-27,52.23611111111111,2021,8,27,2021-08,6
2021-08-28,52.152777777777786,2021,8,28,2021-08,6
2021-08-29,52.475,2021,8,29,2021-08,6
2021-08-30,52.5125,2021,8,30,2021-08,6
2021-08-31,53.31111111111111,2021,8,31,2021-08,6
2021-09-01,53.27221005423446,2021,9,1,2021-09,7
2021-09-02,54.69174687605539,2021,9,2,2021-09,7
2021-09-03,55.47083333333334,2021,9,3,2021-09,7
2021-09-04,52.25416666666668,2021,9,4,2021-09,7
2021-09-05,52.15694444444445,2021,9,5,2021-09,7
2021-09-06,52.261111111111106,2021,9,6,2021-09,7
2021-09-07,52.075,2021,9,7,2021-09,7
2021-09-08,52.06013986013986,2021,9,8,2021-09,7
2021-09-09,53.020833333333336,2021,9,9,2021-09,7
2021-09-10,52.55833333333332,2021,9,10,2021-09,7
2021-09-11,53.15833333333334,2021,9,11,2021-09,7
2021-09-12,52.55694444444445,2021,9,12,2021-09,7
2021-09-13,52.67916666666666,2021,9,13,2021-09,7
2021-09-14,52.58472222222222,2021,9,14,2021-09,7
2021-09-15,53.45277777777778,2021,9,15,2021-09,7
2021-09-16,51.42222222222222,2021,9,16,2021-09,7
2021-09-17,55.0625,2021,9,17,2021-09,7
2021-09-18,53.508333333333326,2021,9,18,2021-09,7
2021-09-19,51.07916666666667,2021,9,19,2021-09,7
2021-09-20,51.49790209790209,2021,9,20,2021-09,7
2021-09-21,51.65833333333334,2021,9,21,2021-09,7
2021-09-22,52.18472222222222,2021,9,22,2021-09,7
2021-09-23,52.08888888888889,2021,9,23,2021-09,7
2021-09-24,52.215277777777786,2021,9,24,2021-09,7
2021-09-25,52.493055555555564,2021,9,25,2021-09,7
2021-09-26,52.775,2021,9,26,2021-09,7
