Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,36.57136994949495,2021,3,17,2021-03,1
2021-03-18,36.52919823232324,2021,3,18,2021-03,1
2021-03-19,36.70929846026639,2021,3,19,2021-03,1
2021-03-20,38.23556478243978,2021,3,20,2021-03,1
2021-03-21,43.70785984848485,2021,3,21,2021-03,1
2021-03-22,40.34628023657629,2021,3,22,2021-03,1
2021-03-23,38.04778541998937,2021,3,23,2021-03,1
2021-03-24,37.33680555555555,2021,3,24,2021-03,1
2021-03-25,37.884154040404034,2021,3,25,2021-03,1
2021-03-26,38.1239570089002,2021,3,26,2021-03,1
2021-03-27,37.624053030303024,2021,3,27,2021-03,1
2021-03-28,41.193813131313135,2021,3,28,2021-03,1
2021-03-29,37.833964646464636,2021,3,29,2021-03,1
2021-03-30,38.22948232323232,2021,3,30,2021-03,1
2021-03-31,38.00931186868687,2021,3,31,2021-03,1
2021-04-01,38.23295454545454,2021,4,1,2021-04,2
2021-04-02,38.450757575757564,2021,4,2,2021-04,2
2021-04-03,38.43655303030304,2021,4,3,2021-04,2
2021-04-04,41.95422979797979,2021,4,4,2021-04,2
2021-04-05,40.309816919191924,2021,4,5,2021-04,2
2021-04-06,38.04924242424241,2021,4,6,2021-04,2
2021-04-07,37.8655303030303,2021,4,7,2021-04,2
2021-04-08,38.214488636363626,2021,4,8,2021-04,2
2021-04-09,37.951388888888886,2021,4,9,2021-04,2
2021-04-10,38.076546717171716,2021,4,10,2021-04,2
2021-04-11,38.458017676767696,2021,4,11,2021-04,2
2021-04-12,38.49868159983293,2021,4,12,2021-04,2
2021-04-13,39.6113955018297,2021,4,13,2021-04,2
2021-04-14,42.065593434343434,2021,4,14,2021-04,2
2021-04-15,38.000848649015374,2021,4,15,2021-04,2
2021-04-16,38.27588383838385,2021,4,16,2021-04,2
2021-04-17,42.9513888888889,2021,4,17,2021-04,2
2021-04-18,43.726167929292934,2021,4,18,2021-04,2
2021-04-19,38.87738155811849,2021,4,19,2021-04,2
2021-04-20,38.31652350974534,2021,4,20,2021-04,2
2021-04-21,37.908534647171,2021,4,21,2021-04,2
2021-04-22,38.14046717171718,2021,4,22,2021-04,2
2021-04-23,38.38147095959595,2021,4,23,2021-04,2
2021-04-24,38.81739267676766,2021,4,24,2021-04,2
2021-04-25,38.60258838383839,2021,4,25,2021-04,2
2021-04-26,38.203440656565654,2021,4,26,2021-04,2
2021-04-27,38.701073232323225,2021,4,27,2021-04,2
2021-04-28,39.64867424242424,2021,4,28,2021-04,2
2021-04-29,44.477904040404034,2021,4,29,2021-04,2
2021-04-30,39.23879419191919,2021,4,30,2021-04,2
2021-05-01,42.0875946969697,2021,5,1,2021-05,3
2021-05-02,41.23216540404039,2021,5,2,2021-05,3
2021-05-03,38.16540404040405,2021,5,3,2021-05,3
2021-05-04,37.982638888888886,2021,5,4,2021-05,3
2021-05-05,40.52430555555555,2021,5,5,2021-05,3
2021-05-06,37.15988005050505,2021,5,6,2021-05,3
2021-05-07,38.680073398823396,2021,5,7,2021-05,3
2021-05-08,38.8409090909091,2021,5,8,2021-05,3
2021-05-09,39.05271464646465,2021,5,9,2021-05,3
2021-05-10,38.04324858924588,2021,5,10,2021-05,3
2021-05-11,38.257538658460525,2021,5,11,2021-05,3
2021-05-12,38.590021475259114,2021,5,12,2021-05,3
2021-05-13,38.63049743934674,2021,5,13,2021-05,3
2021-05-14,39.168937254758134,2021,5,14,2021-05,3
2021-05-15,39.30239898989899,2021,5,15,2021-05,3
2021-05-16,40.56439393939394,2021,5,16,2021-05,3
2021-05-17,45.63743491329221,2021,5,17,2021-05,3
2021-05-18,41.382773198010426,2021,5,18,2021-05,3
2021-05-19,40.706965488215495,2021,5,19,2021-05,3
