Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,48.366402116402114,2021,3,17,2021-03,1
2021-03-18,48.545634920634924,2021,3,18,2021-03,1
2021-03-19,48.506310818810825,2021,3,19,2021-03,1
2021-03-20,49.46130952380951,2021,3,20,2021-03,1
2021-03-21,57.07936507936508,2021,3,21,2021-03,1
2021-03-22,49.21097883597883,2021,3,22,2021-03,1
2021-03-23,47.80522486772487,2021,3,23,2021-03,1
2021-03-24,48.1246693121693,2021,3,24,2021-03,1
2021-03-25,48.09424603174604,2021,3,25,2021-03,1
2021-03-26,48.198669386169385,2021,3,26,2021-03,1
2021-03-27,48.27347883597884,2021,3,27,2021-03,1
2021-03-28,51.319113756613746,2021,3,28,2021-03,1
2021-03-29,49.30257936507936,2021,3,29,2021-03,1
2021-03-30,48.04431216931217,2021,3,30,2021-03,1
2021-03-31,48.25396825396825,2021,3,31,2021-03,1
2021-04-01,48.23710317460317,2021,4,1,2021-04,2
2021-04-02,48.0892857142857,2021,4,2,2021-04,2
2021-04-03,48.073743386243386,2021,4,3,2021-04,2
2021-04-04,49.377229252229256,2021,4,4,2021-04,2
2021-04-05,49.06977513227513,2021,4,5,2021-04,2
2021-04-06,47.666997354497354,2021,4,6,2021-04,2
2021-04-07,47.986441798941804,2021,4,7,2021-04,2
2021-04-08,48.773741105637654,2021,4,8,2021-04,2
2021-04-09,47.809193121693134,2021,4,9,2021-04,2
2021-04-10,48.05621693121692,2021,4,10,2021-04,2
2021-04-11,48.28505291005291,2021,4,11,2021-04,2
2021-04-12,48.106992544492556,2021,4,12,2021-04,2
2021-04-13,48.438676447009776,2021,4,13,2021-04,2
2021-04-14,49.56167081260365,2021,4,14,2021-04,2
2021-04-15,47.83132716049383,2021,4,15,2021-04,2
2021-04-16,48.00001517801849,2021,4,16,2021-04,2
2021-04-17,50.07705026455026,2021,4,17,2021-04,2
2021-04-18,48.39814814814816,2021,4,18,2021-04,2
2021-04-19,47.88789682539682,2021,4,19,2021-04,2
2021-04-20,48.374515156939964,2021,4,20,2021-04,2
2021-04-21,48.14296242800949,2021,4,21,2021-04,2
2021-04-22,48.183862433862444,2021,4,22,2021-04,2
2021-04-23,48.235449735449734,2021,4,23,2021-04,2
2021-04-24,48.69113756613757,2021,4,24,2021-04,2
2021-04-25,48.88525132275132,2021,4,25,2021-04,2
2021-04-26,48.30026455026455,2021,4,26,2021-04,2
2021-04-27,48.67911609088079,2021,4,27,2021-04,2
2021-04-28,49.028769841269835,2021,4,28,2021-04,2
2021-04-29,50.75992063492064,2021,4,29,2021-04,2
2021-04-30,48.04761904761905,2021,4,30,2021-04,2
2021-05-01,48.768187830687836,2021,5,1,2021-05,3
2021-05-02,48.60456672956672,2021,5,2,2021-05,3
2021-05-03,47.95006613756614,2021,5,3,2021-05,3
2021-05-04,48.098875661375665,2021,5,4,2021-05,3
2021-05-05,49.501653439153436,2021,5,5,2021-05,3
2021-05-06,48.218584656084666,2021,5,6,2021-05,3
2021-05-07,49.038359788359784,2021,5,7,2021-05,3
2021-05-08,48.645581824279006,2021,5,8,2021-05,3
2021-05-09,48.99570105820106,2021,5,9,2021-05,3
2021-05-10,48.51256613756614,2021,5,10,2021-05,3
2021-05-11,48.51025132275132,2021,5,11,2021-05,3
2021-05-12,48.53703703703704,2021,5,12,2021-05,3
2021-05-13,48.873346560846564,2021,5,13,2021-05,3
2021-05-14,48.86441798941798,2021,5,14,2021-05,3
2021-05-15,49.02645502645503,2021,5,15,2021-05,3
2021-05-16,49.23148148148149,2021,5,16,2021-05,3
2021-05-17,49.88458994708995,2021,5,17,2021-05,3
2021-05-18,53.40310846560847,2021,5,18,2021-05,3
2021-05-19,51.00529100529099,2021,5,19,2021-05,3
