Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,42.47395833333334,2021,3,17,2021-03,1
2021-03-18,42.63354166666668,2021,3,18,2021-03,1
2021-03-19,42.514313325563315,2021,3,19,2021-03,1
2021-03-20,45.52145833333334,2021,3,20,2021-03,1
2021-03-21,50.17041666666668,2021,3,21,2021-03,1
2021-03-22,43.88451388888889,2021,3,22,2021-03,1
2021-03-23,42.41951388888891,2021,3,23,2021-03,1
2021-03-24,42.50437500000001,2021,3,24,2021-03,1
2021-03-25,42.686805555555566,2021,3,25,2021-03,1
2021-03-26,43.41576388888889,2021,3,26,2021-03,1
2021-03-27,42.53548611111112,2021,3,27,2021-03,1
2021-03-28,47.86444444444444,2021,3,28,2021-03,1
2021-03-29,42.2592243740219,2021,3,29,2021-03,1
2021-03-30,42.85754205790299,2021,3,30,2021-03,1
2021-03-31,42.89145833333335,2021,3,31,2021-03,1
2021-04-01,42.867430555555565,2021,4,1,2021-04,2
2021-04-02,42.9844362745098,2021,4,2,2021-04,2
2021-04-03,43.303125000000016,2021,4,3,2021-04,2
2021-04-04,49.70744075369075,2021,4,4,2021-04,2
2021-04-05,42.22694444444444,2021,4,5,2021-04,2
2021-04-06,42.02206467661692,2021,4,6,2021-04,2
2021-04-07,42.076874999999994,2021,4,7,2021-04,2
2021-04-08,42.51368055555556,2021,4,8,2021-04,2
2021-04-09,42.47236111111112,2021,4,9,2021-04,2
2021-04-10,42.49291666666668,2021,4,10,2021-04,2
2021-04-11,42.65951388888889,2021,4,11,2021-04,2
2021-04-12,43.09541666666666,2021,4,12,2021-04,2
2021-04-13,45.62249999999999,2021,4,13,2021-04,2
2021-04-14,44.25145833333332,2021,4,14,2021-04,2
2021-04-15,42.429097222222225,2021,4,15,2021-04,2
2021-04-16,42.76131944444443,2021,4,16,2021-04,2
2021-04-17,48.075555555555546,2021,4,17,2021-04,2
2021-04-18,45.241805555555544,2021,4,18,2021-04,2
2021-04-19,42.07881944444444,2021,4,19,2021-04,2
2021-04-20,42.40652777777779,2021,4,20,2021-04,2
2021-04-21,42.35055555555556,2021,4,21,2021-04,2
2021-04-22,42.38624999999999,2021,4,22,2021-04,2
2021-04-23,42.412986111111096,2021,4,23,2021-04,2
2021-04-24,42.790763888888875,2021,4,24,2021-04,2
2021-04-25,42.614027777777764,2021,4,25,2021-04,2
2021-04-26,42.74673611111111,2021,4,26,2021-04,2
2021-04-27,43.15993055555555,2021,4,27,2021-04,2
2021-04-28,44.81319444444444,2021,4,28,2021-04,2
2021-04-29,49.145972222222206,2021,4,29,2021-04,2
2021-04-30,43.179722222222246,2021,4,30,2021-04,2
2021-05-01,44.14375000000001,2021,5,1,2021-05,3
2021-05-02,45.116250000000015,2021,5,2,2021-05,3
2021-05-03,41.735069444444456,2021,5,3,2021-05,3
2021-05-04,42.084652777777784,2021,5,4,2021-05,3
2021-05-05,46.990138888888886,2021,5,5,2021-05,3
2021-05-06,41.93965277777778,2021,5,6,2021-05,3
2021-05-07,42.62652777777777,2021,5,7,2021-05,3
2021-05-08,42.72277777777779,2021,5,8,2021-05,3
2021-05-09,42.985625000000006,2021,5,9,2021-05,3
2021-05-10,42.51659722222224,2021,5,10,2021-05,3
2021-05-11,42.49784722222223,2021,5,11,2021-05,3
2021-05-12,42.67858333333334,2021,5,12,2021-05,3
2021-05-13,43.33077437366531,2021,5,13,2021-05,3
2021-05-14,43.430608974358975,2021,5,14,2021-05,3
2021-05-15,43.65979992229992,2021,5,15,2021-05,3
2021-05-16,46.39652777777778,2021,5,16,2021-05,3
2021-05-17,51.07258479586755,2021,5,17,2021-05,3
2021-05-18,44.66137326141618,2021,5,18,2021-05,3
2021-05-19,42.59795105177993,2021,5,19,2021-05,3
2021-05-20,46.452428014272655,2021,5,20,2021-05,3
2021-05-21,47.49659519956848,2021,5,21,2021-05,3
2021-05-22,42.086944444444455,2021,5,22,2021-05,3
2021-05-23,42.21270833333334,2021,5,23,2021-05,3
2021-05-24,44.04246794871794,2021,5,24,2021-05,3
2021-05-25,43.957306551323555,2021,5,25,2021-05,3
2021-05-26,41.83915857605176,2021,5,26,2021-05,3
2021-05-27,46.50174150485438,2021,5,27,2021-05,3
2021-05-28,41.878543689320395,2021,5,28,2021-05,3
2021-05-29,43.40958333333333,2021,5,29,2021-05,3
2021-05-30,42.565277777777794,2021,5,30,2021-05,3
2021-05-31,42.230583509667255,2021,5,31,2021-05,3
2021-06-01,42.26509571881691,2021,6,1,2021-06,4
2021-06-02,42.892573489751896,2021,6,2,2021-06,4
2021-06-03,43.37206559621608,2021,6,3,2021-06,4
2021-06-04,53.9629004854369,2021,6,4,2021-06,4
2021-06-05,41.820069444444435,2021,6,5,2021-06,4
2021-06-06,42.64604166666666,2021,6,6,2021-06,4
2021-06-07,42.95115913811007,2021,6,7,2021-06,4
2021-06-08,43.068522727272715,2021,6,8,2021-06,4
2021-06-09,42.768112829324174,2021,6,9,2021-06,4
2021-06-10,43.23080328424532,2021,6,10,2021-06,4
2021-06-11,43.58449974012472,2021,6,11,2021-06,4
2021-06-12,43.416111111111114,2021,6,12,2021-06,4
2021-06-13,44.03047639860139,2021,6,13,2021-06,4
2021-06-14,43.93366647241647,2021,6,14,2021-06,4
2021-06-15,42.395626233376234,2021,6,15,2021-06,4
2021-06-16,42.72598065103235,2021,6,16,2021-06,4
2021-06-17,43.0872261904762,2021,6,17,2021-06,4
2021-06-18,43.937793803418806,2021,6,18,2021-06,4
2021-06-19,49.29666666666665,2021,6,19,2021-06,4
2021-06-20,41.77888888888889,2021,6,20,2021-06,4
2021-06-21,42.338083872707664,2021,6,21,2021-06,4
2021-06-22,42.5459142394822,2021,6,22,2021-06,4
2021-06-23,42.422361111111115,2021,6,23,2021-06,4
2021-06-24,42.751319444444434,2021,6,24,2021-06,4
2021-06-25,43.21854166666668,2021,6,25,2021-06,4
2021-06-26,43.54,2021,6,26,2021-06,4
2021-06-27,43.99166666666667,2021,6,27,2021-06,4
2021-06-28,43.425902777777765,2021,6,28,2021-06,4
2021-06-29,43.983238908872906,2021,6,29,2021-06,4
2021-06-30,43.17605121259433,2021,6,30,2021-06,4
2021-07-01,43.91086265058213,2021,7,1,2021-07,5
2021-07-02,44.17520833333333,2021,7,2,2021-07,5
2021-07-03,43.681250000000006,2021,7,3,2021-07,5
2021-07-04,46.30090277777777,2021,7,4,2021-07,5
2021-07-05,48.14243055555558,2021,7,5,2021-07,5
2021-07-06,45.81930555555556,2021,7,6,2021-07,5
2021-07-07,42.20701388888889,2021,7,7,2021-07,5
2021-07-08,43.2195138888889,2021,7,8,2021-07,5
2021-07-09,47.9611607142857,2021,7,9,2021-07,5
2021-07-10,42.45236111111109,2021,7,10,2021-07,5
2021-07-11,42.919305555555574,2021,7,11,2021-07,5
2021-07-12,42.349097222222234,2021,7,12,2021-07,5
2021-07-13,42.701597222222205,2021,7,13,2021-07,5
2021-07-14,42.71962671038944,2021,7,14,2021-07,5
2021-07-15,43.69854474756508,2021,7,15,2021-07,5
2021-07-16,43.17034722222222,2021,7,16,2021-07,5
2021-07-17,43.33250000000001,2021,7,17,2021-07,5
2021-07-18,43.481527777777764,2021,7,18,2021-07,5
2021-07-19,43.37040213178294,2021,7,19,2021-07,5
2021-07-20,43.449999012403616,2021,7,20,2021-07,5
2021-07-21,43.375854366660086,2021,7,21,2021-07,5
2021-07-22,43.63715277777779,2021,7,22,2021-07,5
2021-07-23,43.65263888888889,2021,7,23,2021-07,5
2021-07-24,43.93206428836865,2021,7,24,2021-07,5
2021-07-25,44.17756944444446,2021,7,25,2021-07,5
2021-07-26,44.36492682674627,2021,7,26,2021-07,5
2021-07-27,44.398912481597435,2021,7,27,2021-07,5
2021-07-28,43.719895678987015,2021,7,28,2021-07,5
2021-07-29,43.645517007685584,2021,7,29,2021-07,5
2021-07-30,43.72583001072392,2021,7,30,2021-07,5
2021-07-31,44.03256944444443,2021,7,31,2021-07,5
2021-08-01,43.97560266122766,2021,8,1,2021-08,6
2021-08-02,44.56061118077816,2021,8,2,2021-08,6
2021-08-03,44.84944208137168,2021,8,3,2021-08,6
2021-08-04,44.45782903376117,2021,8,4,2021-08,6
2021-08-05,44.42598685272196,2021,8,5,2021-08,6
2021-08-06,44.9233705203965,2021,8,6,2021-08,6
2021-08-07,45.289716269841264,2021,8,7,2021-08,6
2021-08-08,44.26655381662005,2021,8,8,2021-08,6
2021-08-09,48.159166666666664,2021,8,9,2021-08,6
2021-08-10,43.273807833402905,2021,8,10,2021-08,6
2021-08-11,42.588585885715084,2021,8,11,2021-08,6
2021-08-12,46.97240811965814,2021,8,12,2021-08,6
2021-08-13,49.74083333333334,2021,8,13,2021-08,6
2021-08-14,47.515486111111116,2021,8,14,2021-08,6
2021-08-15,42.77874999999998,2021,8,15,2021-08,6
2021-08-16,42.28252350427351,2021,8,16,2021-08,6
2021-08-17,46.664977964743564,2021,8,17,2021-08,6
2021-08-18,42.53643627012523,2021,8,18,2021-08,6
2021-08-19,42.13684027777779,2021,8,19,2021-08,6
2021-08-20,42.89595450705624,2021,8,20,2021-08,6
2021-08-21,42.904999999999994,2021,8,21,2021-08,6
