Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,32.61875297144614,2021,3,17,2021-03,1
2021-03-18,32.53606321839081,2021,3,18,2021-03,1
2021-03-19,32.778457234814994,2021,3,19,2021-03,1
2021-03-20,32.67417053028108,2021,3,20,2021-03,1
2021-03-21,36.84502638669109,2021,3,21,2021-03,1
2021-03-22,33.911925287356325,2021,3,22,2021-03,1
2021-03-23,32.653713862765585,2021,3,23,2021-03,1
2021-03-24,32.120450191570875,2021,3,24,2021-03,1
2021-03-25,32.16993933588762,2021,3,25,2021-03,1
2021-03-26,32.39699108778944,2021,3,26,2021-03,1
2021-03-27,32.46696842681416,2021,3,27,2021-03,1
2021-03-28,33.69023270227631,2021,3,28,2021-03,1
2021-03-29,34.201628352490424,2021,3,29,2021-03,1
2021-03-30,33.05627394636015,2021,3,30,2021-03,1
2021-03-31,33.024865827264485,2021,3,31,2021-03,1
2021-04-01,32.935105363984675,2021,4,1,2021-04,2
2021-04-02,32.50981800766283,2021,4,2,2021-04,2
2021-04-03,32.31226053639846,2021,4,3,2021-04,2
2021-04-04,33.20569923371648,2021,4,4,2021-04,2
2021-04-05,34.443555555555555,2021,4,5,2021-04,2
2021-04-06,31.985153256704983,2021,4,6,2021-04,2
2021-04-07,32.285703482845044,2021,4,7,2021-04,2
2021-04-08,32.74401340996169,2021,4,8,2021-04,2
2021-04-09,33.20501768346596,2021,4,9,2021-04,2
2021-04-10,33.79597701149425,2021,4,10,2021-04,2
2021-04-11,33.49922043236289,2021,4,11,2021-04,2
2021-04-12,33.4175773275163,2021,4,12,2021-04,2
2021-04-13,33.30723180076628,2021,4,13,2021-04,2
2021-04-14,35.196954442486785,2021,4,14,2021-04,2
2021-04-15,32.72431257742057,2021,4,15,2021-04,2
2021-04-16,32.70162835249042,2021,4,16,2021-04,2
2021-04-17,34.400872258906006,2021,4,17,2021-04,2
2021-04-18,33.21791187739463,2021,4,18,2021-04,2
2021-04-19,33.310105363984675,2021,4,19,2021-04,2
2021-04-20,32.696994457605804,2021,4,20,2021-04,2
2021-04-21,32.808168832250544,2021,4,21,2021-04,2
2021-04-22,32.46336938083121,2021,4,22,2021-04,2
2021-04-23,31.95186781609195,2021,4,23,2021-04,2
2021-04-24,31.966714559386972,2021,4,24,2021-04,2
2021-04-25,32.29909003831417,2021,4,25,2021-04,2
2021-04-26,32.179597701149426,2021,4,26,2021-04,2
2021-04-27,32.14080459770115,2021,4,27,2021-04,2
2021-04-28,32.107346564768726,2021,4,28,2021-04,2
2021-04-29,34.14393604479812,2021,4,29,2021-04,2
2021-04-30,32.18017542802026,2021,4,30,2021-04,2
