Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,30.426894179894184,2021,3,17,2021-03,1
2021-03-18,30.39880952380952,2021,3,18,2021-03,1
2021-03-19,30.647377834877837,2021,3,19,2021-03,1
2021-03-20,31.696721822901065,2021,3,20,2021-03,1
2021-03-21,35.52288359788359,2021,3,21,2021-03,1
2021-03-22,30.916143966547192,2021,3,22,2021-03,1
2021-03-23,30.469907407407412,2021,3,23,2021-03,1
2021-03-24,31.040343915343914,2021,3,24,2021-03,1
2021-03-25,31.067460317460327,2021,3,25,2021-03,1
2021-03-26,30.90457921707922,2021,3,26,2021-03,1
2021-03-27,31.033068783068778,2021,3,27,2021-03,1
2021-03-28,33.532345013477084,2021,3,28,2021-03,1
2021-03-29,31.838526222454796,2021,3,29,2021-03,1
2021-03-30,31.429563492063487,2021,3,30,2021-03,1
2021-03-31,30.933531746031743,2021,3,31,2021-03,1
2021-04-01,31.115659803159804,2021,4,1,2021-04,2
2021-04-02,31.154761904761898,2021,4,2,2021-04,2
2021-04-03,31.075577200577204,2021,4,3,2021-04,2
2021-04-04,32.4571868242081,2021,4,4,2021-04,2
2021-04-05,31.125369139904024,2021,4,5,2021-04,2
2021-04-06,30.964285714285715,2021,4,6,2021-04,2
2021-04-07,31.035383597883598,2021,4,7,2021-04,2
2021-04-08,31.180555555555554,2021,4,8,2021-04,2
2021-04-09,32.29291839113268,2021,4,9,2021-04,2
2021-04-10,32.42857142857143,2021,4,10,2021-04,2
2021-04-11,32.75892857142858,2021,4,11,2021-04,2
2021-04-12,32.601851851851855,2021,4,12,2021-04,2
2021-04-13,32.81183862433863,2021,4,13,2021-04,2
2021-04-14,33.33829365079365,2021,4,14,2021-04,2
2021-04-15,32.49933862433862,2021,4,15,2021-04,2
2021-04-16,32.548941798941804,2021,4,16,2021-04,2
2021-04-17,36.766534391534385,2021,4,17,2021-04,2
2021-04-18,32.82804232804233,2021,4,18,2021-04,2
2021-04-19,32.10059523809524,2021,4,19,2021-04,2
2021-04-20,32.63532404116981,2021,4,20,2021-04,2
2021-04-21,32.25276022362488,2021,4,21,2021-04,2
2021-04-22,32.382971715496595,2021,4,22,2021-04,2
2021-04-23,32.645450431634636,2021,4,23,2021-04,2
2021-04-24,33.014219576719576,2021,4,24,2021-04,2
2021-04-25,33.126322751322746,2021,4,25,2021-04,2
2021-04-26,32.529431216931215,2021,4,26,2021-04,2
2021-04-27,33.16495969711144,2021,4,27,2021-04,2
2021-04-28,33.66170634920635,2021,4,28,2021-04,2
2021-04-29,35.346891534391546,2021,4,29,2021-04,2
2021-04-30,32.77534113060429,2021,4,30,2021-04,2
2021-05-01,34.25569131161236,2021,5,1,2021-05,3
2021-05-02,33.29988753779077,2021,5,2,2021-05,3
2021-05-03,32.66541695019956,2021,5,3,2021-05,3
2021-05-04,33.02645502645503,2021,5,4,2021-05,3
2021-05-05,34.20938000582496,2021,5,5,2021-05,3
2021-05-06,31.557870370370374,2021,5,6,2021-05,3
2021-05-07,32.35152116402118,2021,5,7,2021-05,3
2021-05-08,31.793320105820104,2021,5,8,2021-05,3
2021-05-09,32.01488095238095,2021,5,9,2021-05,3
2021-05-10,33.258063695563685,2021,5,10,2021-05,3
2021-05-11,33.33549783549783,2021,5,11,2021-05,3
2021-05-12,33.324978786063696,2021,5,12,2021-05,3
2021-05-13,33.511574074074076,2021,5,13,2021-05,3
2021-05-14,33.82208994708996,2021,5,14,2021-05,3
2021-05-15,34.029264202875304,2021,5,15,2021-05,3
2021-05-16,34.63215984660939,2021,5,16,2021-05,3
2021-05-17,35.211287477954144,2021,5,17,2021-05,3
2021-05-18,36.82405202821869,2021,5,18,2021-05,3
2021-05-19,34.76440119340047,2021,5,19,2021-05,3
2021-05-20,34.59071869488537,2021,5,20,2021-05,3
2021-05-21,35.46299302549303,2021,5,21,2021-05,3
2021-05-22,34.627645502645514,2021,5,22,2021-05,3
2021-05-23,32.738425925925924,2021,5,23,2021-05,3
2021-05-24,33.4808201058201,2021,5,24,2021-05,3
2021-05-25,33.37241230991232,2021,5,25,2021-05,3
2021-05-26,33.05687830687831,2021,5,26,2021-05,3
2021-05-27,37.74206349206348,2021,5,27,2021-05,3
2021-05-28,32.75033068783068,2021,5,28,2021-05,3
2021-05-29,33.326058201058196,2021,5,29,2021-05,3
2021-05-30,33.432539682539684,2021,5,30,2021-05,3
2021-05-31,34.64616402116402,2021,5,31,2021-05,3
2021-06-01,32.981481481481474,2021,6,1,2021-06,4
2021-06-02,33.086309523809526,2021,6,2,2021-06,4
2021-06-03,33.10945767195768,2021,6,3,2021-06,4
2021-06-04,36.85616146100016,2021,6,4,2021-06,4
2021-06-05,32.91489417989417,2021,6,5,2021-06,4
2021-06-06,33.692239858906525,2021,6,6,2021-06,4
2021-06-07,34.01158766398492,2021,6,7,2021-06,4
2021-06-08,34.04861111111111,2021,6,8,2021-06,4
2021-06-09,33.56977513227513,2021,6,9,2021-06,4
2021-06-10,33.843457468457466,2021,6,10,2021-06,4
2021-06-11,33.66951798201798,2021,6,11,2021-06,4
2021-06-12,33.667173104673104,2021,6,12,2021-06,4
2021-06-13,34.69355043105044,2021,6,13,2021-06,4
2021-06-14,36.43355670360387,2021,6,14,2021-06,4
2021-06-15,33.703467498110356,2021,6,15,2021-06,4
2021-06-16,34.54960317460317,2021,6,16,2021-06,4
2021-06-17,33.203105493133585,2021,6,17,2021-06,4
2021-06-18,32.97883597883598,2021,6,18,2021-06,4
2021-06-19,36.951058201058196,2021,6,19,2021-06,4
2021-06-20,33.00781503077421,2021,6,20,2021-06,4
2021-06-21,33.05603426555807,2021,6,21,2021-06,4
2021-06-22,33.383597883597886,2021,6,22,2021-06,4
2021-06-23,34.07421282421282,2021,6,23,2021-06,4
2021-06-24,33.66008429401286,2021,6,24,2021-06,4
2021-06-25,33.496141975308646,2021,6,25,2021-06,4
2021-06-26,33.287240537240535,2021,6,26,2021-06,4
2021-06-27,33.14252645502646,2021,6,27,2021-06,4
2021-06-28,33.061697561697564,2021,6,28,2021-06,4
2021-06-29,36.103899544448325,2021,6,29,2021-06,4
2021-06-30,33.479503904457104,2021,6,30,2021-06,4
2021-07-01,34.85390567618144,2021,7,1,2021-07,5
2021-07-02,33.951786639286645,2021,7,2,2021-07,5
2021-07-03,33.855509026741906,2021,7,3,2021-07,5
2021-07-04,35.5460338952986,2021,7,4,2021-07,5
2021-07-05,34.959818912024794,2021,7,5,2021-07,5
2021-07-06,34.18479512141484,2021,7,6,2021-07,5
2021-07-07,33.965983025842185,2021,7,7,2021-07,5
2021-07-08,35.29021702934747,2021,7,8,2021-07,5
2021-07-09,35.093621656121655,2021,7,9,2021-07,5
2021-07-10,34.96869775387156,2021,7,10,2021-07,5
2021-07-11,34.662827912827915,2021,7,11,2021-07,5
2021-07-12,34.452946898780226,2021,7,12,2021-07,5
2021-07-13,33.63373156591241,2021,7,13,2021-07,5
2021-07-14,34.525729280393456,2021,7,14,2021-07,5
2021-07-15,33.01264938764938,2021,7,15,2021-07,5
2021-07-16,32.504470066970065,2021,7,16,2021-07,5
2021-07-17,32.84072179546496,2021,7,17,2021-07,5
2021-07-18,33.33671421171422,2021,7,18,2021-07,5
2021-07-19,33.886296975970886,2021,7,19,2021-07,5
2021-07-20,32.82106583892297,2021,7,20,2021-07,5
2021-07-21,33.34163239888031,2021,7,21,2021-07,5
2021-07-22,34.24402225552225,2021,7,22,2021-07,5
2021-07-23,34.36791370041295,2021,7,23,2021-07,5
2021-07-24,33.82696543723778,2021,7,24,2021-07,5
2021-07-25,33.535869297966066,2021,7,25,2021-07,5
2021-07-26,33.96211620996216,2021,7,26,2021-07,5
2021-07-27,33.89152006160204,2021,7,27,2021-07,5
2021-07-28,34.65352934102934,2021,7,28,2021-07,5
2021-07-29,35.59159810479785,2021,7,29,2021-07,5
2021-07-30,33.77518951496659,2021,7,30,2021-07,5
2021-07-31,33.831285016294466,2021,7,31,2021-07,5
2021-08-01,34.46507434271519,2021,8,1,2021-08,6
2021-08-02,33.489303624270406,2021,8,2,2021-08,6
2021-08-03,33.1484337114868,2021,8,3,2021-08,6
2021-08-04,33.895985744725245,2021,8,4,2021-08,6
2021-08-05,34.07522294533164,2021,8,5,2021-08,6
2021-08-06,34.011607294728684,2021,8,6,2021-08,6
2021-08-07,33.664509631222835,2021,8,7,2021-08,6
2021-08-08,34.24310661560661,2021,8,8,2021-08,6
2021-08-09,34.69118860067137,2021,8,9,2021-08,6
2021-08-10,33.12130085522943,2021,8,10,2021-08,6
2021-08-11,32.3157005032005,2021,8,11,2021-08,6
2021-08-12,34.36045209448126,2021,8,12,2021-08,6
2021-08-13,37.65677378177378,2021,8,13,2021-08,6
2021-08-14,41.50697913197913,2021,8,14,2021-08,6
2021-08-15,38.616212491212494,2021,8,15,2021-08,6
2021-08-16,32.76885383135383,2021,8,16,2021-08,6
2021-08-17,34.108493358493355,2021,8,17,2021-08,6
2021-08-18,32.812888500388496,2021,8,18,2021-08,6
2021-08-19,33.076960076960084,2021,8,19,2021-08,6
2021-08-20,33.34611469309745,2021,8,20,2021-08,6
2021-08-21,33.597798035298034,2021,8,21,2021-08,6
2021-08-22,32.56864663114664,2021,8,22,2021-08,6
2021-08-23,32.61432086432086,2021,8,23,2021-08,6
2021-08-24,32.70566701816703,2021,8,24,2021-08,6
2021-08-25,35.6633066008066,2021,8,25,2021-08,6
2021-08-26,34.09921708187937,2021,8,26,2021-08,6
2021-08-27,33.992152586216974,2021,8,27,2021-08,6
2021-08-28,34.27955398043003,2021,8,28,2021-08,6
2021-08-29,34.14463314463315,2021,8,29,2021-08,6
2021-08-30,34.47770342725731,2021,8,30,2021-08,6
2021-08-31,32.46431577681577,2021,8,31,2021-08,6
2021-09-01,33.74031292781293,2021,9,1,2021-09,7
2021-09-02,34.98165491915492,2021,9,2,2021-09,7
2021-09-03,34.36838393088393,2021,9,3,2021-09,7
2021-09-04,35.43493312243313,2021,9,4,2021-09,7
2021-09-05,33.036709548695846,2021,9,5,2021-09,7
2021-09-06,33.73926060256109,2021,9,6,2021-09,7
2021-09-07,32.3410754798413,2021,9,7,2021-09,7
2021-09-08,32.51696259530767,2021,9,8,2021-09,7
2021-09-09,33.48087672403064,2021,9,9,2021-09,7
2021-09-10,33.43526302062888,2021,9,10,2021-09,7
2021-09-11,33.51358595108595,2021,9,11,2021-09,7
2021-09-12,34.08681364931365,2021,9,12,2021-09,7
2021-09-13,33.4522052022052,2021,9,13,2021-09,7
2021-09-14,33.85583629333629,2021,9,14,2021-09,7
2021-09-15,34.096001221001224,2021,9,15,2021-09,7
2021-09-16,33.301587301587304,2021,9,16,2021-09,7
2021-09-17,33.12138787138787,2021,9,17,2021-09,7
2021-09-18,35.13142181892182,2021,9,18,2021-09,7
2021-09-19,32.732970732970735,2021,9,19,2021-09,7
2021-09-20,33.15850128614213,2021,9,20,2021-09,7
2021-09-21,33.309354996855,2021,9,21,2021-09,7
2021-09-22,34.141883579383574,2021,9,22,2021-09,7
2021-09-23,33.88391932141932,2021,9,23,2021-09,7
2021-09-24,33.65020026270027,2021,9,24,2021-09,7
2021-09-25,32.78676416176417,2021,9,25,2021-09,7
2021-09-26,33.31036671661672,2021,9,26,2021-09,7
2021-09-27,32.51325849617928,2021,9,27,2021-09,7
2021-09-28,32.757772320272316,2021,9,28,2021-09,7
2021-09-29,33.24834656084656,2021,9,29,2021-09,7
2021-09-30,33.49669312169312,2021,9,30,2021-09,7
2021-10-01,34.3558201058201,2021,10,1,2021-10,8
2021-10-02,32.694504569504566,2021,10,2,2021-10,8
2021-10-03,33.0135582010582,2021,10,3,2021-10,8
2021-10-04,33.53174603174604,2021,10,4,2021-10,8
2021-10-05,33.927091427091426,2021,10,5,2021-10,8
2021-10-06,34.289351851851855,2021,10,6,2021-10,8
2021-10-07,33.75179681429681,2021,10,7,2021-10,8
2021-10-08,33.58201058201058,2021,10,8,2021-10,8
2021-10-09,34.336970899470906,2021,10,9,2021-10,8
2021-10-10,33.154761904761905,2021,10,10,2021-10,8
2021-10-11,33.59093915343915,2021,10,11,2021-10,8
2021-10-12,36.68121693121694,2021,10,12,2021-10,8
2021-10-13,37.40972222222223,2021,10,13,2021-10,8
2021-10-14,32.84920634920635,2021,10,14,2021-10,8
2021-10-15,33.407407407407405,2021,10,15,2021-10,8
2021-10-16,34.10505466755467,2021,10,16,2021-10,8
2021-10-17,35.328703703703695,2021,10,17,2021-10,8
2021-10-18,32.649370255348515,2021,10,18,2021-10,8
2021-10-19,33.182870370370374,2021,10,19,2021-10,8
2021-10-20,33.70346089096089,2021,10,20,2021-10,8
