Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,43.1329389364885,2021,3,17,2021-03,1
2021-03-18,43.3958502542855,2021,3,18,2021-03,1
2021-03-19,43.0560659069273,2021,3,19,2021-03,1
2021-03-20,43.10109819121446,2021,3,20,2021-03,1
2021-03-21,49.50250322997417,2021,3,21,2021-03,1
2021-03-22,44.05642182005401,2021,3,22,2021-03,1
2021-03-23,42.625314301331734,2021,3,23,2021-03,1
2021-03-24,42.76627210651034,2021,3,24,2021-03,1
2021-03-25,42.60409274120174,2021,3,25,2021-03,1
2021-03-26,43.20067117959561,2021,3,26,2021-03,1
2021-03-27,42.9188468992248,2021,3,27,2021-03,1
2021-03-28,44.335029069767444,2021,3,28,2021-03,1
2021-03-29,44.206456456456436,2021,3,29,2021-03,1
2021-03-30,42.830942046175025,2021,3,30,2021-03,1
2021-03-31,43.01146640826874,2021,3,31,2021-03,1
2021-04-01,43.00693193398117,2021,4,1,2021-04,2
2021-04-02,42.896398578811365,2021,4,2,2021-04,2
2021-04-03,42.86797480620156,2021,4,3,2021-04,2
2021-04-04,43.793893314207814,2021,4,4,2021-04,2
2021-04-05,45.27434593023255,2021,4,5,2021-04,2
2021-04-06,42.20135860788113,2021,4,6,2021-04,2
2021-04-07,42.621256604574015,2021,4,7,2021-04,2
2021-04-08,43.565309696026354,2021,4,8,2021-04,2
2021-04-09,42.75387596899224,2021,4,9,2021-04,2
2021-04-10,42.68717700258399,2021,4,10,2021-04,2
2021-04-11,42.8986030968895,2021,4,11,2021-04,2
2021-04-12,42.72526177017805,2021,4,12,2021-04,2
2021-04-13,42.92451984264722,2021,4,13,2021-04,2
2021-04-14,48.201760335917314,2021,4,14,2021-04,2
2021-04-15,42.547792850990525,2021,4,15,2021-04,2
2021-04-16,42.55951765719207,2021,4,16,2021-04,2
2021-04-17,43.49514769790933,2021,4,17,2021-04,2
2021-04-18,43.50928617571059,2021,4,18,2021-04,2
2021-04-19,42.796753875968996,2021,4,19,2021-04,2
2021-04-20,43.16458522453547,2021,4,20,2021-04,2
2021-04-21,43.089004234353055,2021,4,21,2021-04,2
2021-04-22,42.52443152454779,2021,4,22,2021-04,2
2021-04-23,42.448930900803084,2021,4,23,2021-04,2
2021-04-24,42.78090325277397,2021,4,24,2021-04,2
2021-04-25,43.23546511627908,2021,4,25,2021-04,2
2021-04-26,43.00595640363082,2021,4,26,2021-04,2
2021-04-27,43.25598592034292,2021,4,27,2021-04,2
2021-04-28,43.49717915590009,2021,4,28,2021-04,2
2021-04-29,44.88856589147288,2021,4,29,2021-04,2
2021-04-30,43.05773578811368,2021,4,30,2021-04,2
2021-05-01,43.71778100775194,2021,5,1,2021-05,3
2021-05-02,44.544573643410835,2021,5,2,2021-05,3
2021-05-03,42.70195413436691,2021,5,3,2021-05,3
2021-05-04,43.08817829457364,2021,5,4,2021-05,3
2021-05-05,44.548045865633085,2021,5,5,2021-05,3
2021-05-06,43.32727713178295,2021,5,6,2021-05,3
2021-05-07,43.93176679586563,2021,5,7,2021-05,3
2021-05-08,42.971091731266156,2021,5,8,2021-05,3
2021-05-09,43.43838824289406,2021,5,9,2021-05,3
2021-05-10,43.14365469977229,2021,5,10,2021-05,3
2021-05-11,43.17184791585067,2021,5,11,2021-05,3
2021-05-12,43.157161543888755,2021,5,12,2021-05,3
2021-05-13,43.989631466281615,2021,5,13,2021-05,3
2021-05-14,43.104721973762665,2021,5,14,2021-05,3
2021-05-15,43.07000968992247,2021,5,15,2021-05,3
2021-05-16,43.54966085271317,2021,5,16,2021-05,3
2021-05-17,43.683599244842405,2021,5,17,2021-05,3
2021-05-18,45.0578786523554,2021,5,18,2021-05,3
2021-05-19,45.3836651397698,2021,5,19,2021-05,3
2021-05-20,43.8825191898465,2021,5,20,2021-05,3
2021-05-21,43.691411636888716,2021,5,21,2021-05,3
2021-05-22,44.804658914728705,2021,5,22,2021-05,3
2021-05-23,43.39897861914667,2021,5,23,2021-05,3
2021-05-24,42.664439203354284,2021,5,24,2021-05,3
2021-05-25,42.942550505050505,2021,5,25,2021-05,3
2021-05-26,42.57254752676265,2021,5,26,2021-05,3
2021-05-27,45.835319330958875,2021,5,27,2021-05,3
2021-05-28,42.712737504279374,2021,5,28,2021-05,3
2021-05-29,43.064437984496124,2021,5,29,2021-05,3
2021-05-30,43.58050710594316,2021,5,30,2021-05,3
2021-05-31,44.80144186650244,2021,5,31,2021-05,3
2021-06-01,43.05845380263985,2021,6,1,2021-06,4
2021-06-02,42.75634147158008,2021,6,2,2021-06,4
2021-06-03,42.679286637135476,2021,6,3,2021-06,4
2021-06-04,45.62800014907573,2021,6,4,2021-06,4
2021-06-05,42.86208010335918,2021,6,5,2021-06,4
2021-06-06,43.314680232558125,2021,6,6,2021-06,4
2021-06-07,43.41620524178663,2021,6,7,2021-06,4
2021-06-08,44.48683328457899,2021,6,8,2021-06,4
2021-06-09,43.34263260353376,2021,6,9,2021-06,4
2021-06-10,43.254982310608824,2021,6,10,2021-06,4
2021-06-11,43.027197944312,2021,6,11,2021-06,4
2021-06-12,43.14348539057842,2021,6,12,2021-06,4
2021-06-13,43.28677575654319,2021,6,13,2021-06,4
2021-06-14,43.93518264589732,2021,6,14,2021-06,4
2021-06-15,43.62016678412026,2021,6,15,2021-06,4
2021-06-16,43.07696063692826,2021,6,16,2021-06,4
2021-06-17,43.08774372151962,2021,6,17,2021-06,4
2021-06-18,43.37549624939927,2021,6,18,2021-06,4
2021-06-19,45.99948242582734,2021,6,19,2021-06,4
2021-06-20,43.44128537215607,2021,6,20,2021-06,4
2021-06-21,42.790490468529065,2021,6,21,2021-06,4
2021-06-22,42.95511720191952,2021,6,22,2021-06,4
2021-06-23,42.930094130675535,2021,6,23,2021-06,4
2021-06-24,43.025519870723045,2021,6,24,2021-06,4
2021-06-25,42.8213058443688,2021,6,25,2021-06,4
2021-06-26,43.08777454780363,2021,6,26,2021-06,4
2021-06-27,43.27410403946854,2021,6,27,2021-06,4
2021-06-28,43.27459659524093,2021,6,28,2021-06,4
2021-06-29,44.94081988400151,2021,6,29,2021-06,4
2021-06-30,42.857103592132674,2021,6,30,2021-06,4
2021-07-01,44.096113322459566,2021,7,1,2021-07,5
2021-07-02,44.491802886224015,2021,7,2,2021-07,5
2021-07-03,43.84057849950993,2021,7,3,2021-07,5
2021-07-04,43.97763024652559,2021,7,4,2021-07,5
2021-07-05,45.39468947356314,2021,7,5,2021-07,5
2021-07-06,43.475077619409014,2021,7,6,2021-07,5
2021-07-07,43.03156522061351,2021,7,7,2021-07,5
2021-07-08,47.00833006161857,2021,7,8,2021-07,5
2021-07-09,43.06832386985741,2021,7,9,2021-07,5
2021-07-10,45.06509640230571,2021,7,10,2021-07,5
2021-07-11,45.158184654625835,2021,7,11,2021-07,5
2021-07-12,43.8416340524694,2021,7,12,2021-07,5
2021-07-13,43.17041627909315,2021,7,13,2021-07,5
2021-07-14,42.472290323661184,2021,7,14,2021-07,5
2021-07-15,42.423987498723406,2021,7,15,2021-07,5
2021-07-16,42.32678365580373,2021,7,16,2021-07,5
2021-07-17,42.62546288206544,2021,7,17,2021-07,5
2021-07-18,42.84000064599481,2021,7,18,2021-07,5
2021-07-19,43.03747130996979,2021,7,19,2021-07,5
2021-07-20,42.7308971729465,2021,7,20,2021-07,5
2021-07-21,42.81516430125453,2021,7,21,2021-07,5
2021-07-22,42.90041712970493,2021,7,22,2021-07,5
2021-07-23,42.973988342197885,2021,7,23,2021-07,5
2021-07-24,42.88717735054572,2021,7,24,2021-07,5
2021-07-25,43.10255167958656,2021,7,25,2021-07,5
2021-07-26,42.05959733646873,2021,7,26,2021-07,5
2021-07-27,42.493380012150205,2021,7,27,2021-07,5
2021-07-28,43.39289146008415,2021,7,28,2021-07,5
2021-07-29,41.96640107270613,2021,7,29,2021-07,5
2021-07-30,41.55948369043388,2021,7,30,2021-07,5
2021-07-31,41.985060691892095,2021,7,31,2021-07,5
2021-08-01,42.215350605768464,2021,8,1,2021-08,6
2021-08-02,41.93589327054615,2021,8,2,2021-08,6
2021-08-03,42.34487073910559,2021,8,3,2021-08,6
2021-08-04,42.599486920647024,2021,8,4,2021-08,6
2021-08-05,42.79349317518698,2021,8,5,2021-08,6
2021-08-06,42.38404792424201,2021,8,6,2021-08,6
2021-08-07,42.83567961385886,2021,8,7,2021-08,6
2021-08-08,44.009506779615876,2021,8,8,2021-08,6
2021-08-09,42.19175882257278,2021,8,9,2021-08,6
2021-08-10,42.171802662387904,2021,8,10,2021-08,6
2021-08-11,42.53986874299696,2021,8,11,2021-08,6
2021-08-12,42.17724483204136,2021,8,12,2021-08,6
2021-08-13,44.81548772609819,2021,8,13,2021-08,6
2021-08-14,46.507348191214476,2021,8,14,2021-08,6
2021-08-15,46.65415051679586,2021,8,15,2021-08,6
2021-08-16,41.75395671834626,2021,8,16,2021-08,6
2021-08-17,41.94355209565103,2021,8,17,2021-08,6
2021-08-18,41.43182500449088,2021,8,18,2021-08,6
2021-08-19,41.83079852630339,2021,8,19,2021-08,6
2021-08-20,42.09941648396105,2021,8,20,2021-08,6
2021-08-21,42.337184456370494,2021,8,21,2021-08,6
2021-08-22,42.94589974740875,2021,8,22,2021-08,6
2021-08-23,43.275762973244696,2021,8,23,2021-08,6
2021-08-24,42.97772398800779,2021,8,24,2021-08,6
2021-08-25,42.04045083537117,2021,8,25,2021-08,6
2021-08-26,42.800104917692124,2021,8,26,2021-08,6
2021-08-27,42.738664708501446,2021,8,27,2021-08,6
2021-08-28,42.437523716593475,2021,8,28,2021-08,6
2021-08-29,42.359415374677006,2021,8,29,2021-08,6
2021-08-30,43.754592618376336,2021,8,30,2021-08,6
2021-08-31,42.970751559030404,2021,8,31,2021-08,6
2021-09-01,44.460016045678074,2021,9,1,2021-09,7
2021-09-02,45.197244800500094,2021,9,2,2021-09,7
2021-09-03,43.13713943754204,2021,9,3,2021-09,7
2021-09-04,42.27939276485788,2021,9,4,2021-09,7
2021-09-05,41.135629707515534,2021,9,5,2021-09,7
2021-09-06,41.34178661083516,2021,9,6,2021-09,7
2021-09-07,41.43393073415251,2021,9,7,2021-09,7
2021-09-08,42.184215648872076,2021,9,8,2021-09,7
2021-09-09,43.17333900614509,2021,9,9,2021-09,7
2021-09-10,41.911530430970835,2021,9,10,2021-09,7
2021-09-11,42.0485498529805,2021,9,11,2021-09,7
2021-09-12,42.46607863438463,2021,9,12,2021-09,7
2021-09-13,42.66519846687381,2021,9,13,2021-09,7
2021-09-14,41.929917692450516,2021,9,14,2021-09,7
2021-09-15,42.24434375077578,2021,9,15,2021-09,7
