Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,35.31534954407295,2021,3,17,2021-03,1
2021-03-18,35.41276085026085,2021,3,18,2021-03,1
2021-03-19,35.08285118542752,2021,3,19,2021-03,1
2021-03-20,39.330935846560855,2021,3,20,2021-03,1
2021-03-21,38.9136460554371,2021,3,21,2021-03,1
2021-03-22,35.63289176923364,2021,3,22,2021-03,1
2021-03-23,35.25141031031319,2021,3,23,2021-03,1
2021-03-24,35.11799279728112,2021,3,24,2021-03,1
2021-03-25,34.96888573007976,2021,3,25,2021-03,1
2021-03-26,35.24050151975684,2021,3,26,2021-03,1
2021-03-27,36.099045729402874,2021,3,27,2021-03,1
2021-03-28,42.196684738057975,2021,3,28,2021-03,1
2021-03-29,35.34537453287453,2021,3,29,2021-03,1
2021-03-30,35.64546969194181,2021,3,30,2021-03,1
2021-03-31,35.36371215152728,2021,3,31,2021-03,1
2021-04-01,36.127023612098235,2021,4,1,2021-04,2
2021-04-02,35.739788162362785,2021,4,2,2021-04,2
2021-04-03,36.19530034235917,2021,4,3,2021-04,2
2021-04-04,37.302692813722224,2021,4,4,2021-04,2
2021-04-05,34.608628484561315,2021,4,5,2021-04,2
2021-04-06,34.90625718886589,2021,4,6,2021-04,2
2021-04-07,35.4733309990663,2021,4,7,2021-04,2
2021-04-08,35.97924406169087,2021,4,8,2021-04,2
2021-04-09,35.97466422466422,2021,4,9,2021-04,2
2021-04-10,36.29750247421111,2021,4,10,2021-04,2
2021-04-11,36.488001499812526,2021,4,11,2021-04,2
2021-04-12,38.97887731481482,2021,4,12,2021-04,2
2021-04-13,37.93271774521775,2021,4,13,2021-04,2
2021-04-14,34.99490351696234,2021,4,14,2021-04,2
2021-04-15,35.09061329316803,2021,4,15,2021-04,2
2021-04-16,35.855648545968094,2021,4,16,2021-04,2
2021-04-17,36.84219914648746,2021,4,17,2021-04,2
2021-04-18,35.33034307103456,2021,4,18,2021-04,2
2021-04-19,35.383938019652305,2021,4,19,2021-04,2
2021-04-20,35.09481490731491,2021,4,20,2021-04,2
2021-04-21,35.80264846402905,2021,4,21,2021-04,2
2021-04-22,36.101938339438334,2021,4,22,2021-04,2
2021-04-23,36.2558697089947,2021,4,23,2021-04,2
2021-04-24,36.445498667303184,2021,4,24,2021-04,2
2021-04-25,36.08798331298331,2021,4,25,2021-04,2
2021-04-26,35.75027056277056,2021,4,26,2021-04,2
2021-04-27,36.13872601279317,2021,4,27,2021-04,2
2021-04-28,37.22330876795162,2021,4,28,2021-04,2
2021-04-29,38.59469343292873,2021,4,29,2021-04,2
2021-04-30,35.24822998743862,2021,4,30,2021-04,2
2021-05-01,35.57169682169682,2021,5,1,2021-05,3
2021-05-02,35.259446169772254,2021,5,2,2021-05,3
2021-05-03,35.200763125763125,2021,5,3,2021-05,3
2021-05-04,36.13434065934066,2021,5,4,2021-05,3
2021-05-05,39.4759632860778,2021,5,5,2021-05,3
2021-05-06,35.542918192918194,2021,5,6,2021-05,3
2021-05-07,35.83308780591389,2021,5,7,2021-05,3
2021-05-08,36.12107694796544,2021,5,8,2021-05,3
2021-05-09,35.866993492449694,2021,5,9,2021-05,3
2021-05-10,35.82485506022739,2021,5,10,2021-05,3
2021-05-11,36.794723647117266,2021,5,11,2021-05,3
2021-05-12,41.683270921827265,2021,5,12,2021-05,3
2021-05-13,36.63665963665964,2021,5,13,2021-05,3
2021-05-14,36.10123117623118,2021,5,14,2021-05,3
2021-05-15,36.09269943019943,2021,5,15,2021-05,3
2021-05-16,33.3077380952381,2021,5,16,2021-05,3
2021-05-17,34.53348965848965,2021,5,17,2021-05,3
2021-05-18,35.01446572781159,2021,5,18,2021-05,3
2021-05-19,34.08023645386785,2021,5,19,2021-05,3
2021-05-20,40.955801209372645,2021,5,20,2021-05,3
2021-05-21,33.49782957001267,2021,5,21,2021-05,3
2021-05-22,33.340249832327295,2021,5,22,2021-05,3
2021-05-23,34.07351907351907,2021,5,23,2021-05,3
2021-05-24,38.026124338624335,2021,5,24,2021-05,3
2021-05-25,35.66470584877442,2021,5,25,2021-05,3
2021-05-26,39.263380138380136,2021,5,26,2021-05,3
2021-05-27,42.02431709117756,2021,5,27,2021-05,3
2021-05-28,35.56444464187001,2021,5,28,2021-05,3
2021-05-29,35.32372031499939,2021,5,29,2021-05,3
2021-05-30,36.002928949357525,2021,5,30,2021-05,3
2021-05-31,35.8164412809785,2021,5,31,2021-05,3
2021-06-01,35.87818023190363,2021,6,1,2021-06,4
2021-06-02,36.06548563869993,2021,6,2,2021-06,4
2021-06-03,41.89691987906273,2021,6,3,2021-06,4
2021-06-04,43.883444044816216,2021,6,4,2021-06,4
2021-06-05,34.838195201744824,2021,6,5,2021-06,4
2021-06-06,35.3501669186193,2021,6,6,2021-06,4
2021-06-07,35.34011675530689,2021,6,7,2021-06,4
2021-06-08,35.212712133545466,2021,6,8,2021-06,4
2021-06-09,35.29433595980359,2021,6,9,2021-06,4
2021-06-10,35.989027628595295,2021,6,10,2021-06,4
2021-06-11,34.47275033562347,2021,6,11,2021-06,4
2021-06-12,33.44886621315192,2021,6,12,2021-06,4
2021-06-13,33.5967844101647,2021,6,13,2021-06,4
2021-06-14,33.44858151108151,2021,6,14,2021-06,4
2021-06-15,36.69337457205105,2021,6,15,2021-06,4
2021-06-16,35.56629669411625,2021,6,16,2021-06,4
