Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,27.70016339869281,2021,3,17,2021-03,1
2021-03-18,26.404411764705877,2021,3,18,2021-03,1
2021-03-19,25.8065982220394,2021,3,19,2021-03,1
2021-03-20,26.049428104575156,2021,3,20,2021-03,1
2021-03-21,32.410947712418306,2021,3,21,2021-03,1
2021-03-22,26.58251633986928,2021,3,22,2021-03,1
2021-03-23,25.82720588235294,2021,3,23,2021-03,1
2021-03-24,25.818627450980387,2021,3,24,2021-03,1
2021-03-25,27.186274509803923,2021,3,25,2021-03,1
2021-03-26,25.938108460167282,2021,3,26,2021-03,1
2021-03-27,25.89297385620915,2021,3,27,2021-03,1
2021-03-28,28.408088235294116,2021,3,28,2021-03,1
2021-03-29,26.910539215686274,2021,3,29,2021-03,1
2021-03-30,26.350898692810457,2021,3,30,2021-03,1
2021-03-31,26.46037581699347,2021,3,31,2021-03,1
2021-04-01,26.21160130718954,2021,4,1,2021-04,2
2021-04-02,26.11233660130719,2021,4,2,2021-04,2
2021-04-03,26.230392156862738,2021,4,3,2021-04,2
2021-04-04,32.69607843137255,2021,4,4,2021-04,2
2021-04-05,27.87704248366012,2021,4,5,2021-04,2
2021-04-06,25.77982026143791,2021,4,6,2021-04,2
2021-04-07,25.766339869281047,2021,4,7,2021-04,2
2021-04-08,26.010212418300654,2021,4,8,2021-04,2
2021-04-09,28.331699346405223,2021,4,9,2021-04,2
2021-04-10,25.770424836601304,2021,4,10,2021-04,2
2021-04-11,25.906045751633986,2021,4,11,2021-04,2
2021-04-12,26.038398692810457,2021,4,12,2021-04,2
2021-04-13,27.428104575163403,2021,4,13,2021-04,2
2021-04-14,26.431372549019617,2021,4,14,2021-04,2
2021-04-15,26.03553921568627,2021,4,15,2021-04,2
2021-04-16,26.0,2021,4,16,2021-04,2
2021-04-17,28.431781045751634,2021,4,17,2021-04,2
2021-04-18,28.45098039215686,2021,4,18,2021-04,2
2021-04-19,26.328022875816995,2021,4,19,2021-04,2
2021-04-20,25.883578431372552,2021,4,20,2021-04,2
2021-04-21,25.625408496732028,2021,4,21,2021-04,2
2021-04-22,25.696486928104576,2021,4,22,2021-04,2
2021-04-23,25.863970588235293,2021,4,23,2021-04,2
2021-04-24,26.071895424836594,2021,4,24,2021-04,2
2021-04-25,26.25,2021,4,25,2021-04,2
2021-04-26,25.83374183006536,2021,4,26,2021-04,2
2021-04-27,25.91625816993464,2021,4,27,2021-04,2
2021-04-28,26.31699346405229,2021,4,28,2021-04,2
2021-04-29,27.896241830065357,2021,4,29,2021-04,2
2021-04-30,28.136029411764714,2021,4,30,2021-04,2
2021-05-01,26.27900326797386,2021,5,1,2021-05,3
2021-05-02,27.609477124183005,2021,5,2,2021-05,3
2021-05-03,26.039215686274506,2021,5,3,2021-05,3
2021-05-04,25.912990196078425,2021,5,4,2021-05,3
2021-05-05,26.73325163398693,2021,5,5,2021-05,3
2021-05-06,26.050653594771244,2021,5,6,2021-05,3
2021-05-07,26.278594771241828,2021,5,7,2021-05,3
2021-05-08,26.723856209150323,2021,5,8,2021-05,3
2021-05-09,27.24264705882353,2021,5,9,2021-05,3
2021-05-10,27.037047511312217,2021,5,10,2021-05,3
2021-05-11,26.38153594771242,2021,5,11,2021-05,3
2021-05-12,25.949189291101057,2021,5,12,2021-05,3
2021-05-13,26.225942854619323,2021,5,13,2021-05,3
2021-05-14,26.873774509803923,2021,5,14,2021-05,3
2021-05-15,26.133578431372552,2021,5,15,2021-05,3
2021-05-16,27.887254901960784,2021,5,16,2021-05,3
2021-05-17,29.764705882352942,2021,5,17,2021-05,3
2021-05-18,26.36401284651792,2021,5,18,2021-05,3
2021-05-19,26.501351181498244,2021,5,19,2021-05,3
2021-05-20,25.89501633986928,2021,5,20,2021-05,3
2021-05-21,30.505835132218028,2021,5,21,2021-05,3
2021-05-22,27.372744387610116,2021,5,22,2021-05,3
2021-05-23,26.696078431372545,2021,5,23,2021-05,3
2021-05-24,25.824754901960784,2021,5,24,2021-05,3
2021-05-25,26.87295751633987,2021,5,25,2021-05,3
2021-05-26,25.88031045751634,2021,5,26,2021-05,3
2021-05-27,27.630310457516345,2021,5,27,2021-05,3
2021-05-28,27.156862745098042,2021,5,28,2021-05,3
2021-05-29,26.5702614379085,2021,5,29,2021-05,3
