Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,47.764985380116954,2021,3,17,2021-03,1
2021-03-18,48.21125730994152,2021,3,18,2021-03,1
2021-03-19,48.13925438596491,2021,3,19,2021-03,1
2021-03-20,51.540204678362564,2021,3,20,2021-03,1
2021-03-21,53.38340643274853,2021,3,21,2021-03,1
2021-03-22,51.035453216374265,2021,3,22,2021-03,1
2021-03-23,47.933479532163744,2021,3,23,2021-03,1
2021-03-24,48.17324561403509,2021,3,24,2021-03,1
2021-03-25,48.199926900584785,2021,3,25,2021-03,1
2021-03-26,48.17616959064329,2021,3,26,2021-03,1
2021-03-27,48.81761695906434,2021,3,27,2021-03,1
2021-03-28,52.28947368421052,2021,3,28,2021-03,1
2021-03-29,48.31323099415205,2021,3,29,2021-03,1
2021-03-30,48.66154970760235,2021,3,30,2021-03,1
2021-03-31,48.693347953216374,2021,3,31,2021-03,1
2021-04-01,48.35562865497076,2021,4,1,2021-04,2
2021-04-02,48.70723684210526,2021,4,2,2021-04,2
2021-04-03,48.460891812865505,2021,4,3,2021-04,2
2021-04-04,53.659356725146196,2021,4,4,2021-04,2
2021-04-05,47.93165204678362,2021,4,5,2021-04,2
2021-04-06,47.52721803050749,2021,4,6,2021-04,2
2021-04-07,48.31432748538011,2021,4,7,2021-04,2
2021-04-08,48.437865497076025,2021,4,8,2021-04,2
2021-04-09,47.95540935672514,2021,4,9,2021-04,2
2021-04-10,48.4561403508772,2021,4,10,2021-04,2
2021-04-11,48.90277777777777,2021,4,11,2021-04,2
2021-04-12,49.290935672514614,2021,4,12,2021-04,2
2021-04-13,48.94334795321638,2021,4,13,2021-04,2
2021-04-14,49.32456140350877,2021,4,14,2021-04,2
2021-04-15,48.55409356725146,2021,4,15,2021-04,2
2021-04-16,48.597953216374265,2021,4,16,2021-04,2
2021-04-17,50.888888888888886,2021,4,17,2021-04,2
2021-04-18,49.36988304093566,2021,4,18,2021-04,2
2021-04-19,48.294225146198826,2021,4,19,2021-04,2
2021-04-20,48.555555555555564,2021,4,20,2021-04,2
2021-04-21,48.94115497076024,2021,4,21,2021-04,2
2021-04-22,48.797880116959064,2021,4,22,2021-04,2
2021-04-23,48.422514619883046,2021,4,23,2021-04,2
2021-04-24,48.77997076023392,2021,4,24,2021-04,2
2021-04-25,48.32236842105262,2021,4,25,2021-04,2
2021-04-26,48.14985380116959,2021,4,26,2021-04,2
2021-04-27,49.56432748538012,2021,4,27,2021-04,2
2021-04-28,49.29605263157895,2021,4,28,2021-04,2
2021-04-29,51.823464912280706,2021,4,29,2021-04,2
2021-04-30,48.82309941520469,2021,4,30,2021-04,2
2021-05-01,50.619883040935676,2021,5,1,2021-05,3
2021-05-02,53.06674933049135,2021,5,2,2021-05,3
2021-05-03,45.22222222222223,2021,5,3,2021-05,3
2021-05-04,45.76352339181286,2021,5,4,2021-05,3
2021-05-05,48.50840643274854,2021,5,5,2021-05,3
2021-05-06,48.15128256246677,2021,5,6,2021-05,3
2021-05-07,48.82273391812866,2021,5,7,2021-05,3
2021-05-08,48.60891812865496,2021,5,8,2021-05,3
2021-05-09,48.57383040935672,2021,5,9,2021-05,3
2021-05-10,49.31432748538011,2021,5,10,2021-05,3
2021-05-11,48.73606766040975,2021,5,11,2021-05,3
2021-05-12,49.16374269005847,2021,5,12,2021-05,3
2021-05-13,48.66045321637426,2021,5,13,2021-05,3
2021-05-14,49.55884502923976,2021,5,14,2021-05,3
2021-05-15,50.58552631578947,2021,5,15,2021-05,3
2021-05-16,49.93823099415203,2021,5,16,2021-05,3
2021-05-17,55.53216374269006,2021,5,17,2021-05,3
2021-05-18,48.11659356725146,2021,5,18,2021-05,3
2021-05-19,48.1359649122807,2021,5,19,2021-05,3
2021-05-20,55.32638888888888,2021,5,20,2021-05,3
2021-05-21,50.24853801169591,2021,5,21,2021-05,3
2021-05-22,47.975202429149796,2021,5,22,2021-05,3
2021-05-23,48.23062865497076,2021,5,23,2021-05,3
2021-05-24,51.65862573099417,2021,5,24,2021-05,3
2021-05-25,48.16447368421053,2021,5,25,2021-05,3
2021-05-26,48.23830409356725,2021,5,26,2021-05,3
2021-05-27,53.380847953216374,2021,5,27,2021-05,3
2021-05-28,49.31839327150493,2021,5,28,2021-05,3
2021-05-29,34.629751461988306,2021,5,29,2021-05,3
2021-05-30,34.657529239766085,2021,5,30,2021-05,3
2021-05-31,48.402382490971426,2021,5,31,2021-05,3
2021-06-01,48.71856725146199,2021,6,1,2021-06,4
2021-06-02,49.44480994152046,2021,6,2,2021-06,4
2021-06-03,49.28472222222222,2021,6,3,2021-06,4
2021-06-04,56.15314327485379,2021,6,4,2021-06,4
2021-06-05,48.33479532163743,2021,6,5,2021-06,4
2021-06-06,48.673611111111114,2021,6,6,2021-06,4
2021-06-07,49.236495192784226,2021,6,7,2021-06,4
2021-06-08,49.179166666666674,2021,6,8,2021-06,4
2021-06-09,48.87120156309777,2021,6,9,2021-06,4
2021-06-10,49.15204678362573,2021,6,10,2021-06,4
2021-06-11,48.969298245614034,2021,6,11,2021-06,4
2021-06-12,49.197733918128655,2021,6,12,2021-06,4
2021-06-13,50.280670426065164,2021,6,13,2021-06,4
2021-06-14,50.88998538011697,2021,6,14,2021-06,4
2021-06-15,49.82602339181286,2021,6,15,2021-06,4
2021-06-16,50.033991228070185,2021,6,16,2021-06,4
2021-06-17,47.70276100333659,2021,6,17,2021-06,4
2021-06-18,52.5446675900277,2021,6,18,2021-06,4
2021-06-19,52.44773391812865,2021,6,19,2021-06,4
2021-06-20,48.34027777777777,2021,6,20,2021-06,4
2021-06-21,48.93150972933809,2021,6,21,2021-06,4
2021-06-22,48.17841478696742,2021,6,22,2021-06,4
2021-06-23,48.30690948385457,2021,6,23,2021-06,4
2021-06-24,49.22418319349097,2021,6,24,2021-06,4
2021-06-25,49.90752923976608,2021,6,25,2021-06,4
2021-06-26,49.544384057971016,2021,6,26,2021-06,4
2021-06-27,49.3329678362573,2021,6,27,2021-06,4
2021-06-28,49.77339181286549,2021,6,28,2021-06,4
2021-06-29,48.652046783625735,2021,6,29,2021-06,4
2021-06-30,49.256944444444436,2021,6,30,2021-06,4
2021-07-01,48.947002923976605,2021,7,1,2021-07,5
2021-07-02,49.61440058479532,2021,7,2,2021-07,5
2021-07-03,50.922149122807014,2021,7,3,2021-07,5
2021-07-04,49.783991228070185,2021,7,4,2021-07,5
2021-07-05,51.95138888888889,2021,7,5,2021-07,5
2021-07-06,48.89912280701755,2021,7,6,2021-07,5
2021-07-07,53.26900584795322,2021,7,7,2021-07,5
2021-07-08,51.36586257309943,2021,7,8,2021-07,5
2021-07-09,53.569444444444436,2021,7,9,2021-07,5
2021-07-10,50.40350877192983,2021,7,10,2021-07,5
2021-07-11,48.584429824561404,2021,7,11,2021-07,5
2021-07-12,57.36622807017543,2021,7,12,2021-07,5
2021-07-13,48.10625996810207,2021,7,13,2021-07,5
2021-07-14,48.3421052631579,2021,7,14,2021-07,5
2021-07-15,49.119883040935676,2021,7,15,2021-07,5
2021-07-16,48.44773391812865,2021,7,16,2021-07,5
2021-07-17,48.44919590643275,2021,7,17,2021-07,5
2021-07-18,48.8110380116959,2021,7,18,2021-07,5
2021-07-19,48.9389619883041,2021,7,19,2021-07,5
2021-07-20,49.881944444444436,2021,7,20,2021-07,5
2021-07-21,50.04459064327486,2021,7,21,2021-07,5
2021-07-22,50.37244152046784,2021,7,22,2021-07,5
2021-07-23,50.59883098494268,2021,7,23,2021-07,5
2021-07-24,47.92640217969165,2021,7,24,2021-07,5
2021-07-25,47.274122807017555,2021,7,25,2021-07,5
2021-07-26,50.630687169072246,2021,7,26,2021-07,5
2021-07-27,50.12238847709656,2021,7,27,2021-07,5
2021-07-28,49.65119529090687,2021,7,28,2021-07,5
2021-07-29,50.13942918891431,2021,7,29,2021-07,5
2021-07-30,50.394005847953224,2021,7,30,2021-07,5
2021-07-31,50.68530701754386,2021,7,31,2021-07,5
2021-08-01,51.52430172167014,2021,8,1,2021-08,6
2021-08-02,50.66995614035088,2021,8,2,2021-08,6
2021-08-03,50.815789473684205,2021,8,3,2021-08,6
2021-08-04,50.47368421052632,2021,8,4,2021-08,6
2021-08-05,51.40752923976609,2021,8,5,2021-08,6
2021-08-06,51.52119883040935,2021,8,6,2021-08,6
2021-08-07,50.31834795321638,2021,8,7,2021-08,6
2021-08-08,52.35270467836258,2021,8,8,2021-08,6
2021-08-09,55.265716374269005,2021,8,9,2021-08,6
2021-08-10,47.66228070175439,2021,8,10,2021-08,6
2021-08-11,49.40387426900585,2021,8,11,2021-08,6
2021-08-12,51.63890422443054,2021,8,12,2021-08,6
2021-08-13,55.460891812865505,2021,8,13,2021-08,6
2021-08-14,63.1407138183454,2021,8,14,2021-08,6
2021-08-15,49.59466374269006,2021,8,15,2021-08,6
2021-08-16,48.827119883040936,2021,8,16,2021-08,6
2021-08-17,53.52485380116959,2021,8,17,2021-08,6
