Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,60.25951086956522,2021,3,17,2021-03,1
2021-03-18,59.67262392354549,2021,3,18,2021-03,1
2021-03-19,59.648983344148824,2021,3,19,2021-03,1
2021-03-20,65.8048007246377,2021,3,20,2021-03,1
2021-03-21,60.05872584541062,2021,3,21,2021-03,1
2021-03-22,58.978713768115924,2021,3,22,2021-03,1
2021-03-23,59.00312715665976,2021,3,23,2021-03,1
2021-03-24,59.48852657004831,2021,3,24,2021-03,1
2021-03-25,59.96829710144928,2021,3,25,2021-03,1
2021-03-26,59.27324879227052,2021,3,26,2021-03,1
2021-03-27,59.64024758454105,2021,3,27,2021-03,1
2021-03-28,64.90187198067635,2021,3,28,2021-03,1
2021-03-29,59.383756038647334,2021,3,29,2021-03,1
2021-03-30,60.45108695652175,2021,3,30,2021-03,1
2021-03-31,60.11035628019325,2021,3,31,2021-03,1
2021-04-01,59.75558574879227,2021,4,1,2021-04,2
2021-04-02,59.51721014492753,2021,4,2,2021-04,2
2021-04-03,59.16938405797101,2021,4,3,2021-04,2
2021-04-04,60.42557367149759,2021,4,4,2021-04,2
2021-04-05,59.0427234299517,2021,4,5,2021-04,2
2021-04-06,59.294987922705324,2021,4,6,2021-04,2
2021-04-07,59.426026570048336,2021,4,7,2021-04,2
2021-04-08,60.03094806763286,2021,4,8,2021-04,2
2021-04-09,59.9308574879227,2021,4,9,2021-04,2
2021-04-10,59.52385265700482,2021,4,10,2021-04,2
2021-04-11,59.21905193236716,2021,4,11,2021-04,2
2021-04-12,60.80051200925359,2021,4,12,2021-04,2
2021-04-13,61.71014492753622,2021,4,13,2021-04,2
2021-04-14,59.16968599033816,2021,4,14,2021-04,2
2021-04-15,59.509510869565204,2021,4,15,2021-04,2
2021-04-16,59.908665458937215,2021,4,16,2021-04,2
2021-04-17,65.28351449275364,2021,4,17,2021-04,2
2021-04-18,59.17270531400965,2021,4,18,2021-04,2
2021-04-19,59.45395531400966,2021,4,19,2021-04,2
2021-04-20,59.26992753623187,2021,4,20,2021-04,2
2021-04-21,59.34435386473431,2021,4,21,2021-04,2
2021-04-22,59.6316425120773,2021,4,22,2021-04,2
2021-04-23,59.59224033816425,2021,4,23,2021-04,2
2021-04-24,59.58635265700484,2021,4,24,2021-04,2
2021-04-25,60.04710144927536,2021,4,25,2021-04,2
2021-04-26,59.98852657004831,2021,4,26,2021-04,2
2021-04-27,59.60099637681159,2021,4,27,2021-04,2
2021-04-28,61.40655193236716,2021,4,28,2021-04,2
2021-04-29,63.56521739130434,2021,4,29,2021-04,2
2021-04-30,59.49003623188406,2021,4,30,2021-04,2
2021-05-01,59.94936087463261,2021,5,1,2021-05,3
2021-05-02,59.205766908212574,2021,5,2,2021-05,3
2021-05-03,59.117451690821255,2021,5,3,2021-05,3
2021-05-04,59.56763285024154,2021,5,4,2021-05,3
2021-05-05,63.98746980676331,2021,5,5,2021-05,3
2021-05-06,58.84375000000002,2021,5,6,2021-05,3
2021-05-07,61.93568840579708,2021,5,7,2021-05,3
2021-05-08,60.17391304347826,2021,5,8,2021-05,3
2021-05-09,59.399909420289866,2021,5,9,2021-05,3
2021-05-10,59.665760869565204,2021,5,10,2021-05,3
2021-05-11,63.77732487922707,2021,5,11,2021-05,3
2021-05-12,63.61941425120773,2021,5,12,2021-05,3
2021-05-13,59.14296497584542,2021,5,13,2021-05,3
2021-05-14,60.68131038647342,2021,5,14,2021-05,3
2021-05-15,61.15066425120774,2021,5,15,2021-05,3
2021-05-16,58.10009057971015,2021,5,16,2021-05,3
2021-05-17,63.43523550724639,2021,5,17,2021-05,3
2021-05-18,61.99728260869562,2021,5,18,2021-05,3
2021-05-19,62.575634057971,2021,5,19,2021-05,3
2021-05-20,61.87651178812,2021,5,20,2021-05,3
2021-05-21,64.5085753044839,2021,5,21,2021-05,3
2021-05-22,58.750301932367144,2021,5,22,2021-05,3
2021-05-23,58.865640096618364,2021,5,23,2021-05,3
2021-05-24,63.084842995169076,2021,5,24,2021-05,3
2021-05-25,58.50196256038647,2021,5,25,2021-05,3
2021-05-26,60.77249396135264,2021,5,26,2021-05,3
2021-05-27,65.07900401277857,2021,5,27,2021-05,3
