Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,38.43816137566138,2021,3,17,2021-03,1
2021-03-18,38.70039682539682,2021,3,18,2021-03,1
2021-03-19,38.74437830687831,2021,3,19,2021-03,1
2021-03-20,40.88921957671958,2021,3,20,2021-03,1
2021-03-21,46.32242063492063,2021,3,21,2021-03,1
2021-03-22,40.164682539682545,2021,3,22,2021-03,1
2021-03-23,41.47407407407408,2021,3,23,2021-03,1
2021-03-24,44.24654122332694,2021,3,24,2021-03,1
2021-03-25,44.239417989417994,2021,3,25,2021-03,1
2021-03-26,44.15046296296296,2021,3,26,2021-03,1
2021-03-27,44.65244708994709,2021,3,27,2021-03,1
2021-03-28,47.82275132275132,2021,3,28,2021-03,1
2021-03-29,44.498346560846564,2021,3,29,2021-03,1
2021-03-30,44.52116402116402,2021,3,30,2021-03,1
2021-03-31,44.300925925925924,2021,3,31,2021-03,1
2021-04-01,44.4103835978836,2021,4,1,2021-04,2
2021-04-02,44.59953703703704,2021,4,2,2021-04,2
2021-04-03,44.23048941798942,2021,4,3,2021-04,2
2021-04-04,48.53745328745329,2021,4,4,2021-04,2
2021-04-05,43.74933862433861,2021,4,5,2021-04,2
2021-04-06,43.70469576719576,2021,4,6,2021-04,2
2021-04-07,43.51488095238095,2021,4,7,2021-04,2
2021-04-08,44.38789682539683,2021,4,8,2021-04,2
2021-04-09,43.414682539682545,2021,4,9,2021-04,2
2021-04-10,43.83465608465609,2021,4,10,2021-04,2
2021-04-11,44.969907407407405,2021,4,11,2021-04,2
2021-04-12,44.226190476190474,2021,4,12,2021-04,2
2021-04-13,45.708333333333336,2021,4,13,2021-04,2
2021-04-14,45.48776455026456,2021,4,14,2021-04,2
2021-04-15,43.601521164021165,2021,4,15,2021-04,2
2021-04-16,44.388558201058196,2021,4,16,2021-04,2
2021-04-17,48.64583333333333,2021,4,17,2021-04,2
2021-04-18,45.189484126984134,2021,4,18,2021-04,2
2021-04-19,44.12731481481482,2021,4,19,2021-04,2
2021-04-20,44.50562169312169,2021,4,20,2021-04,2
2021-04-21,43.90641534391534,2021,4,21,2021-04,2
2021-04-22,43.99570105820105,2021,4,22,2021-04,2
2021-04-23,44.091600529100525,2021,4,23,2021-04,2
2021-04-24,44.985119047619044,2021,4,24,2021-04,2
2021-04-25,44.341600529100525,2021,4,25,2021-04,2
2021-04-26,43.62500000000001,2021,4,26,2021-04,2
2021-04-27,44.720238095238095,2021,4,27,2021-04,2
2021-04-28,46.47222222222222,2021,4,28,2021-04,2
2021-04-29,49.93386243386243,2021,4,29,2021-04,2
2021-04-30,44.035052910052904,2021,4,30,2021-04,2
2021-05-01,45.191798941798936,2021,5,1,2021-05,3
