Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,56.52306547619048,2021,3,17,2021-03,1
2021-03-18,56.87549603174604,2021,3,18,2021-03,1
2021-03-19,56.71552579365079,2021,3,19,2021-03,1
2021-03-20,61.050843253968246,2021,3,20,2021-03,1
2021-03-21,61.86061507936507,2021,3,21,2021-03,1
2021-03-22,56.350942460317455,2021,3,22,2021-03,1
2021-03-23,56.322916666666664,2021,3,23,2021-03,1
2021-03-24,56.47767857142858,2021,3,24,2021-03,1
2021-03-25,56.3563988095238,2021,3,25,2021-03,1
2021-03-26,56.61160714285716,2021,3,26,2021-03,1
2021-03-27,57.66895257520257,2021,3,27,2021-03,1
2021-03-28,64.4045138888889,2021,3,28,2021-03,1
2021-03-29,56.767113095238095,2021,3,29,2021-03,1
2021-03-30,56.952628968253975,2021,3,30,2021-03,1
2021-03-31,56.820188492063494,2021,3,31,2021-03,1
2021-04-01,56.94469246031746,2021,4,1,2021-04,2
2021-04-02,56.6485615079365,2021,4,2,2021-04,2
2021-04-03,56.6845238095238,2021,4,3,2021-04,2
2021-04-04,59.29009705572206,2021,4,4,2021-04,2
2021-04-05,55.810763888888864,2021,4,5,2021-04,2
2021-04-06,56.0359623015873,2021,4,6,2021-04,2
2021-04-07,56.74305555555556,2021,4,7,2021-04,2
2021-04-08,56.97867063492064,2021,4,8,2021-04,2
2021-04-09,56.78323412698412,2021,4,9,2021-04,2
2021-04-10,56.60565476190477,2021,4,10,2021-04,2
2021-04-11,56.83531746031747,2021,4,11,2021-04,2
2021-04-12,59.56150793650794,2021,4,12,2021-04,2
2021-04-13,59.160218253968246,2021,4,13,2021-04,2
2021-04-14,56.335317460317455,2021,4,14,2021-04,2
2021-04-15,56.660714285714285,2021,4,15,2021-04,2
2021-04-16,57.21155753968254,2021,4,16,2021-04,2
2021-04-17,58.53025793650795,2021,4,17,2021-04,2
2021-04-18,56.885416666666664,2021,4,18,2021-04,2
2021-04-19,56.866319444444436,2021,4,19,2021-04,2
2021-04-20,56.535466269841265,2021,4,20,2021-04,2
2021-04-21,56.83209325396826,2021,4,21,2021-04,2
2021-04-22,57.392857142857146,2021,4,22,2021-04,2
2021-04-23,57.48338293650794,2021,4,23,2021-04,2
2021-04-24,57.04613095238095,2021,4,24,2021-04,2
2021-04-25,56.689980158730165,2021,4,25,2021-04,2
2021-04-26,56.57415674603173,2021,4,26,2021-04,2
2021-04-27,57.009672619047606,2021,4,27,2021-04,2
2021-04-28,58.47197420634921,2021,4,28,2021-04,2
2021-04-29,60.06448412698411,2021,4,29,2021-04,2
2021-04-30,57.07589285714288,2021,4,30,2021-04,2
2021-05-01,57.38368055555556,2021,5,1,2021-05,3
2021-05-02,56.71676587301586,2021,5,2,2021-05,3
2021-05-03,56.59375,2021,5,3,2021-05,3
2021-05-04,57.37524801587301,2021,5,4,2021-05,3
2021-05-05,60.71230158730159,2021,5,5,2021-05,3
2021-05-06,56.15352182539682,2021,5,6,2021-05,3
2021-05-07,57.347096945180276,2021,5,7,2021-05,3
2021-05-08,57.06448412698412,2021,5,8,2021-05,3
2021-05-09,57.03497023809525,2021,5,9,2021-05,3
2021-05-10,57.04702089169001,2021,5,10,2021-05,3
2021-05-11,57.636013292263286,2021,5,11,2021-05,3
2021-05-12,61.99832526544259,2021,5,12,2021-05,3
2021-05-13,57.18359166460256,2021,5,13,2021-05,3
2021-05-14,56.888791490774715,2021,5,14,2021-05,3
2021-05-15,58.54117063492064,2021,5,15,2021-05,3
2021-05-16,55.95064484126984,2021,5,16,2021-05,3
2021-05-17,57.44113215769173,2021,5,17,2021-05,3
2021-05-18,57.75077775851441,2021,5,18,2021-05,3
2021-05-19,56.326525668406894,2021,5,19,2021-05,3
2021-05-20,64.73777505576227,2021,5,20,2021-05,3
2021-05-21,56.403567263419355,2021,5,21,2021-05,3
2021-05-22,56.12301587301586,2021,5,22,2021-05,3
2021-05-23,56.452132936507944,2021,5,23,2021-05,3
2021-05-24,59.96290524857742,2021,5,24,2021-05,3
2021-05-25,56.20560515873016,2021,5,25,2021-05,3
2021-05-26,60.02408093605022,2021,5,26,2021-05,3
2021-05-27,65.0636800097237,2021,5,27,2021-05,3
2021-05-28,56.64676976709687,2021,5,28,2021-05,3
2021-05-29,56.72147817460318,2021,5,29,2021-05,3
2021-05-30,56.82093253968253,2021,5,30,2021-05,3
2021-05-31,57.04990842490842,2021,5,31,2021-05,3
2021-06-01,57.26461385836386,2021,6,1,2021-06,4
2021-06-02,57.219926303854876,2021,6,2,2021-06,4
2021-06-03,64.33531746031746,2021,6,3,2021-06,4
2021-06-04,67.10371902826174,2021,6,4,2021-06,4
2021-06-05,56.24765811560612,2021,6,5,2021-06,4
2021-06-06,56.447916666666664,2021,6,6,2021-06,4
2021-06-07,56.28048562321104,2021,6,7,2021-06,4
2021-06-08,56.36809555811572,2021,6,8,2021-06,4
2021-06-09,56.64951814058958,2021,6,9,2021-06,4
2021-06-10,57.32952310717797,2021,6,10,2021-06,4
2021-06-11,57.70659722222222,2021,6,11,2021-06,4
2021-06-12,56.37896825396826,2021,6,12,2021-06,4
2021-06-13,56.47544642857144,2021,6,13,2021-06,4
2021-06-14,56.510912698412696,2021,6,14,2021-06,4
2021-06-15,59.791822203331556,2021,6,15,2021-06,4
2021-06-16,58.59845371039272,2021,6,16,2021-06,4
2021-06-17,56.91770991915159,2021,6,17,2021-06,4
2021-06-18,62.62896825396825,2021,6,18,2021-06,4
2021-06-19,56.44866071428571,2021,6,19,2021-06,4
2021-06-20,56.93526785714287,2021,6,20,2021-06,4
2021-06-21,57.018266908212574,2021,6,21,2021-06,4
2021-06-22,56.52315955117679,2021,6,22,2021-06,4
2021-06-23,56.49305555555556,2021,6,23,2021-06,4
2021-06-24,56.543757086167815,2021,6,24,2021-06,4
2021-06-25,56.794593253968245,2021,6,25,2021-06,4
2021-06-26,57.563740079365076,2021,6,26,2021-06,4
2021-06-27,57.668154761904766,2021,6,27,2021-06,4
2021-06-28,57.9325892857143,2021,6,28,2021-06,4
2021-06-29,57.05357142857144,2021,6,29,2021-06,4
2021-06-30,57.527281746031754,2021,6,30,2021-06,4
2021-07-01,57.89001688415751,2021,7,1,2021-07,5
2021-07-02,57.238095238095234,2021,7,2,2021-07,5
2021-07-03,59.431795634920626,2021,7,3,2021-07,5
2021-07-04,55.94642857142859,2021,7,4,2021-07,5
2021-07-05,55.54513888888889,2021,7,5,2021-07,5
2021-07-06,55.71502976190475,2021,7,6,2021-07,5
2021-07-07,55.784474206349195,2021,7,7,2021-07,5
2021-07-08,57.93898809523809,2021,7,8,2021-07,5
2021-07-09,58.41071428571429,2021,7,9,2021-07,5
2021-07-10,57.701636904761905,2021,7,10,2021-07,5
2021-07-11,56.40426587301589,2021,7,11,2021-07,5
2021-07-12,55.811011904761905,2021,7,12,2021-07,5
2021-07-13,55.953621031746025,2021,7,13,2021-07,5
2021-07-14,56.145585317460316,2021,7,14,2021-07,5
2021-07-15,56.60714285714284,2021,7,15,2021-07,5
2021-07-16,56.811755952380956,2021,7,16,2021-07,5
2021-07-17,56.98859126984129,2021,7,17,2021-07,5
2021-07-18,56.983134920634924,2021,7,18,2021-07,5
2021-07-19,56.85069444444445,2021,7,19,2021-07,5
2021-07-20,56.7375992063492,2021,7,20,2021-07,5
2021-07-21,56.98983134920634,2021,7,21,2021-07,5
2021-07-22,56.958085317460316,2021,7,22,2021-07,5
