Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,28.697368421052637,2021,3,17,2021-03,1
2021-03-18,26.21893274853801,2021,3,18,2021-03,1
2021-03-19,26.392209033656403,2021,3,19,2021-03,1
2021-03-20,26.222587719298243,2021,3,20,2021-03,1
2021-03-21,29.70581546458739,2021,3,21,2021-03,1
2021-03-22,29.057467386414757,2021,3,22,2021-03,1
2021-03-23,27.73464912280702,2021,3,23,2021-03,1
2021-03-24,28.09795321637427,2021,3,24,2021-03,1
2021-03-25,29.115862573099417,2021,3,25,2021-03,1
2021-03-26,29.609283625730995,2021,3,26,2021-03,1
2021-03-27,29.49890350877192,2021,3,27,2021-03,1
2021-03-28,30.584064327485383,2021,3,28,2021-03,1
2021-03-29,32.07017543859649,2021,3,29,2021-03,1
2021-03-30,31.395467836257307,2021,3,30,2021-03,1
2021-03-31,31.868421052631586,2021,3,31,2021-03,1
2021-04-01,31.974314574314583,2021,4,1,2021-04,2
2021-04-02,31.955815920888366,2021,4,2,2021-04,2
2021-04-03,33.45138888888889,2021,4,3,2021-04,2
2021-04-04,35.020833333333336,2021,4,4,2021-04,2
2021-04-05,32.10891812865498,2021,4,5,2021-04,2
2021-04-06,32.262433796756035,2021,4,6,2021-04,2
2021-04-07,32.49269005847954,2021,4,7,2021-04,2
2021-04-08,33.04093567251462,2021,4,8,2021-04,2
2021-04-09,33.88450292397661,2021,4,9,2021-04,2
2021-04-10,32.41118421052631,2021,4,10,2021-04,2
2021-04-11,32.75182748538011,2021,4,11,2021-04,2
2021-04-12,32.951388888888886,2021,4,12,2021-04,2
2021-04-13,35.059096518053536,2021,4,13,2021-04,2
2021-04-14,33.175318197454416,2021,4,14,2021-04,2
2021-04-15,33.36147660818714,2021,4,15,2021-04,2
2021-04-16,33.4016812865497,2021,4,16,2021-04,2
2021-04-17,36.619152046783626,2021,4,17,2021-04,2
2021-04-18,37.251827485380126,2021,4,18,2021-04,2
2021-04-19,34.11732456140351,2021,4,19,2021-04,2
2021-04-20,33.1045321637427,2021,4,20,2021-04,2
2021-04-21,33.20723684210526,2021,4,21,2021-04,2
2021-04-22,33.11513157894737,2021,4,22,2021-04,2
2021-04-23,33.46016081871345,2021,4,23,2021-04,2
2021-04-24,33.88961988304093,2021,4,24,2021-04,2
2021-04-25,34.713815789473685,2021,4,25,2021-04,2
2021-04-26,33.07419590643275,2021,4,26,2021-04,2
2021-04-27,33.3983918128655,2021,4,27,2021-04,2
2021-04-28,33.592470760233915,2021,4,28,2021-04,2
2021-04-29,34.09173976608187,2021,4,29,2021-04,2
2021-04-30,36.629020467836256,2021,4,30,2021-04,2
2021-05-01,33.0515350877193,2021,5,1,2021-05,3
2021-05-02,33.21491228070175,2021,5,2,2021-05,3
2021-05-03,33.71673976608187,2021,5,3,2021-05,3
2021-05-04,33.32017543859649,2021,5,4,2021-05,3
2021-05-05,33.87609649122807,2021,5,5,2021-05,3
2021-05-06,33.70923632610939,2021,5,6,2021-05,3
2021-05-07,33.80359779398993,2021,5,7,2021-05,3
2021-05-08,34.8187134502924,2021,5,8,2021-05,3
2021-05-09,35.72551169590643,2021,5,9,2021-05,3
2021-05-10,34.49195906432748,2021,5,10,2021-05,3
2021-05-11,33.43298503611971,2021,5,11,2021-05,3
2021-05-12,33.41228070175438,2021,5,12,2021-05,3
2021-05-13,33.68095029239766,2021,5,13,2021-05,3
2021-05-14,34.15423976608188,2021,5,14,2021-05,3
2021-05-15,34.165570175438596,2021,5,15,2021-05,3
2021-05-16,38.90716374269006,2021,5,16,2021-05,3
2021-05-17,38.751461988304094,2021,5,17,2021-05,3
2021-05-18,33.43457602339181,2021,5,18,2021-05,3
2021-05-19,33.684941520467845,2021,5,19,2021-05,3
2021-05-20,33.56331533963114,2021,5,20,2021-05,3
2021-05-21,34.7171052631579,2021,5,21,2021-05,3
2021-05-22,34.412206363366046,2021,5,22,2021-05,3
2021-05-23,34.276315789473685,2021,5,23,2021-05,3
2021-05-24,33.50548245614035,2021,5,24,2021-05,3
2021-05-25,34.133406432748544,2021,5,25,2021-05,3
2021-05-26,33.532529239766085,2021,5,26,2021-05,3
2021-05-27,33.98976608187135,2021,5,27,2021-05,3
2021-05-28,35.20712182554288,2021,5,28,2021-05,3
2021-05-29,35.212777991206714,2021,5,29,2021-05,3
2021-05-30,33.52083333333334,2021,5,30,2021-05,3
2021-05-31,32.69444444444444,2021,5,31,2021-05,3
2021-06-01,33.0062134502924,2021,6,1,2021-06,4
2021-06-02,33.38925438596491,2021,6,2,2021-06,4
2021-06-03,33.76388888888889,2021,6,3,2021-06,4
2021-06-04,37.3311403508772,2021,6,4,2021-06,4
2021-06-05,33.445906432748544,2021,6,5,2021-06,4
2021-06-06,33.778143274853804,2021,6,6,2021-06,4
2021-06-07,34.07602339181287,2021,6,7,2021-06,4
2021-06-08,34.07456140350877,2021,6,8,2021-06,4
2021-06-09,34.07748538011696,2021,6,9,2021-06,4
2021-06-10,34.5171783625731,2021,6,10,2021-06,4
2021-06-11,34.750345049687155,2021,6,11,2021-06,4
2021-06-12,35.353801169590646,2021,6,12,2021-06,4
2021-06-13,34.4974875270928,2021,6,13,2021-06,4
2021-06-14,34.658625730994146,2021,6,14,2021-06,4
2021-06-15,34.835791255810385,2021,6,15,2021-06,4
2021-06-16,34.61622807017544,2021,6,16,2021-06,4
2021-06-17,34.60599415204678,2021,6,17,2021-06,4
2021-06-18,34.672726020794606,2021,6,18,2021-06,4
2021-06-19,35.62390350877193,2021,6,19,2021-06,4
2021-06-20,34.94627192982456,2021,6,20,2021-06,4
2021-06-21,34.23573897000644,2021,6,21,2021-06,4
2021-06-22,34.124689156692355,2021,6,22,2021-06,4
2021-06-23,34.35707684266605,2021,6,23,2021-06,4
2021-06-24,35.392735265928366,2021,6,24,2021-06,4
2021-06-25,34.000123548307386,2021,6,25,2021-06,4
2021-06-26,34.46527777777778,2021,6,26,2021-06,4
2021-06-27,34.828216374269005,2021,6,27,2021-06,4
