Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,51.532986111111114,2021,3,17,2021-03,1
2021-03-18,51.97048611111111,2021,3,18,2021-03,1
2021-03-19,52.064236111111114,2021,3,19,2021-03,1
2021-03-20,53.17534722222222,2021,3,20,2021-03,1
2021-03-21,58.17361111111111,2021,3,21,2021-03,1
2021-03-22,51.342013888888886,2021,3,22,2021-03,1
2021-03-23,51.309027777777786,2021,3,23,2021-03,1
2021-03-24,51.44097222222222,2021,3,24,2021-03,1
2021-03-25,52.048611111111114,2021,3,25,2021-03,1
2021-03-26,51.25,2021,3,26,2021-03,1
2021-03-27,51.60590277777778,2021,3,27,2021-03,1
2021-03-28,55.99305555555556,2021,3,28,2021-03,1
2021-03-29,50.99131944444444,2021,3,29,2021-03,1
2021-03-30,52.12152777777777,2021,3,30,2021-03,1
2021-03-31,51.42708333333333,2021,3,31,2021-03,1
2021-04-01,51.60069444444445,2021,4,1,2021-04,2
2021-04-02,51.35590277777777,2021,4,2,2021-04,2
2021-04-03,51.151041666666664,2021,4,3,2021-04,2
2021-04-04,53.28125,2021,4,4,2021-04,2
2021-04-05,51.10069444444445,2021,4,5,2021-04,2
2021-04-06,52.98784722222222,2021,4,6,2021-04,2
2021-04-07,51.0,2021,4,7,2021-04,2
2021-04-08,51.41666666666667,2021,4,8,2021-04,2
2021-04-09,51.125,2021,4,9,2021-04,2
2021-04-10,51.33854166666667,2021,4,10,2021-04,2
2021-04-11,51.71006944444444,2021,4,11,2021-04,2
2021-04-12,51.27777777777778,2021,4,12,2021-04,2
2021-04-13,53.46006944444444,2021,4,13,2021-04,2
2021-04-14,51.421875,2021,4,14,2021-04,2
2021-04-15,51.24652777777778,2021,4,15,2021-04,2
2021-04-16,52.208333333333336,2021,4,16,2021-04,2
2021-04-17,56.15625000000001,2021,4,17,2021-04,2
2021-04-18,51.32118055555556,2021,4,18,2021-04,2
2021-04-19,51.371527777777786,2021,4,19,2021-04,2
2021-04-20,51.69618055555556,2021,4,20,2021-04,2
2021-04-21,51.802083333333336,2021,4,21,2021-04,2
2021-04-22,51.77430555555555,2021,4,22,2021-04,2
2021-04-23,51.720486111111114,2021,4,23,2021-04,2
2021-04-24,51.60937500000001,2021,4,24,2021-04,2
2021-04-25,51.80381944444444,2021,4,25,2021-04,2
2021-04-26,51.38368055555556,2021,4,26,2021-04,2
2021-04-27,51.984375,2021,4,27,2021-04,2
2021-04-28,52.282986111111114,2021,4,28,2021-04,2
2021-04-29,53.73784722222223,2021,4,29,2021-04,2
2021-04-30,50.91319444444444,2021,4,30,2021-04,2
2021-05-01,52.548611111111114,2021,5,1,2021-05,3
2021-05-02,51.78125,2021,5,2,2021-05,3
2021-05-03,51.21006944444444,2021,5,3,2021-05,3
2021-05-04,51.48090277777777,2021,5,4,2021-05,3
2021-05-05,54.517361111111114,2021,5,5,2021-05,3
2021-05-06,50.99652777777778,2021,5,6,2021-05,3
2021-05-07,53.75694444444444,2021,5,7,2021-05,3
2021-05-08,51.14756944444444,2021,5,8,2021-05,3
2021-05-09,51.29861111111111,2021,5,9,2021-05,3
2021-05-10,51.36284722222223,2021,5,10,2021-05,3
2021-05-11,51.65972222222222,2021,5,11,2021-05,3
2021-05-12,53.47222222222222,2021,5,12,2021-05,3
2021-05-13,51.30902777777778,2021,5,13,2021-05,3
2021-05-14,51.314236111111114,2021,5,14,2021-05,3
2021-05-15,51.796875,2021,5,15,2021-05,3
2021-05-16,51.328125,2021,5,16,2021-05,3
2021-05-17,53.21875,2021,5,17,2021-05,3
