Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,36.21736111111112,2021,3,17,2021-03,1
2021-03-18,36.170833333333334,2021,3,18,2021-03,1
2021-03-19,36.28313422688423,2021,3,19,2021-03,1
2021-03-20,37.25416666666667,2021,3,20,2021-03,1
2021-03-21,39.62291666666666,2021,3,21,2021-03,1
2021-03-22,38.053472222222226,2021,3,22,2021-03,1
2021-03-23,36.734722222222224,2021,3,23,2021-03,1
2021-03-24,37.11527777777778,2021,3,24,2021-03,1
2021-03-25,37.68194444444444,2021,3,25,2021-03,1
2021-03-26,37.02430555555556,2021,3,26,2021-03,1
2021-03-27,37.011111111111106,2021,3,27,2021-03,1
2021-03-28,40.855555555555554,2021,3,28,2021-03,1
2021-03-29,37.51944444444444,2021,3,29,2021-03,1
2021-03-30,37.37361111111111,2021,3,30,2021-03,1
2021-03-31,37.288888888888884,2021,3,31,2021-03,1
2021-04-01,37.222222222222214,2021,4,1,2021-04,2
2021-04-02,37.26736111111111,2021,4,2,2021-04,2
2021-04-03,37.44236111111111,2021,4,3,2021-04,2
2021-04-04,40.025252525252526,2021,4,4,2021-04,2
2021-04-05,37.04097222222223,2021,4,5,2021-04,2
2021-04-06,36.83333333333333,2021,4,6,2021-04,2
2021-04-07,37.01944444444444,2021,4,7,2021-04,2
2021-04-08,36.99166666666666,2021,4,8,2021-04,2
2021-04-09,37.71458333333332,2021,4,9,2021-04,2
2021-04-10,36.99513888888889,2021,4,10,2021-04,2
2021-04-11,37.49722222222222,2021,4,11,2021-04,2
2021-04-12,37.348611111111104,2021,4,12,2021-04,2
2021-04-13,37.47430555555555,2021,4,13,2021-04,2
2021-04-14,38.329166666666666,2021,4,14,2021-04,2
2021-04-15,36.99027777777777,2021,4,15,2021-04,2
2021-04-16,37.27291666666666,2021,4,16,2021-04,2
2021-04-17,40.72986111111112,2021,4,17,2021-04,2
2021-04-18,41.50763888888889,2021,4,18,2021-04,2
2021-04-19,38.607638888888886,2021,4,19,2021-04,2
2021-04-20,37.11736111111111,2021,4,20,2021-04,2
2021-04-21,36.78905885780886,2021,4,21,2021-04,2
2021-04-22,37.10203150912106,2021,4,22,2021-04,2
2021-04-23,37.76058897243108,2021,4,23,2021-04,2
2021-04-24,38.39652777777777,2021,4,24,2021-04,2
2021-04-25,37.988888888888894,2021,4,25,2021-04,2
2021-04-26,37.63611111111111,2021,4,26,2021-04,2
2021-04-27,37.890174129353234,2021,4,27,2021-04,2
2021-04-28,38.375114013266995,2021,4,28,2021-04,2
2021-04-29,41.01875,2021,4,29,2021-04,2
2021-04-30,38.18402777777778,2021,4,30,2021-04,2
2021-05-01,40.80694444444445,2021,5,1,2021-05,3
2021-05-02,39.62222222222222,2021,5,2,2021-05,3
2021-05-03,38.21805555555556,2021,5,3,2021-05,3
2021-05-04,37.34722222222222,2021,5,4,2021-05,3
2021-05-05,39.58333333333333,2021,5,5,2021-05,3
2021-05-06,37.60902777777778,2021,5,6,2021-05,3
2021-05-07,38.07291666666667,2021,5,7,2021-05,3
2021-05-08,38.17013888888889,2021,5,8,2021-05,3
2021-05-09,39.19305555555555,2021,5,9,2021-05,3
2021-05-10,37.386111111111106,2021,5,10,2021-05,3
2021-05-11,37.386111111111106,2021,5,11,2021-05,3
2021-05-12,37.53819444444444,2021,5,12,2021-05,3
2021-05-13,37.643055555555556,2021,5,13,2021-05,3
2021-05-14,38.17222222222223,2021,5,14,2021-05,3
2021-05-15,38.17986111111111,2021,5,15,2021-05,3
2021-05-16,38.972222222222214,2021,5,16,2021-05,3
2021-05-17,39.35208333333334,2021,5,17,2021-05,3
2021-05-18,39.52847222222222,2021,5,18,2021-05,3
2021-05-19,40.874305555555544,2021,5,19,2021-05,3
2021-05-20,37.43472222222222,2021,5,20,2021-05,3
2021-05-21,42.07847222222222,2021,5,21,2021-05,3
2021-05-22,38.54513888888889,2021,5,22,2021-05,3
2021-05-23,37.987500000000004,2021,5,23,2021-05,3
2021-05-24,37.35763888888889,2021,5,24,2021-05,3
2021-05-25,38.11597222222222,2021,5,25,2021-05,3
2021-05-26,37.78124999999999,2021,5,26,2021-05,3
2021-05-27,39.09027777777778,2021,5,27,2021-05,3
2021-05-28,38.218055555555566,2021,5,28,2021-05,3
