Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,32.034722222222214,2021,3,17,2021-03,1
2021-03-18,32.222222222222214,2021,3,18,2021-03,1
2021-03-19,32.15619658119658,2021,3,19,2021-03,1
2021-03-20,32.06388888888888,2021,3,20,2021-03,1
2021-03-21,40.016666666666666,2021,3,21,2021-03,1
2021-03-22,35.09027777777778,2021,3,22,2021-03,1
2021-03-23,31.83611111111111,2021,3,23,2021-03,1
2021-03-24,31.915277777777778,2021,3,24,2021-03,1
2021-03-25,31.73055555555556,2021,3,25,2021-03,1
2021-03-26,31.980555555555554,2021,3,26,2021-03,1
2021-03-27,32.1,2021,3,27,2021-03,1
2021-03-28,33.47361111111111,2021,3,28,2021-03,1
2021-03-29,32.65416666666667,2021,3,29,2021-03,1
2021-03-30,31.986111111111107,2021,3,30,2021-03,1
2021-03-31,31.99861111111111,2021,3,31,2021-03,1
2021-04-01,31.77916666666667,2021,4,1,2021-04,2
2021-04-02,31.729166666666668,2021,4,2,2021-04,2
2021-04-03,31.719444444444445,2021,4,3,2021-04,2
2021-04-04,32.87806915306915,2021,4,4,2021-04,2
2021-04-05,33.19444444444444,2021,4,5,2021-04,2
2021-04-06,31.42638888888889,2021,4,6,2021-04,2
2021-04-07,31.77361111111111,2021,4,7,2021-04,2
2021-04-08,31.87361111111111,2021,4,8,2021-04,2
2021-04-09,31.870833333333337,2021,4,9,2021-04,2
2021-04-10,31.854166666666668,2021,4,10,2021-04,2
2021-04-11,32.02109440267335,2021,4,11,2021-04,2
2021-04-12,31.735729625712434,2021,4,12,2021-04,2
2021-04-13,32.1125,2021,4,13,2021-04,2
2021-04-14,33.236111111111114,2021,4,14,2021-04,2
2021-04-15,31.822222222222216,2021,4,15,2021-04,2
2021-04-16,32.00555555555555,2021,4,16,2021-04,2
2021-04-17,34.36805555555556,2021,4,17,2021-04,2
2021-04-18,31.655555555555555,2021,4,18,2021-04,2
2021-04-19,31.570833333333333,2021,4,19,2021-04,2
2021-04-20,31.87458924570575,2021,4,20,2021-04,2
2021-04-21,31.656310679611646,2021,4,21,2021-04,2
2021-04-22,31.651388888888892,2021,4,22,2021-04,2
2021-04-23,31.729166666666664,2021,4,23,2021-04,2
2021-04-24,32.00138888888888,2021,4,24,2021-04,2
2021-04-25,32.727777777777774,2021,4,25,2021-04,2
2021-04-26,31.55,2021,4,26,2021-04,2
2021-04-27,31.822222222222223,2021,4,27,2021-04,2
2021-04-28,31.868055555555554,2021,4,28,2021-04,2
2021-04-29,33.72083333333333,2021,4,29,2021-04,2
2021-04-30,31.140277777777783,2021,4,30,2021-04,2
2021-05-01,33.833333333333336,2021,5,1,2021-05,3
2021-05-02,31.34444444444444,2021,5,2,2021-05,3
2021-05-03,31.233333333333338,2021,5,3,2021-05,3
2021-05-04,31.511111111111113,2021,5,4,2021-05,3
2021-05-05,32.018055555555556,2021,5,5,2021-05,3
2021-05-06,31.28888888888889,2021,5,6,2021-05,3
2021-05-07,34.148611111111116,2021,5,7,2021-05,3
2021-05-08,31.388888888888893,2021,5,8,2021-05,3
2021-05-09,31.648611111111116,2021,5,9,2021-05,3
2021-05-10,31.78333333333334,2021,5,10,2021-05,3
2021-05-11,32.02638888888889,2021,5,11,2021-05,3
2021-05-12,31.708333333333332,2021,5,12,2021-05,3
2021-05-13,32.43472222222223,2021,5,13,2021-05,3
2021-05-14,31.855555555555554,2021,5,14,2021-05,3
2021-05-15,31.79444444444444,2021,5,15,2021-05,3
2021-05-16,32.6875,2021,5,16,2021-05,3
2021-05-17,32.62777777777778,2021,5,17,2021-05,3
2021-05-18,32.37083333333334,2021,5,18,2021-05,3
2021-05-19,34.84861111111111,2021,5,19,2021-05,3
2021-05-20,34.46388888888889,2021,5,20,2021-05,3
2021-05-21,33.74583333333333,2021,5,21,2021-05,3
2021-05-22,31.41388888888889,2021,5,22,2021-05,3
2021-05-23,31.425,2021,5,23,2021-05,3
2021-05-24,32.53611111111111,2021,5,24,2021-05,3
2021-05-25,31.720279720279724,2021,5,25,2021-05,3
2021-05-26,31.419444444444444,2021,5,26,2021-05,3
2021-05-27,38.04861111111111,2021,5,27,2021-05,3
2021-05-28,31.06805555555556,2021,5,28,2021-05,3
2021-05-29,31.440277777777776,2021,5,29,2021-05,3
2021-05-30,31.77777777777778,2021,5,30,2021-05,3
2021-05-31,31.645833333333332,2021,5,31,2021-05,3
2021-06-01,31.5875,2021,6,1,2021-06,4
2021-06-02,31.447222222222223,2021,6,2,2021-06,4
2021-06-03,31.381944444444446,2021,6,3,2021-06,4
2021-06-04,34.7375,2021,6,4,2021-06,4
2021-06-05,31.379166666666663,2021,6,5,2021-06,4
2021-06-06,31.943055555555553,2021,6,6,2021-06,4
2021-06-07,32.0875,2021,6,7,2021-06,4
2021-06-08,32.15972222222222,2021,6,8,2021-06,4
2021-06-09,31.90833333333333,2021,6,9,2021-06,4
2021-06-10,31.9125,2021,6,10,2021-06,4
2021-06-11,31.69861111111111,2021,6,11,2021-06,4
2021-06-12,31.663888888888884,2021,6,12,2021-06,4
2021-06-13,32.265277777777776,2021,6,13,2021-06,4
2021-06-14,34.227777777777774,2021,6,14,2021-06,4
2021-06-15,33.46805555555555,2021,6,15,2021-06,4
2021-06-16,32.840277777777786,2021,6,16,2021-06,4
2021-06-17,31.4625,2021,6,17,2021-06,4
2021-06-18,31.237500000000004,2021,6,18,2021-06,4
2021-06-19,33.5625,2021,6,19,2021-06,4
2021-06-20,31.47083333333334,2021,6,20,2021-06,4
2021-06-21,31.370833333333337,2021,6,21,2021-06,4
2021-06-22,31.40555555555556,2021,6,22,2021-06,4
2021-06-23,32.63194444444444,2021,6,23,2021-06,4
2021-06-24,31.486111111111114,2021,6,24,2021-06,4
2021-06-25,31.693055555555553,2021,6,25,2021-06,4
2021-06-26,31.598611111111115,2021,6,26,2021-06,4
2021-06-27,31.606944444444444,2021,6,27,2021-06,4
2021-06-28,31.92638888888889,2021,6,28,2021-06,4
2021-06-29,33.95138888888889,2021,6,29,2021-06,4
2021-06-30,31.14305555555556,2021,6,30,2021-06,4
2021-07-01,35.66573426573426,2021,7,1,2021-07,5
2021-07-02,36.93194444444445,2021,7,2,2021-07,5
2021-07-03,36.076388888888886,2021,7,3,2021-07,5
2021-07-04,33.00138888888889,2021,7,4,2021-07,5
2021-07-05,31.977777777777778,2021,7,5,2021-07,5
2021-07-06,32.583333333333336,2021,7,6,2021-07,5
2021-07-07,32.05416666666666,2021,7,7,2021-07,5
2021-07-08,33.980555555555554,2021,7,8,2021-07,5
2021-07-09,34.636111111111106,2021,7,9,2021-07,5
2021-07-10,31.448611111111113,2021,7,10,2021-07,5
2021-07-11,31.951388888888893,2021,7,11,2021-07,5
2021-07-12,32.74722222222223,2021,7,12,2021-07,5
2021-07-13,34.48611111111111,2021,7,13,2021-07,5
2021-07-14,32.99027777777778,2021,7,14,2021-07,5
2021-07-15,31.17638888888889,2021,7,15,2021-07,5
2021-07-16,30.719444444444445,2021,7,16,2021-07,5
2021-07-17,30.9375,2021,7,17,2021-07,5
2021-07-18,31.218055555555555,2021,7,18,2021-07,5
2021-07-19,31.584722222222222,2021,7,19,2021-07,5
2021-07-20,31.690277777777773,2021,7,20,2021-07,5
2021-07-21,31.915277777777778,2021,7,21,2021-07,5
