Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,21.270833333333336,2021,3,17,2021-03,1
2021-03-18,21.46583333333333,2021,3,18,2021-03,1
2021-03-19,21.4125,2021,3,19,2021-03,1
2021-03-20,23.53861111111111,2021,3,20,2021-03,1
2021-03-21,24.6225,2021,3,21,2021-03,1
2021-03-22,22.043611111111108,2021,3,22,2021-03,1
2021-03-23,21.229722222222225,2021,3,23,2021-03,1
2021-03-24,21.267777777777777,2021,3,24,2021-03,1
2021-03-25,21.238888888888887,2021,3,25,2021-03,1
2021-03-26,21.3822385620915,2021,3,26,2021-03,1
2021-03-27,21.683381895881897,2021,3,27,2021-03,1
2021-03-28,24.75205516705517,2021,3,28,2021-03,1
2021-03-29,21.280804195804198,2021,3,29,2021-03,1
2021-03-30,21.386944444444442,2021,3,30,2021-03,1
2021-03-31,21.5375,2021,3,31,2021-03,1
2021-04-01,21.535,2021,4,1,2021-04,2
2021-04-02,21.558333333333334,2021,4,2,2021-04,2
2021-04-03,21.552222222222223,2021,4,3,2021-04,2
2021-04-04,24.221767676767676,2021,4,4,2021-04,2
2021-04-05,21.191111111111113,2021,4,5,2021-04,2
2021-04-06,21.086944444444445,2021,4,6,2021-04,2
2021-04-07,21.349722222222223,2021,4,7,2021-04,2
2021-04-08,21.462222222222223,2021,4,8,2021-04,2
2021-04-09,21.339722222222225,2021,4,9,2021-04,2
2021-04-10,21.47694444444444,2021,4,10,2021-04,2
2021-04-11,21.635555555555555,2021,4,11,2021-04,2
2021-04-12,22.149722222222223,2021,4,12,2021-04,2
2021-04-13,22.16444444444444,2021,4,13,2021-04,2
2021-04-14,21.697222222222223,2021,4,14,2021-04,2
2021-04-15,21.632777777777783,2021,4,15,2021-04,2
2021-04-16,21.795000000000005,2021,4,16,2021-04,2
2021-04-17,22.653055555555557,2021,4,17,2021-04,2
2021-04-18,21.95361111111111,2021,4,18,2021-04,2
2021-04-19,21.63666666666667,2021,4,19,2021-04,2
2021-04-20,21.63666666666666,2021,4,20,2021-04,2
2021-04-21,21.795,2021,4,21,2021-04,2
2021-04-22,21.826111111111114,2021,4,22,2021-04,2
2021-04-23,21.756111111111114,2021,4,23,2021-04,2
2021-04-24,21.846944444444443,2021,4,24,2021-04,2
2021-04-25,21.713055555555556,2021,4,25,2021-04,2
2021-04-26,21.654722222222222,2021,4,26,2021-04,2
2021-04-27,22.07472222222222,2021,4,27,2021-04,2
2021-04-28,22.354444444444443,2021,4,28,2021-04,2
2021-04-29,23.281111111111112,2021,4,29,2021-04,2
2021-04-30,21.756666666666664,2021,4,30,2021-04,2
2021-05-01,23.195,2021,5,1,2021-05,3
2021-05-02,22.889166666666664,2021,5,2,2021-05,3
2021-05-03,21.2675,2021,5,3,2021-05,3
2021-05-04,21.474722222222223,2021,5,4,2021-05,3
2021-05-05,23.721111111111114,2021,5,5,2021-05,3
2021-05-06,21.314444444444444,2021,5,6,2021-05,3
2021-05-07,21.626986373165618,2021,5,7,2021-05,3
2021-05-08,21.566111111111113,2021,5,8,2021-05,3
2021-05-09,21.57472222222222,2021,5,9,2021-05,3
2021-05-10,21.89805555555556,2021,5,10,2021-05,3
2021-05-11,21.751111111111108,2021,5,11,2021-05,3
2021-05-12,22.001666666666665,2021,5,12,2021-05,3
2021-05-13,21.72414916885389,2021,5,13,2021-05,3
2021-05-14,21.9625,2021,5,14,2021-05,3
2021-05-15,22.84833333333333,2021,5,15,2021-05,3
2021-05-16,22.593333333333334,2021,5,16,2021-05,3
2021-05-17,24.805555555555557,2021,5,17,2021-05,3
2021-05-18,21.681944444444444,2021,5,18,2021-05,3
2021-05-19,21.17281746031746,2021,5,19,2021-05,3
