Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,32.15060763888889,2021,3,17,2021-03,1
2021-03-18,32.239215233825604,2021,3,18,2021-03,1
2021-03-19,27.776041666666664,2021,3,19,2021-03,1
2021-03-20,32.16145833333333,2021,3,20,2021-03,1
2021-03-21,33.844625170765035,2021,3,21,2021-03,1
2021-03-22,31.684027777777775,2021,3,22,2021-03,1
2021-03-23,31.627604166666664,2021,3,23,2021-03,1
2021-03-24,31.710069444444446,2021,3,24,2021-03,1
2021-03-25,32.03515625,2021,3,25,2021-03,1
2021-03-26,31.75086805555555,2021,3,26,2021-03,1
2021-03-27,31.98741319444445,2021,3,27,2021-03,1
2021-03-28,37.86193970959596,2021,3,28,2021-03,1
2021-03-29,31.575086805555557,2021,3,29,2021-03,1
2021-03-30,31.931423611111118,2021,3,30,2021-03,1
2021-03-31,32.123697916666664,2021,3,31,2021-03,1
2021-04-01,32.041232638888886,2021,4,1,2021-04,2
2021-04-02,31.587673611111114,2021,4,2,2021-04,2
2021-04-03,31.378038194444446,2021,4,3,2021-04,2
2021-04-04,34.655815972222214,2021,4,4,2021-04,2
2021-04-05,31.410156250000004,2021,4,5,2021-04,2
2021-04-06,31.553385416666668,2021,4,6,2021-04,2
2021-04-07,31.740451388888886,2021,4,7,2021-04,2
2021-04-08,31.80078125,2021,4,8,2021-04,2
2021-04-09,31.849826388888886,2021,4,9,2021-04,2
2021-04-10,31.613715277777775,2021,4,10,2021-04,2
2021-04-11,31.890625000000004,2021,4,11,2021-04,2
2021-04-12,33.255642361111114,2021,4,12,2021-04,2
2021-04-13,33.477864583333336,2021,4,13,2021-04,2
2021-04-14,31.605034722222225,2021,4,14,2021-04,2
2021-04-15,31.86979166666667,2021,4,15,2021-04,2
2021-04-16,32.60980902777778,2021,4,16,2021-04,2
2021-04-17,37.12326388888889,2021,4,17,2021-04,2
2021-04-18,31.47916666666667,2021,4,18,2021-04,2
2021-04-19,31.77560763888889,2021,4,19,2021-04,2
2021-04-20,31.65668402777778,2021,4,20,2021-04,2
2021-04-21,32.05815972222223,2021,4,21,2021-04,2
2021-04-22,32.303385416666664,2021,4,22,2021-04,2
2021-04-23,32.1640625,2021,4,23,2021-04,2
2021-04-24,31.72092013888889,2021,4,24,2021-04,2
2021-04-25,31.994791666666668,2021,4,25,2021-04,2
2021-04-26,31.680989583333336,2021,4,26,2021-04,2
2021-04-27,31.990885416666668,2021,4,27,2021-04,2
2021-04-28,33.696614583333336,2021,4,28,2021-04,2
2021-04-29,37.03125,2021,4,29,2021-04,2
2021-04-30,31.312934027777782,2021,4,30,2021-04,2
2021-05-01,32.14583333333333,2021,5,1,2021-05,3
2021-05-02,32.055121527777786,2021,5,2,2021-05,3
2021-05-03,31.467447916666664,2021,5,3,2021-05,3
2021-05-04,31.645833333333336,2021,5,4,2021-05,3
2021-05-05,37.89713541666667,2021,5,5,2021-05,3
2021-05-06,31.388020833333336,2021,5,6,2021-05,3
2021-05-07,34.24609375,2021,5,7,2021-05,3
2021-05-08,31.66927083333334,2021,5,8,2021-05,3
2021-05-09,31.653211805555554,2021,5,9,2021-05,3
2021-05-10,31.635850694444443,2021,5,10,2021-05,3
2021-05-11,32.29600694444445,2021,5,11,2021-05,3
2021-05-12,33.6484375,2021,5,12,2021-05,3
2021-05-13,31.637586805555557,2021,5,13,2021-05,3
2021-05-14,31.818576388888886,2021,5,14,2021-05,3
2021-05-15,33.303385416666664,2021,5,15,2021-05,3
2021-05-16,31.349392361111114,2021,5,16,2021-05,3
2021-05-17,40.15668402777777,2021,5,17,2021-05,3
2021-05-18,33.12977430555556,2021,5,18,2021-05,3
2021-05-19,33.033420138888886,2021,5,19,2021-05,3
2021-05-20,39.53993055555556,2021,5,20,2021-05,3
2021-05-21,36.38194444444444,2021,5,21,2021-05,3
2021-05-22,31.061197916666664,2021,5,22,2021-05,3
2021-05-23,31.46875,2021,5,23,2021-05,3
2021-05-24,37.97699652777778,2021,5,24,2021-05,3
2021-05-25,31.10633680555555,2021,5,25,2021-05,3
2021-05-26,32.58420138888889,2021,5,26,2021-05,3
2021-05-27,40.58116319444444,2021,5,27,2021-05,3
2021-05-28,31.311197916666664,2021,5,28,2021-05,3
2021-05-29,31.572482638888886,2021,5,29,2021-05,3
2021-05-30,31.97265625,2021,5,30,2021-05,3
2021-05-31,32.1328125,2021,5,31,2021-05,3
2021-06-01,32.088107638888886,2021,6,1,2021-06,4
2021-06-02,32.10666791953035,2021,6,2,2021-06,4
2021-06-03,34.22280505952381,2021,6,3,2021-06,4
2021-06-04,37.455116421568626,2021,6,4,2021-06,4
2021-06-05,31.55555555555555,2021,6,5,2021-06,4
2021-06-06,31.526909722222225,2021,6,6,2021-06,4
2021-06-07,31.881076388888886,2021,6,7,2021-06,4
2021-06-08,31.99579258786848,2021,6,8,2021-06,4
2021-06-09,32.67283590555884,2021,6,9,2021-06,4
2021-06-10,32.044308629053695,2021,6,10,2021-06,4
2021-06-11,31.851596487773772,2021,6,11,2021-06,4
2021-06-12,32.75954861111111,2021,6,12,2021-06,4
