Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,36.543304843304846,2021,3,17,2021-03,1
2021-03-18,36.50730056980058,2021,3,18,2021-03,1
2021-03-19,36.69622507122508,2021,3,19,2021-03,1
2021-03-20,38.25935513916284,2021,3,20,2021-03,1
2021-03-21,43.81410256410256,2021,3,21,2021-03,1
2021-03-22,40.59295434098067,2021,3,22,2021-03,1
2021-03-23,38.1538049182786,2021,3,23,2021-03,1
2021-03-24,37.36912393162393,2021,3,24,2021-03,1
2021-03-25,37.95548433048434,2021,3,25,2021-03,1
2021-03-26,38.182583975853206,2021,3,26,2021-03,1
2021-03-27,37.697827635327634,2021,3,27,2021-03,1
2021-03-28,41.2380698005698,2021,3,28,2021-03,1
2021-03-29,37.83938746438745,2021,3,29,2021-03,1
2021-03-30,38.29326923076923,2021,3,30,2021-03,1
2021-03-31,38.07496438746438,2021,3,31,2021-03,1
2021-04-01,38.32318376068376,2021,4,1,2021-04,2
2021-04-02,38.56801994301995,2021,4,2,2021-04,2
2021-04-03,38.56000712250712,2021,4,3,2021-04,2
2021-04-04,42.12482193732195,2021,4,4,2021-04,2
2021-04-05,40.42022792022793,2021,4,5,2021-04,2
2021-04-06,38.168447293447294,2021,4,6,2021-04,2
2021-04-07,37.9818376068376,2021,4,7,2021-04,2
2021-04-08,38.348112535612536,2021,4,8,2021-04,2
2021-04-09,38.055911680911684,2021,4,9,2021-04,2
2021-04-10,38.19640313390313,2021,4,10,2021-04,2
2021-04-11,38.58707264957266,2021,4,11,2021-04,2
2021-04-12,38.634196334854224,2021,4,12,2021-04,2
2021-04-13,39.70727824552452,2021,4,13,2021-04,2
2021-04-14,42.31606125356125,2021,4,14,2021-04,2
2021-04-15,38.14501685080955,2021,4,15,2021-04,2
2021-04-16,38.4218304843305,2021,4,16,2021-04,2
2021-04-17,43.22613960113961,2021,4,17,2021-04,2
2021-04-18,44.03792735042735,2021,4,18,2021-04,2
2021-04-19,39.069282327677854,2021,4,19,2021-04,2
2021-04-20,38.46091398820272,2021,4,20,2021-04,2
2021-04-21,38.02553518418903,2021,4,21,2021-04,2
2021-04-22,38.278133903133906,2021,4,22,2021-04,2
2021-04-23,38.51745014245013,2021,4,23,2021-04,2
2021-04-24,38.96723646723645,2021,4,24,2021-04,2
2021-04-25,38.759793447293454,2021,4,25,2021-04,2
2021-04-26,38.36200142450142,2021,4,26,2021-04,2
2021-04-27,38.873753561253565,2021,4,27,2021-04,2
2021-04-28,39.821047008547,2021,4,28,2021-04,2
2021-04-29,44.79326923076923,2021,4,29,2021-04,2
2021-04-30,39.39903846153845,2021,4,30,2021-04,2
2021-05-01,42.39476495726496,2021,5,1,2021-05,3
2021-05-02,41.42948717948717,2021,5,2,2021-05,3
2021-05-03,38.291666666666664,2021,5,3,2021-05,3
2021-05-04,38.0997150997151,2021,5,4,2021-05,3
2021-05-05,40.53240740740741,2021,5,5,2021-05,3
2021-05-06,37.13247863247863,2021,5,6,2021-05,3
2021-05-07,38.819968848815,2021,5,7,2021-05,3
2021-05-08,38.97453703703703,2021,5,8,2021-05,3
2021-05-09,39.18963675213676,2021,5,9,2021-05,3
2021-05-10,38.16987590125747,2021,5,10,2021-05,3
2021-05-11,38.406119113248906,2021,5,11,2021-05,3
2021-05-12,38.74223220570545,2021,5,12,2021-05,3
2021-05-13,38.79377346433422,2021,5,13,2021-05,3
2021-05-14,39.33714146120863,2021,5,14,2021-05,3
2021-05-15,39.46688034188034,2021,5,15,2021-05,3
2021-05-16,40.72133190883191,2021,5,16,2021-05,3
2021-05-17,45.994620301036235,2021,5,17,2021-05,3
2021-05-18,41.530493408581556,2021,5,18,2021-05,3
2021-05-19,40.85921177587844,2021,5,19,2021-05,3
2021-05-20,39.40394233368686,2021,5,20,2021-05,3
2021-05-21,43.8989737114737,2021,5,21,2021-05,3
2021-05-22,38.265491452991455,2021,5,22,2021-05,3
2021-05-23,38.71189458689459,2021,5,23,2021-05,3
2021-05-24,38.55967643467643,2021,5,24,2021-05,3
2021-05-25,40.26861888111889,2021,5,25,2021-05,3
2021-05-26,37.90876724156775,2021,5,26,2021-05,3
2021-05-27,41.79979603729603,2021,5,27,2021-05,3
2021-05-28,38.1312678062678,2021,5,28,2021-05,3
2021-05-29,38.52386039886039,2021,5,29,2021-05,3
2021-05-30,38.251424501424495,2021,5,30,2021-05,3
2021-05-31,38.61598679098678,2021,5,31,2021-05,3
2021-06-01,38.481778252611576,2021,6,1,2021-06,4
2021-06-02,39.208038720538724,2021,6,2,2021-06,4
2021-06-03,39.21909155659156,2021,6,3,2021-06,4
2021-06-04,46.69368704618332,2021,6,4,2021-06,4
2021-06-05,38.123753561253565,2021,6,5,2021-06,4
2021-06-06,39.05091280551806,2021,6,6,2021-06,4
2021-06-07,39.25130368506536,2021,6,7,2021-06,4
2021-06-08,39.57491645226412,2021,6,8,2021-06,4
2021-06-09,39.14614208421548,2021,6,9,2021-06,4
2021-06-10,38.260921177587846,2021,6,10,2021-06,4
2021-06-11,38.133056174904,2021,6,11,2021-06,4
2021-06-12,37.92243127013599,2021,6,12,2021-06,4
2021-06-13,40.43700192257884,2021,6,13,2021-06,4
2021-06-14,38.87559910849385,2021,6,14,2021-06,4
2021-06-15,38.73100664767331,2021,6,15,2021-06,4
2021-06-16,39.168381691408,2021,6,16,2021-06,4
2021-06-17,39.32050472675472,2021,6,17,2021-06,4
2021-06-18,39.416523459908305,2021,6,18,2021-06,4
2021-06-19,42.826210826210826,2021,6,19,2021-06,4
2021-06-20,38.51424501424501,2021,6,20,2021-06,4
2021-06-21,38.49713755845831,2021,6,21,2021-06,4
2021-06-22,42.03042042761669,2021,6,22,2021-06,4
2021-06-23,40.00333462833463,2021,6,23,2021-06,4
2021-06-24,38.429131054131055,2021,6,24,2021-06,4
2021-06-25,39.31490346851318,2021,6,25,2021-06,4
2021-06-26,39.87998575498575,2021,6,26,2021-06,4
2021-06-27,40.90473646723647,2021,6,27,2021-06,4
2021-06-28,39.30769230769231,2021,6,28,2021-06,4
2021-06-29,40.55252849002849,2021,6,29,2021-06,4
2021-06-30,40.62286324786323,2021,6,30,2021-06,4
2021-07-01,38.31220364393441,2021,7,1,2021-07,5
2021-07-02,38.42254273504273,2021,7,2,2021-07,5
2021-07-03,38.06588319088319,2021,7,3,2021-07,5
2021-07-04,39.89066951566951,2021,7,4,2021-07,5
2021-07-05,43.206562200325884,2021,7,5,2021-07,5
2021-07-06,40.62996760999761,2021,7,6,2021-07,5
2021-07-07,38.98679315777491,2021,7,7,2021-07,5
2021-07-08,37.77883390054958,2021,7,8,2021-07,5
2021-07-09,44.48621300456446,2021,7,9,2021-07,5
2021-07-10,38.69052706552707,2021,7,10,2021-07,5
2021-07-11,40.070690883190885,2021,7,11,2021-07,5
2021-07-12,40.254030737766065,2021,7,12,2021-07,5
2021-07-13,38.86144443535747,2021,7,13,2021-07,5
2021-07-14,39.10949920134834,2021,7,14,2021-07,5
2021-07-15,39.005915947286766,2021,7,15,2021-07,5
2021-07-16,38.906489052650464,2021,7,16,2021-07,5
2021-07-17,39.54077635327635,2021,7,17,2021-07,5
2021-07-18,39.39298433048433,2021,7,18,2021-07,5
2021-07-19,39.58653846153846,2021,7,19,2021-07,5
2021-07-20,39.624643874643866,2021,7,20,2021-07,5
2021-07-21,39.50462962962964,2021,7,21,2021-07,5
2021-07-22,39.64275895045126,2021,7,22,2021-07,5
2021-07-23,39.482193732193736,2021,7,23,2021-07,5
2021-07-24,40.138262556531785,2021,7,24,2021-07,5
2021-07-25,40.17770655270655,2021,7,25,2021-07,5
2021-07-26,40.17815757584175,2021,7,26,2021-07,5
2021-07-27,40.22257834757835,2021,7,27,2021-07,5
2021-07-28,39.30448717948718,2021,7,28,2021-07,5
2021-07-29,40.041666666666664,2021,7,29,2021-07,5
2021-07-30,39.817841880341874,2021,7,30,2021-07,5
2021-07-31,39.97061965811966,2021,7,31,2021-07,5
2021-08-01,39.871891996892,2021,8,1,2021-08,6
2021-08-02,40.29166666666667,2021,8,2,2021-08,6
2021-08-03,39.4909188034188,2021,8,3,2021-08,6
2021-08-04,40.15014170302633,2021,8,4,2021-08,6
2021-08-05,40.38301282051282,2021,8,5,2021-08,6
2021-08-06,40.61858974358975,2021,8,6,2021-08,6
2021-08-07,40.011217948717956,2021,8,7,2021-08,6
2021-08-08,40.47774216524216,2021,8,8,2021-08,6
2021-08-09,40.541763791763806,2021,8,9,2021-08,6
2021-08-10,40.28400997150996,2021,8,10,2021-08,6
2021-08-11,38.40117521367522,2021,8,11,2021-08,6
2021-08-12,40.730056980056965,2021,8,12,2021-08,6
2021-08-13,46.337072649572654,2021,8,13,2021-08,6
2021-08-14,47.46225071225071,2021,8,14,2021-08,6
2021-08-15,41.12517806267807,2021,8,15,2021-08,6
2021-08-16,38.68215811965812,2021,8,16,2021-08,6
2021-08-17,40.578169515669515,2021,8,17,2021-08,6
2021-08-18,38.426638176638164,2021,8,18,2021-08,6
2021-08-19,38.801816239316246,2021,8,19,2021-08,6
2021-08-20,39.43810750796045,2021,8,20,2021-08,6
2021-08-21,38.22079772079772,2021,8,21,2021-08,6
2021-08-22,38.9832621082621,2021,8,22,2021-08,6
2021-08-23,40.72891892728849,2021,8,23,2021-08,6
2021-08-24,40.54700854700856,2021,8,24,2021-08,6
2021-08-25,41.356659544159555,2021,8,25,2021-08,6
2021-08-26,38.30555555555556,2021,8,26,2021-08,6
2021-08-27,38.467414529914535,2021,8,27,2021-08,6
2021-08-28,39.13871082621081,2021,8,28,2021-08,6
2021-08-29,39.08814102564102,2021,8,29,2021-08,6
2021-08-30,40.40081908831909,2021,8,30,2021-08,6
2021-08-31,38.99537037037038,2021,8,31,2021-08,6
2021-09-01,46.259259259259274,2021,9,1,2021-09,7
2021-09-02,40.654983015559935,2021,9,2,2021-09,7
2021-09-03,42.11858974358975,2021,9,3,2021-09,7
2021-09-04,43.267628205128204,2021,9,4,2021-09,7
2021-09-05,38.75890313390313,2021,9,5,2021-09,7
2021-09-06,41.08008452937698,2021,9,6,2021-09,7
2021-09-07,38.4796475604168,2021,9,7,2021-09,7
2021-09-08,42.18506730686219,2021,9,8,2021-09,7
2021-09-09,39.162112010796235,2021,9,9,2021-09,7
2021-09-10,38.66408081839498,2021,9,10,2021-09,7
2021-09-11,39.429131054131055,2021,9,11,2021-09,7
2021-09-12,39.21278490028491,2021,9,12,2021-09,7
2021-09-13,38.83209626630679,2021,9,13,2021-09,7
2021-09-14,39.50401912901911,2021,9,14,2021-09,7
2021-09-15,39.453525641025635,2021,9,15,2021-09,7
2021-09-16,39.381766381766376,2021,9,16,2021-09,7
2021-09-17,39.30698005698006,2021,9,17,2021-09,7
2021-09-18,42.75213675213675,2021,9,18,2021-09,7
2021-09-19,38.502136752136764,2021,9,19,2021-09,7
2021-09-20,39.591168091168086,2021,9,20,2021-09,7
2021-09-21,39.32816951566952,2021,9,21,2021-09,7
2021-09-22,42.818554131054114,2021,9,22,2021-09,7
2021-09-23,38.6173433048433,2021,9,23,2021-09,7
2021-09-24,39.0491452991453,2021,9,24,2021-09,7
2021-09-25,38.728098290598304,2021,9,25,2021-09,7
2021-09-26,39.76602564102564,2021,9,26,2021-09,7
2021-09-27,39.00136182336182,2021,9,27,2021-09,7
2021-09-28,39.15486836951101,2021,9,28,2021-09,7
2021-09-29,39.426477069205035,2021,9,29,2021-09,7
2021-09-30,39.18562495859008,2021,9,30,2021-09,7
2021-10-01,40.23194658187512,2021,10,1,2021-10,8
2021-10-02,39.662571225071225,2021,10,2,2021-10,8
