Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,31.81423611111111,2021,3,17,2021-03,1
2021-03-18,31.911458333333332,2021,3,18,2021-03,1
2021-03-19,31.804195804195803,2021,3,19,2021-03,1
2021-03-20,31.717013888888893,2021,3,20,2021-03,1
2021-03-21,38.62152777777777,2021,3,21,2021-03,1
2021-03-22,33.217013888888886,2021,3,22,2021-03,1
2021-03-23,31.479166666666664,2021,3,23,2021-03,1
2021-03-24,31.647569444444443,2021,3,24,2021-03,1
2021-03-25,31.552083333333336,2021,3,25,2021-03,1
2021-03-26,31.66493055555556,2021,3,26,2021-03,1
2021-03-27,31.571180555555554,2021,3,27,2021-03,1
2021-03-28,32.869791666666664,2021,3,28,2021-03,1
2021-03-29,33.470486111111114,2021,3,29,2021-03,1
2021-03-30,31.38888888888889,2021,3,30,2021-03,1
2021-03-31,31.56076388888889,2021,3,31,2021-03,1
2021-04-01,31.609375,2021,4,1,2021-04,2
2021-04-02,31.543402777777775,2021,4,2,2021-04,2
2021-04-03,31.376736111111114,2021,4,3,2021-04,2
2021-04-04,32.626736111111114,2021,4,4,2021-04,2
2021-04-05,35.64756944444444,2021,4,5,2021-04,2
2021-04-06,30.817708333333336,2021,4,6,2021-04,2
2021-04-07,31.08680555555556,2021,4,7,2021-04,2
2021-04-08,31.802083333333332,2021,4,8,2021-04,2
2021-04-09,31.461805555555554,2021,4,9,2021-04,2
2021-04-10,31.35416666666667,2021,4,10,2021-04,2
2021-04-11,31.534722222222218,2021,4,11,2021-04,2
2021-04-12,31.440972222222225,2021,4,12,2021-04,2
2021-04-13,31.585069444444446,2021,4,13,2021-04,2
2021-04-14,36.96527777777778,2021,4,14,2021-04,2
2021-04-15,31.208333333333336,2021,4,15,2021-04,2
2021-04-16,31.05902777777778,2021,4,16,2021-04,2
2021-04-17,33.21006944444444,2021,4,17,2021-04,2
2021-04-18,32.126736111111114,2021,4,18,2021-04,2
2021-04-19,31.288194444444443,2021,4,19,2021-04,2
2021-04-20,31.65972222222222,2021,4,20,2021-04,2
2021-04-21,31.58159722222222,2021,4,21,2021-04,2
2021-04-22,31.53125,2021,4,22,2021-04,2
2021-04-23,31.555555555555557,2021,4,23,2021-04,2
2021-04-24,31.75,2021,4,24,2021-04,2
2021-04-25,32.22743055555556,2021,4,25,2021-04,2
2021-04-26,31.848958333333332,2021,4,26,2021-04,2
2021-04-27,31.958333333333336,2021,4,27,2021-04,2
2021-04-28,32.17881944444444,2021,4,28,2021-04,2
2021-04-29,33.99305555555556,2021,4,29,2021-04,2
2021-04-30,31.473958333333336,2021,4,30,2021-04,2
2021-05-01,33.80034722222222,2021,5,1,2021-05,3
