Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,47.14729532163742,2021,3,17,2021-03,1
2021-03-18,47.318347953216374,2021,3,18,2021-03,1
2021-03-19,47.259168097983896,2021,3,19,2021-03,1
2021-03-20,48.1078216374269,2021,3,20,2021-03,1
2021-03-21,55.92616959064327,2021,3,21,2021-03,1
2021-03-22,48.028874269005854,2021,3,22,2021-03,1
2021-03-23,46.685307017543856,2021,3,23,2021-03,1
2021-03-24,46.968567251461984,2021,3,24,2021-03,1
2021-03-25,46.93238304093567,2021,3,25,2021-03,1
2021-03-26,47.04577914775283,2021,3,26,2021-03,1
2021-03-27,47.068347953216374,2021,3,27,2021-03,1
2021-03-28,49.993055555555564,2021,3,28,2021-03,1
2021-03-29,48.19078947368421,2021,3,29,2021-03,1
2021-03-30,46.91337719298245,2021,3,30,2021-03,1
2021-03-31,47.10745614035088,2021,3,31,2021-03,1
2021-04-01,47.031798245614034,2021,4,1,2021-04,2
2021-04-02,46.892543859649116,2021,4,2,2021-04,2
2021-04-03,46.85453216374268,2021,4,3,2021-04,2
2021-04-04,48.06971537234695,2021,4,4,2021-04,2
2021-04-05,47.86586257309941,2021,4,5,2021-04,2
2021-04-06,46.45979532163743,2021,4,6,2021-04,2
2021-04-07,46.72953216374269,2021,4,7,2021-04,2
2021-04-08,47.558403912079044,2021,4,8,2021-04,2
2021-04-09,46.56213450292398,2021,4,9,2021-04,2
2021-04-10,46.77923976608187,2021,4,10,2021-04,2
2021-04-11,46.99671052631579,2021,4,11,2021-04,2
2021-04-12,46.798810473152585,2021,4,12,2021-04,2
2021-04-13,47.17966285663654,2021,4,13,2021-04,2
2021-04-14,48.34922972855024,2021,4,14,2021-04,2
2021-04-15,46.60925925925926,2021,4,15,2021-04,2
2021-04-16,46.74055203798971,2021,4,16,2021-04,2
2021-04-17,48.547149122807014,2021,4,17,2021-04,2
2021-04-18,47.177997076023395,2021,4,18,2021-04,2
2021-04-19,46.62682748538011,2021,4,19,2021-04,2
2021-04-20,47.09978070175439,2021,4,20,2021-04,2
2021-04-21,46.81066619808663,2021,4,21,2021-04,2
2021-04-22,46.82309941520467,2021,4,22,2021-04,2
2021-04-23,46.835357205202065,2021,4,23,2021-04,2
2021-04-24,47.2452485380117,2021,4,24,2021-04,2
2021-04-25,47.399122807017555,2021,4,25,2021-04,2
2021-04-26,46.8296783625731,2021,4,26,2021-04,2
2021-04-27,47.203087375301,2021,4,27,2021-04,2
2021-04-28,47.53581871345028,2021,4,28,2021-04,2
2021-04-29,49.29641812865498,2021,4,29,2021-04,2
2021-04-30,46.83004385964912,2021,4,30,2021-04,2
2021-05-01,47.42580409356726,2021,5,1,2021-05,3
2021-05-02,47.288088373614684,2021,5,2,2021-05,3
2021-05-03,46.66410818713451,2021,5,3,2021-05,3
2021-05-04,46.84576023391813,2021,5,4,2021-05,3
2021-05-05,48.21235380116959,2021,5,5,2021-05,3
2021-05-06,46.9546783625731,2021,5,6,2021-05,3
2021-05-07,47.70687134502924,2021,5,7,2021-05,3
2021-05-08,47.31076002800428,2021,5,8,2021-05,3
2021-05-09,47.635599415204666,2021,5,9,2021-05,3
2021-05-10,47.12573099415205,2021,5,10,2021-05,3
2021-05-11,47.10416666666667,2021,5,11,2021-05,3
2021-05-12,47.11769005847954,2021,5,12,2021-05,3
2021-05-13,47.46016081871344,2021,5,13,2021-05,3
2021-05-14,47.4108187134503,2021,5,14,2021-05,3
2021-05-15,47.538011695906434,2021,5,15,2021-05,3
2021-05-16,47.732456140350884,2021,5,16,2021-05,3
2021-05-17,48.3421052631579,2021,5,17,2021-05,3
2021-05-18,51.92580409356725,2021,5,18,2021-05,3
2021-05-19,49.75475146198829,2021,5,19,2021-05,3
2021-05-20,47.907529239766085,2021,5,20,2021-05,3
2021-05-21,48.35270467836257,2021,5,21,2021-05,3
2021-05-22,50.438596491228076,2021,5,22,2021-05,3
2021-05-23,47.23940058479532,2021,5,23,2021-05,3
2021-05-24,46.73720760233918,2021,5,24,2021-05,3
2021-05-25,48.41883153396311,2021,5,25,2021-05,3
2021-05-26,46.36330409356725,2021,5,26,2021-05,3
2021-05-27,49.84831871345029,2021,5,27,2021-05,3
2021-05-28,46.271198830409354,2021,5,28,2021-05,3
2021-05-29,46.766812865497066,2021,5,29,2021-05,3
2021-05-30,47.45211988304093,2021,5,30,2021-05,3
2021-05-31,49.81871345029239,2021,5,31,2021-05,3
2021-06-01,46.435672514619874,2021,6,1,2021-06,4
2021-06-02,46.32419590643275,2021,6,2,2021-06,4
2021-06-03,46.343567251461984,2021,6,3,2021-06,4
2021-06-04,50.19334795321638,2021,6,4,2021-06,4
2021-06-05,46.54970760233918,2021,6,5,2021-06,4
2021-06-06,46.83406432748538,2021,6,6,2021-06,4
2021-06-07,47.321271929824555,2021,6,7,2021-06,4
2021-06-08,47.826388888888886,2021,6,8,2021-06,4
2021-06-09,46.95175438596491,2021,6,9,2021-06,4
2021-06-10,47.21125730994153,2021,6,10,2021-06,4
2021-06-11,46.88508823048297,2021,6,11,2021-06,4
2021-06-12,46.96966374269004,2021,6,12,2021-06,4
2021-06-13,47.323901975217765,2021,6,13,2021-06,4
2021-06-14,48.58662280701754,2021,6,14,2021-06,4
2021-06-15,47.445175438596486,2021,6,15,2021-06,4
2021-06-16,47.70687134502924,2021,6,16,2021-06,4
2021-06-17,46.522923614131734,2021,6,17,2021-06,4
2021-06-18,46.51593727909518,2021,6,18,2021-06,4
2021-06-19,49.660818713450304,2021,6,19,2021-06,4
2021-06-20,46.57711988304093,2021,6,20,2021-06,4
2021-06-21,46.581871345029235,2021,6,21,2021-06,4
2021-06-22,46.532529239766085,2021,6,22,2021-06,4
2021-06-23,46.87975146198829,2021,6,23,2021-06,4
2021-06-24,48.40896566883409,2021,6,24,2021-06,4
2021-06-25,47.37719298245615,2021,6,25,2021-06,4
2021-06-26,46.32456140350877,2021,6,26,2021-06,4
2021-06-27,46.48464912280702,2021,6,27,2021-06,4
2021-06-28,46.63304093567252,2021,6,28,2021-06,4
2021-06-29,48.64985380116959,2021,6,29,2021-06,4
2021-06-30,46.63969144890198,2021,6,30,2021-06,4
2021-07-01,47.78168578497527,2021,7,1,2021-07,5
2021-07-02,47.9312865497076,2021,7,2,2021-07,5
2021-07-03,47.15826023391813,2021,7,3,2021-07,5
2021-07-04,47.75219298245613,2021,7,4,2021-07,5
2021-07-05,49.822002923976605,2021,7,5,2021-07,5
2021-07-06,47.834710976158355,2021,7,6,2021-07,5
2021-07-07,47.2783776393911,2021,7,7,2021-07,5
2021-07-08,48.91016081871344,2021,7,8,2021-07,5
2021-07-09,48.37573099415205,2021,7,9,2021-07,5
2021-07-10,50.4203216374269,2021,7,10,2021-07,5
2021-07-11,49.02266081871345,2021,7,11,2021-07,5
2021-07-12,48.03216374269006,2021,7,12,2021-07,5
2021-07-13,48.32363993904951,2021,7,13,2021-07,5
2021-07-14,46.76608187134504,2021,7,14,2021-07,5
2021-07-15,46.122441520467824,2021,7,15,2021-07,5
2021-07-16,46.09393274853801,2021,7,16,2021-07,5
2021-07-17,46.496807651412915,2021,7,17,2021-07,5
2021-07-18,46.86218971087392,2021,7,18,2021-07,5
2021-07-19,47.129337767495656,2021,7,19,2021-07,5
2021-07-20,47.561403508771924,2021,7,20,2021-07,5
2021-07-21,47.19992690058479,2021,7,21,2021-07,5
2021-07-22,47.361098331493075,2021,7,22,2021-07,5
2021-07-23,47.830738818878174,2021,7,23,2021-07,5
2021-07-24,46.600575593996645,2021,7,24,2021-07,5
2021-07-25,46.8125,2021,7,25,2021-07,5
2021-07-26,47.20952277378333,2021,7,26,2021-07,5
2021-07-27,47.11257309941521,2021,7,27,2021-07,5
2021-07-28,48.56213450292398,2021,7,28,2021-07,5
2021-07-29,47.8139619883041,2021,7,29,2021-07,5
2021-07-30,47.16012350222877,2021,7,30,2021-07,5
2021-07-31,46.83015887621149,2021,7,31,2021-07,5
2021-08-01,47.3721322537112,2021,8,1,2021-08,6
2021-08-02,46.93055555555556,2021,8,2,2021-08,6
2021-08-03,46.81140350877193,2021,8,3,2021-08,6
2021-08-04,47.245979532163744,2021,8,4,2021-08,6
2021-08-05,47.39948830409357,2021,8,5,2021-08,6
2021-08-06,47.312865497076025,2021,8,6,2021-08,6
2021-08-07,47.234341188010575,2021,8,7,2021-08,6
2021-08-08,47.18567251461988,2021,8,8,2021-08,6
2021-08-09,47.1995997423629,2021,8,9,2021-08,6
2021-08-10,46.91008771929825,2021,8,10,2021-08,6
2021-08-11,47.45065789473684,2021,8,11,2021-08,6
2021-08-12,48.71600877192983,2021,8,12,2021-08,6
2021-08-13,50.27266081871345,2021,8,13,2021-08,6
2021-08-14,52.48172514619883,2021,8,14,2021-08,6
2021-08-15,50.09429824561404,2021,8,15,2021-08,6
2021-08-16,46.42288011695907,2021,8,16,2021-08,6
2021-08-17,46.906798245614034,2021,8,17,2021-08,6
2021-08-18,45.72843567251462,2021,8,18,2021-08,6
2021-08-19,46.50913742690059,2021,8,19,2021-08,6
2021-08-20,46.64290935672514,2021,8,20,2021-08,6
2021-08-21,47.146198830409354,2021,8,21,2021-08,6
2021-08-22,48.51790935672515,2021,8,22,2021-08,6
2021-08-23,47.320175438596486,2021,8,23,2021-08,6
2021-08-24,47.49049707602339,2021,8,24,2021-08,6
2021-08-25,47.565058479532155,2021,8,25,2021-08,6
2021-08-26,47.87164662822557,2021,8,26,2021-08,6
2021-08-27,47.5090811965812,2021,8,27,2021-08,6
2021-08-28,48.095502085633655,2021,8,28,2021-08,6
2021-08-29,47.577119883040936,2021,8,29,2021-08,6
2021-08-30,49.26827485380117,2021,8,30,2021-08,6
2021-08-31,48.019005847953224,2021,8,31,2021-08,6
2021-09-01,51.49013157894737,2021,9,1,2021-09,7
2021-09-02,50.322733918128655,2021,9,2,2021-09,7
2021-09-03,48.97222222222223,2021,9,3,2021-09,7
2021-09-04,49.56469298245613,2021,9,4,2021-09,7
2021-09-05,46.29130116959064,2021,9,5,2021-09,7
2021-09-06,47.25661473029894,2021,9,6,2021-09,7
2021-09-07,46.03363851061219,2021,9,7,2021-09,7
2021-09-08,47.534607205659825,2021,9,8,2021-09,7
2021-09-09,48.50548245614035,2021,9,9,2021-09,7
2021-09-10,46.93238304093567,2021,9,10,2021-09,7
2021-09-11,47.43567251461988,2021,9,11,2021-09,7
2021-09-12,47.56703561725837,2021,9,12,2021-09,7
2021-09-13,47.52814327485381,2021,9,13,2021-09,7
2021-09-14,47.20577485380117,2021,9,14,2021-09,7
2021-09-15,47.69042397660819,2021,9,15,2021-09,7
2021-09-16,46.57200292397661,2021,9,16,2021-09,7
2021-09-17,46.76059941520467,2021,9,17,2021-09,7
2021-09-18,49.257675438596486,2021,9,18,2021-09,7
2021-09-19,46.48720760233918,2021,9,19,2021-09,7
2021-09-20,47.01821095571095,2021,9,20,2021-09,7
2021-09-21,46.96418128654971,2021,9,21,2021-09,7
2021-09-22,47.06245805771259,2021,9,22,2021-09,7
2021-09-23,47.4579678362573,2021,9,23,2021-09,7
2021-09-24,47.45358187134502,2021,9,24,2021-09,7
2021-09-25,47.30592105263158,2021,9,25,2021-09,7
2021-09-26,47.01535087719297,2021,9,26,2021-09,7
2021-09-27,46.776315789473685,2021,9,27,2021-09,7
2021-09-28,46.749723960250265,2021,9,28,2021-09,7
2021-09-29,47.01973684210527,2021,9,29,2021-09,7
2021-09-30,47.21491228070175,2021,9,30,2021-09,7
2021-10-01,47.50073099415204,2021,10,1,2021-10,8
2021-10-02,46.62221344626262,2021,10,2,2021-10,8
2021-10-03,46.98859013475718,2021,10,3,2021-10,8
2021-10-04,47.08077485380117,2021,10,4,2021-10,8
2021-10-05,47.330639389849914,2021,10,5,2021-10,8
2021-10-06,47.600146198830416,2021,10,6,2021-10,8
2021-10-07,47.54186347278452,2021,10,7,2021-10,8
2021-10-08,47.3687865497076,2021,10,8,2021-10,8
2021-10-09,47.9997316280211,2021,10,9,2021-10,8
2021-10-10,47.130847953216374,2021,10,10,2021-10,8
2021-10-11,47.34165542060279,2021,10,11,2021-10,8
2021-10-12,48.73428362573099,2021,10,12,2021-10,8
2021-10-13,49.16739766081872,2021,10,13,2021-10,8
2021-10-14,46.87134502923976,2021,10,14,2021-10,8
2021-10-15,47.264254385964904,2021,10,15,2021-10,8
2021-10-16,48.666679905861244,2021,10,16,2021-10,8
2021-10-17,51.15277777777777,2021,10,17,2021-10,8
2021-10-18,46.39290935672514,2021,10,18,2021-10,8
2021-10-19,47.04970760233918,2021,10,19,2021-10,8
2021-10-20,47.77719904364642,2021,10,20,2021-10,8
2021-10-21,46.75840643274854,2021,10,21,2021-10,8
2021-10-22,48.13418128654971,2021,10,22,2021-10,8
2021-10-23,46.816929824561406,2021,10,23,2021-10,8
2021-10-24,47.081456456456465,2021,10,24,2021-10,8
2021-10-25,47.221125730994146,2021,10,25,2021-10,8
