Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,42.16029495990837,2021,3,17,2021-03,1
2021-03-18,42.31622279495992,2021,3,18,2021-03,1
2021-03-19,42.189798961061854,2021,3,19,2021-03,1
2021-03-20,45.194229667812145,2021,3,20,2021-03,1
2021-03-21,49.87149198167242,2021,3,21,2021-03,1
2021-03-22,43.56386025200459,2021,3,22,2021-03,1
2021-03-23,42.09829610538376,2021,3,23,2021-03,1
2021-03-24,42.188860252004574,2021,3,24,2021-03,1
2021-03-25,42.3739261168385,2021,3,25,2021-03,1
2021-03-26,43.13029782359679,2021,3,26,2021-03,1
2021-03-27,42.209049255441016,2021,3,27,2021-03,1
2021-03-28,47.57316723940435,2021,3,28,2021-03,1
2021-03-29,41.93720153106496,2021,3,29,2021-03,1
2021-03-30,42.53579812206575,2021,3,30,2021-03,1
2021-03-31,42.571019473081336,2021,3,31,2021-03,1
2021-04-01,42.54338487972509,2021,4,1,2021-04,2
2021-04-02,42.65627737349235,2021,4,2,2021-04,2
2021-04-03,42.99026345933564,2021,4,3,2021-04,2
2021-04-04,49.38983110245996,2021,4,4,2021-04,2
2021-04-05,41.88831615120276,2021,4,5,2021-04,2
2021-04-06,41.70051054863141,2021,4,6,2021-04,2
2021-04-07,41.76302978235968,2021,4,7,2021-04,2
2021-04-08,42.19516036655213,2021,4,8,2021-04,2
2021-04-09,42.15635738831615,2021,4,9,2021-04,2
2021-04-10,42.17604524627722,2021,4,10,2021-04,2
2021-04-11,42.334621993127136,2021,4,11,2021-04,2
2021-04-12,42.785080183276044,2021,4,12,2021-04,2
2021-04-13,45.365979381443296,2021,4,13,2021-04,2
2021-04-14,43.912227949599085,2021,4,14,2021-04,2
2021-04-15,42.1080326460481,2021,4,15,2021-04,2
2021-04-16,42.44988545246277,2021,4,16,2021-04,2
2021-04-17,47.7682560137457,2021,4,17,2021-04,2
2021-04-18,44.94981386025199,2021,4,18,2021-04,2
2021-04-19,41.76281500572737,2021,4,19,2021-04,2
2021-04-20,42.09407216494846,2021,4,20,2021-04,2
2021-04-21,42.03035509736541,2021,4,21,2021-04,2
2021-04-22,42.06880011454753,2021,4,22,2021-04,2
2021-04-23,42.09156643757158,2021,4,23,2021-04,2
2021-04-24,42.46241408934707,2021,4,24,2021-04,2
2021-04-25,42.306915807560124,2021,4,25,2021-04,2
2021-04-26,42.437356815578475,2021,4,26,2021-04,2
2021-04-27,42.84185280641466,2021,4,27,2021-04,2
2021-04-28,44.49377147766324,2021,4,28,2021-04,2
2021-04-29,48.82610252004581,2021,4,29,2021-04,2
2021-04-30,42.855455326460486,2021,4,30,2021-04,2
2021-05-01,43.796606529209626,2021,5,1,2021-05,3
2021-05-02,44.77648911798398,2021,5,2,2021-05,3
2021-05-03,41.42074742268041,2021,5,3,2021-05,3
2021-05-04,41.76854238258877,2021,5,4,2021-05,3
2021-05-05,46.69480240549829,2021,5,5,2021-05,3
2021-05-06,41.61784077892326,2021,5,6,2021-05,3
2021-05-07,42.294100801832755,2021,5,7,2021-05,3
2021-05-08,42.40105956471936,2021,5,8,2021-05,3
2021-05-09,42.66351660939292,2021,5,9,2021-05,3
2021-05-10,42.154567583046976,2021,5,10,2021-05,3
2021-05-11,42.18556701030928,2021,5,11,2021-05,3
2021-05-12,42.35335051546393,2021,5,12,2021-05,3
2021-05-13,43.012611038142936,2021,5,13,2021-05,3
2021-05-14,43.107085426028725,2021,5,14,2021-05,3
2021-05-15,43.341431764112166,2021,5,15,2021-05,3
2021-05-16,46.12192153493699,2021,5,16,2021-05,3
2021-05-17,50.57683426836289,2021,5,17,2021-05,3
2021-05-18,44.35708583651153,2021,5,18,2021-05,3
2021-05-19,42.279531439406576,2021,5,19,2021-05,3
2021-05-20,46.14518638355716,2021,5,20,2021-05,3
2021-05-21,47.177331820860985,2021,5,21,2021-05,3
2021-05-22,41.753364833906076,2021,5,22,2021-05,3
2021-05-23,41.906500572737684,2021,5,23,2021-05,3
2021-05-24,43.6871805885981,2021,5,24,2021-05,3
2021-05-25,43.6260892281686,2021,5,25,2021-05,3
2021-05-26,41.52075340028245,2021,5,26,2021-05,3
2021-05-27,46.15550384234701,2021,5,27,2021-05,3
2021-05-28,41.560425911097774,2021,5,28,2021-05,3
2021-05-29,43.09292668957618,2021,5,29,2021-05,3
2021-05-30,42.24176689576176,2021,5,30,2021-05,3
2021-05-31,41.903307741925005,2021,5,31,2021-05,3
2021-06-01,41.92807691516062,2021,6,1,2021-06,4
2021-06-02,42.565797412115344,2021,6,2,2021-06,4
2021-06-03,43.05217243596159,2021,6,3,2021-06,4
2021-06-04,53.64366888533013,2021,6,4,2021-06,4
2021-06-05,41.50286368843069,2021,6,5,2021-06,4
2021-06-06,42.33061282932418,2021,6,6,2021-06,4
2021-06-07,42.62626657995312,2021,6,7,2021-06,4
2021-06-08,42.75177028012078,2021,6,8,2021-06,4
2021-06-09,42.44729558578665,2021,6,9,2021-06,4
2021-06-10,42.90682755535028,2021,6,10,2021-06,4
2021-06-11,43.27138954974004,2021,6,11,2021-06,4
2021-06-12,43.09922680412371,2021,6,12,2021-06,4
2021-06-13,43.70919744631084,2021,6,13,2021-06,4
2021-06-14,43.59620541257141,2021,6,14,2021-06,4
2021-06-15,42.04516241204385,2021,6,15,2021-06,4
2021-06-16,42.381666765096355,2021,6,16,2021-06,4
2021-06-17,42.75530191458028,2021,6,17,2021-06,4
2021-06-18,43.61592431051193,2021,6,18,2021-06,4
2021-06-19,48.97859392898052,2021,6,19,2021-06,4
2021-06-20,41.457331042382584,2021,6,20,2021-06,4
2021-06-21,42.01148394666311,2021,6,21,2021-06,4
2021-06-22,42.226314794426095,2021,6,22,2021-06,4
2021-06-23,42.105526918671245,2021,6,23,2021-06,4
2021-06-24,42.43377720504007,2021,6,24,2021-06,4
2021-06-25,42.8298969072165,2021,6,25,2021-06,4
2021-06-26,43.21212772050401,2021,6,26,2021-06,4
2021-06-27,43.657860824742265,2021,6,27,2021-06,4
2021-06-28,43.094430126002266,2021,6,28,2021-06,4
2021-06-29,43.68141466208475,2021,6,29,2021-06,4
2021-06-30,42.86627559144891,2021,6,30,2021-06,4
2021-07-01,43.58898629939297,2021,7,1,2021-07,5
2021-07-02,43.8547394043528,2021,7,2,2021-07,5
2021-07-03,43.37006013745705,2021,7,3,2021-07,5
2021-07-04,45.95045819014891,2021,7,4,2021-07,5
2021-07-05,47.83555269186714,2021,7,5,2021-07,5
2021-07-06,45.54023482245131,2021,7,6,2021-07,5
2021-07-07,41.82910939289805,2021,7,7,2021-07,5
2021-07-08,42.86275773195877,2021,7,8,2021-07,5
2021-07-09,47.66972467681228,2021,7,9,2021-07,5
2021-07-10,42.09407216494843,2021,7,10,2021-07,5
2021-07-11,42.61640893470792,2021,7,11,2021-07,5
2021-07-12,42.015965063001154,2021,7,12,2021-07,5
2021-07-13,42.38144329896906,2021,7,13,2021-07,5
2021-07-14,42.39473257657559,2021,7,14,2021-07,5
2021-07-15,43.34436170997547,2021,7,15,2021-07,5
2021-07-16,42.860037227949604,2021,7,16,2021-07,5
2021-07-17,43.01288659793814,2021,7,17,2021-07,5
2021-07-18,43.15743127147765,2021,7,18,2021-07,5
2021-07-19,43.04802338900875,2021,7,19,2021-07,5
2021-07-20,43.115047664562724,2021,7,20,2021-07,5
2021-07-21,43.04204631156251,2021,7,21,2021-07,5
2021-07-22,43.30892038946163,2021,7,22,2021-07,5
2021-07-23,43.324813860252014,2021,7,23,2021-07,5
2021-07-24,43.60927213381271,2021,7,24,2021-07,5
2021-07-25,43.85402348224515,2021,7,25,2021-07,5
2021-07-26,44.05112851434444,2021,7,26,2021-07,5
2021-07-27,44.08622134414397,2021,7,27,2021-07,5
2021-07-28,43.40252704592017,2021,7,28,2021-07,5
2021-07-29,43.34575063793474,2021,7,29,2021-07,5
2021-07-30,43.43005098470965,2021,7,30,2021-07,5
2021-07-31,43.7424828178694,2021,7,31,2021-07,5
2021-08-01,43.658290378006875,2021,8,1,2021-08,6
2021-08-02,44.25743134329936,2021,8,2,2021-08,6
2021-08-03,44.54538702546909,2021,8,3,2021-08,6
2021-08-04,44.156195452903845,2021,8,4,2021-08,6
2021-08-05,44.10969434988518,2021,8,5,2021-08,6
2021-08-06,44.60807098322664,2021,8,6,2021-08,6
2021-08-07,44.97185812469316,2021,8,7,2021-08,6
2021-08-08,43.949840704419294,2021,8,8,2021-08,6
2021-08-09,47.852305269186694,2021,8,9,2021-08,6
2021-08-10,42.951448510953746,2021,8,10,2021-08,6
2021-08-11,42.282763226968584,2021,8,11,2021-08,6
2021-08-12,46.655475151995795,2021,8,12,2021-08,6
2021-08-13,49.44838201603667,2021,8,13,2021-08,6
2021-08-14,47.1320160366552,2021,8,14,2021-08,6
2021-08-15,42.41136884306985,2021,8,15,2021-08,6
2021-08-16,41.9582143801216,2021,8,16,2021-08,6
2021-08-17,46.37719664177459,2021,8,17,2021-08,6
2021-08-18,42.23351104594813,2021,8,18,2021-08,6
2021-08-19,41.820983676975956,2021,8,19,2021-08,6
2021-08-20,42.59204931998926,2021,8,20,2021-08,6
2021-08-21,42.58626861397479,2021,8,21,2021-08,6
2021-08-22,42.455111683848806,2021,8,22,2021-08,6
2021-08-23,42.47116479777062,2021,8,23,2021-08,6
2021-08-24,44.97387779209622,2021,8,24,2021-08,6
2021-08-25,46.69570646527611,2021,8,25,2021-08,6
2021-08-26,41.90871993127147,2021,8,26,2021-08,6
2021-08-27,42.33884593356243,2021,8,27,2021-08,6
2021-08-28,42.73818728522336,2021,8,28,2021-08,6
2021-08-29,42.771262886597945,2021,8,29,2021-08,6
2021-08-30,43.06235681557848,2021,8,30,2021-08,6
2021-08-31,42.71706758304697,2021,8,31,2021-08,6
2021-09-01,48.390034364261155,2021,9,1,2021-09,7
2021-09-02,43.10094501718214,2021,9,2,2021-09,7
2021-09-03,43.74140893470793,2021,9,3,2021-09,7
2021-09-04,46.736111111111086,2021,9,4,2021-09,7
2021-09-05,42.24506013745705,2021,9,5,2021-09,7
2021-09-06,42.22859392898052,2021,9,6,2021-09,7
2021-09-07,42.20231958762888,2021,9,7,2021-09,7
2021-09-08,47.515842905662495,2021,9,8,2021-09,7
2021-09-09,41.98321469481263,2021,9,9,2021-09,7
2021-09-10,41.84278350515464,2021,9,10,2021-09,7
2021-09-11,42.713130011454766,2021,9,11,2021-09,7
2021-09-12,42.626431844215354,2021,9,12,2021-09,7
2021-09-13,42.68077033218786,2021,9,13,2021-09,7
2021-09-14,42.909722222222214,2021,9,14,2021-09,7
2021-09-15,42.52298109965636,2021,9,15,2021-09,7
2021-09-16,43.03350515463916,2021,9,16,2021-09,7
2021-09-17,44.252505727376835,2021,9,17,2021-09,7
2021-09-18,46.17790664375717,2021,9,18,2021-09,7
2021-09-19,41.69974226804125,2021,9,19,2021-09,7
2021-09-20,42.556128293241684,2021,9,20,2021-09,7
2021-09-21,43.085552691867136,2021,9,21,2021-09,7
2021-09-22,45.2834335624284,2021,9,22,2021-09,7
2021-09-23,42.868270332187855,2021,9,23,2021-09,7
2021-09-24,42.750859106529205,2021,9,24,2021-09,7
2021-09-25,41.75035796105383,2021,9,25,2021-09,7
2021-09-26,44.72479954180985,2021,9,26,2021-09,7
2021-09-27,42.178193012600225,2021,9,27,2021-09,7
2021-09-28,42.52169243986255,2021,9,28,2021-09,7
2021-09-29,42.88674112256587,2021,9,29,2021-09,7
2021-09-30,42.54624856815579,2021,9,30,2021-09,7
2021-10-01,42.501861397479956,2021,10,1,2021-10,8
2021-10-02,42.860896334478824,2021,10,2,2021-10,8
2021-10-03,42.65363688430699,2021,10,3,2021-10,8
2021-10-04,43.07624570446736,2021,10,4,2021-10,8
2021-10-05,43.08283218785797,2021,10,5,2021-10,8
2021-10-06,43.54667812142039,2021,10,6,2021-10,8
2021-10-07,43.01109679266897,2021,10,7,2021-10,8
2021-10-08,43.026274341351666,2021,10,8,2021-10,8
2021-10-09,42.75429553264604,2021,10,9,2021-10,8
2021-10-10,43.29460194730813,2021,10,10,2021-10,8
2021-10-11,43.691580756013764,2021,10,11,2021-10,8
2021-10-12,48.070876288659775,2021,10,12,2021-10,8
2021-10-13,43.86060996563576,2021,10,13,2021-10,8
2021-10-14,41.89884020618556,2021,10,14,2021-10,8
2021-10-15,42.087414089347085,2021,10,15,2021-10,8
2021-10-16,47.70246277205041,2021,10,16,2021-10,8
2021-10-17,47.303264604811,2021,10,17,2021-10,8
2021-10-18,41.71141179839631,2021,10,18,2021-10,8
2021-10-19,43.329109392898054,2021,10,19,2021-10,8
2021-10-20,45.279567583046955,2021,10,20,2021-10,8
2021-10-21,42.38573883161509,2021,10,21,2021-10,8
2021-10-22,42.166451890034374,2021,10,22,2021-10,8
2021-10-23,42.461125429553256,2021,10,23,2021-10,8
2021-10-24,42.32846506300115,2021,10,24,2021-10,8
2021-10-25,43.42038946162656,2021,10,25,2021-10,8
2021-10-26,42.66817010309278,2021,10,26,2021-10,8
2021-10-27,42.12285223367697,2021,10,27,2021-10,8
2021-10-28,42.66680985108818,2021,10,28,2021-10,8
2021-10-29,42.874713631156915,2021,10,29,2021-10,8
2021-10-30,43.163015463917525,2021,10,30,2021-10,8
2021-10-31,43.98396334478809,2021,10,31,2021-10,8
2021-11-01,43.36583619702175,2021,11,1,2021-11,9
2021-11-02,43.09607674684995,2021,11,2,2021-11,9
2021-11-03,42.63108533791523,2021,11,3,2021-11,9
2021-11-04,42.2108390607102,2021,11,4,2021-11,9
2021-11-05,42.8906071019473,2021,11,5,2021-11,9
2021-11-06,42.42762027491409,2021,11,6,2021-11,9
2021-11-07,42.23067010309278,2021,11,7,2021-11,9
2021-11-08,43.03530041266459,2021,11,8,2021-11,9
2021-11-09,47.30757014549304,2021,11,9,2021-11,9
2021-11-10,54.81382881345351,2021,11,10,2021-11,9
2021-11-11,53.28444777650314,2021,11,11,2021-11,9
2021-11-12,50.78432235937277,2021,11,12,2021-11,9
2021-11-13,44.235399279986915,2021,11,13,2021-11,9
2021-11-14,43.0198310423826,2021,11,14,2021-11,9
2021-11-15,42.6009623619521,2021,11,15,2021-11,9
2021-11-16,43.008858239509564,2021,11,16,2021-11,9
2021-11-17,42.42326416424355,2021,11,17,2021-11,9
2021-11-18,43.9434421534937,2021,11,18,2021-11,9
2021-11-19,42.592012512115616,2021,11,19,2021-11,9
2021-11-20,42.57452749140895,2021,11,20,2021-11,9
2021-11-21,42.94043528064147,2021,11,21,2021-11,9
2021-11-22,53.978896819102985,2021,11,22,2021-11,9
2021-11-23,48.30018613974801,2021,11,23,2021-11,9
2021-11-24,45.09715131225958,2021,11,24,2021-11,9
2021-11-25,45.59128825069546,2021,11,25,2021-11,9
2021-11-26,44.18491796004682,2021,11,26,2021-11,9
2021-11-27,44.802978235967934,2021,11,27,2021-11,9
2021-11-28,41.59364261168385,2021,11,28,2021-11,9
2021-11-29,42.02479545082638,2021,11,29,2021-11,9
2021-11-30,42.910402665004206,2021,11,30,2021-11,9
2021-12-01,56.26396048109966,2021,12,1,2021-12,10
2021-12-02,43.91172680412371,2021,12,2,2021-12,10
2021-12-03,47.57769728141554,2021,12,3,2021-12,10
2021-12-04,48.087772050400915,2021,12,4,2021-12,10
2021-12-05,41.13115693012599,2021,12,5,2021-12,10
2021-12-06,43.890943034628606,2021,12,6,2021-12,10
2021-12-07,45.81199885452462,2021,12,7,2021-12,10
2021-12-08,42.22000286368842,2021,12,8,2021-12,10
