Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,32.80330168868034,2021,3,17,2021-03,1
2021-03-18,32.7923115079365,2021,3,18,2021-03,1
2021-03-19,33.105614437645684,2021,3,19,2021-03,1
2021-03-20,33.02463693810857,2021,3,20,2021-03,1
2021-03-21,37.16563248780307,2021,3,21,2021-03,1
2021-03-22,34.23789682539683,2021,3,22,2021-03,1
2021-03-23,32.910195707070706,2021,3,23,2021-03,1
2021-03-24,32.42162698412698,2021,3,24,2021-03,1
2021-03-25,32.56216931216932,2021,3,25,2021-03,1
2021-03-26,32.830316166321595,2021,3,26,2021-03,1
2021-03-27,32.9189137277718,2021,3,27,2021-03,1
2021-03-28,34.1330386321195,2021,3,28,2021-03,1
2021-03-29,34.671875,2021,3,29,2021-03,1
2021-03-30,33.56175595238095,2021,3,30,2021-03,1
2021-03-31,33.53741063855567,2021,3,31,2021-03,1
2021-04-01,33.44543650793651,2021,4,1,2021-04,2
2021-04-02,32.96155753968254,2021,4,2,2021-04,2
2021-04-03,32.763888888888886,2021,4,3,2021-04,2
2021-04-04,33.68799603174603,2021,4,4,2021-04,2
2021-04-05,34.93881150793651,2021,4,5,2021-04,2
2021-04-06,32.48710317460317,2021,4,6,2021-04,2
2021-04-07,32.796651226279984,2021,4,7,2021-04,2
2021-04-08,33.26636904761905,2021,4,8,2021-04,2
2021-04-09,33.7210202991453,2021,4,9,2021-04,2
2021-04-10,34.322916666666664,2021,4,10,2021-04,2
2021-04-11,34.04011520970919,2021,4,11,2021-04,2
2021-04-12,33.961508660641876,2021,4,12,2021-04,2
2021-04-13,33.841517857142854,2021,4,13,2021-04,2
2021-04-14,35.71068495828989,2021,4,14,2021-04,2
2021-04-15,33.223891201217334,2021,4,15,2021-04,2
2021-04-16,33.21478174603174,2021,4,16,2021-04,2
2021-04-17,34.90477245862884,2021,4,17,2021-04,2
2021-04-18,33.71304563492063,2021,4,18,2021-04,2
2021-04-19,33.82961309523809,2021,4,19,2021-04,2
2021-04-20,33.183444656488554,2021,4,20,2021-04,2
2021-04-21,33.30776613181505,2021,4,21,2021-04,2
2021-04-22,32.95908495395614,2021,4,22,2021-04,2
2021-04-23,32.44766865079365,2021,4,23,2021-04,2
2021-04-24,32.455357142857146,2021,4,24,2021-04,2
2021-04-25,32.801339285714285,2021,4,25,2021-04,2
2021-04-26,32.67485119047618,2021,4,26,2021-04,2
2021-04-27,32.642113095238095,2021,4,27,2021-04,2
2021-04-28,32.60969227541523,2021,4,28,2021-04,2
2021-04-29,34.624771062271066,2021,4,29,2021-04,2
2021-04-30,32.66379280441781,2021,4,30,2021-04,2
2021-05-01,34.62338182650684,2021,5,1,2021-05,3
