Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,45.44318181818183,2021,3,17,2021-03,1
2021-03-18,46.666931611193924,2021,3,18,2021-03,1
2021-03-19,46.877769831178924,2021,3,19,2021-03,1
2021-03-20,49.898989898989896,2021,3,20,2021-03,1
2021-03-21,54.873106060606055,2021,3,21,2021-03,1
2021-03-22,49.100378787878796,2021,3,22,2021-03,1
2021-03-23,46.510479797979805,2021,3,23,2021-03,1
2021-03-24,46.532575757575756,2021,3,24,2021-03,1
2021-03-25,46.77234848484847,2021,3,25,2021-03,1
2021-03-26,46.49406565656566,2021,3,26,2021-03,1
2021-03-27,46.78724747474747,2021,3,27,2021-03,1
2021-03-28,54.011868686868695,2021,3,28,2021-03,1
2021-03-29,46.488888888888866,2021,3,29,2021-03,1
2021-03-30,47.01325757575759,2021,3,30,2021-03,1
2021-03-31,46.81287878787879,2021,3,31,2021-03,1
2021-04-01,47.155555555555566,2021,4,1,2021-04,2
2021-04-02,46.96439393939393,2021,4,2,2021-04,2
2021-04-03,46.46729797979798,2021,4,3,2021-04,2
2021-04-04,51.67278554778552,2021,4,4,2021-04,2
2021-04-05,46.5033292929293,2021,4,5,2021-04,2
2021-04-06,46.114905927405914,2021,4,6,2021-04,2
2021-04-07,45.23522727272727,2021,4,7,2021-04,2
2021-04-08,45.75770202020202,2021,4,8,2021-04,2
2021-04-09,45.54684343434344,2021,4,9,2021-04,2
2021-04-10,45.64671717171717,2021,4,10,2021-04,2
2021-04-11,46.33383838383837,2021,4,11,2021-04,2
2021-04-12,45.66035353535355,2021,4,12,2021-04,2
2021-04-13,47.23396464646465,2021,4,13,2021-04,2
2021-04-14,48.12348484848483,2021,4,14,2021-04,2
2021-04-15,45.48055555555555,2021,4,15,2021-04,2
2021-04-16,45.76805555555554,2021,4,16,2021-04,2
2021-04-17,49.87209595959596,2021,4,17,2021-04,2
2021-04-18,47.480303030303034,2021,4,18,2021-04,2
2021-04-19,45.486349476069094,2021,4,19,2021-04,2
2021-04-20,45.959650072150055,2021,4,20,2021-04,2
2021-04-21,45.75270007770007,2021,4,21,2021-04,2
2021-04-22,45.78481724540233,2021,4,22,2021-04,2
2021-04-23,46.02376679415515,2021,4,23,2021-04,2
2021-04-24,46.29684343434342,2021,4,24,2021-04,2
2021-04-25,45.71174242424242,2021,4,25,2021-04,2
2021-04-26,45.401657631359456,2021,4,26,2021-04,2
2021-04-27,46.282269294890675,2021,4,27,2021-04,2
2021-04-28,47.74949494949497,2021,4,28,2021-04,2
2021-04-29,51.4776515151515,2021,4,29,2021-04,2
2021-04-30,46.57897355912062,2021,4,30,2021-04,2
2021-05-01,47.96317920585162,2021,5,1,2021-05,3
2021-05-02,48.23800505050505,2021,5,2,2021-05,3
2021-05-03,44.10265151515152,2021,5,3,2021-05,3
2021-05-04,44.68775252525252,2021,5,4,2021-05,3
2021-05-05,49.69065656565656,2021,5,5,2021-05,3
2021-05-06,45.40318764568764,2021,5,6,2021-05,3
2021-05-07,46.39180778371956,2021,5,7,2021-05,3
2021-05-08,45.8135101010101,2021,5,8,2021-05,3
2021-05-09,46.265909090909105,2021,5,9,2021-05,3
2021-05-10,47.246868436843684,2021,5,10,2021-05,3
2021-05-11,45.98718686868684,2021,5,11,2021-05,3
2021-05-12,45.88137052341599,2021,5,12,2021-05,3
2021-05-13,45.93030303030303,2021,5,13,2021-05,3
2021-05-14,47.13825757575758,2021,5,14,2021-05,3
2021-05-15,46.54141414141414,2021,5,15,2021-05,3
2021-05-16,47.68876262626263,2021,5,16,2021-05,3
2021-05-17,56.8189062959694,2021,5,17,2021-05,3
2021-05-18,46.366738816738824,2021,5,18,2021-05,3
2021-05-19,46.74814049586776,2021,5,19,2021-05,3
2021-05-20,49.050595578425764,2021,5,20,2021-05,3
2021-05-21,49.90370617944148,2021,5,21,2021-05,3
2021-05-22,45.596085858585845,2021,5,22,2021-05,3
2021-05-23,45.62272727272729,2021,5,23,2021-05,3
2021-05-24,48.696254208754205,2021,5,24,2021-05,3
2021-05-25,46.04699464676737,2021,5,25,2021-05,3
2021-05-26,45.45676669608709,2021,5,26,2021-05,3
2021-05-27,53.856921487603316,2021,5,27,2021-05,3
2021-05-28,45.598580398580395,2021,5,28,2021-05,3
2021-05-29,45.850757575757584,2021,5,29,2021-05,3
2021-05-30,45.88497474747475,2021,5,30,2021-05,3
2021-05-31,46.071614732227935,2021,5,31,2021-05,3
2021-06-01,46.23317736185383,2021,6,1,2021-06,4
2021-06-02,46.07084508707868,2021,6,2,2021-06,4
2021-06-03,45.961044266191344,2021,6,3,2021-06,4
2021-06-04,56.35799375906326,2021,6,4,2021-06,4
2021-06-05,45.44987373737374,2021,6,5,2021-06,4
2021-06-06,46.00669191919193,2021,6,6,2021-06,4
2021-06-07,46.98195015768544,2021,6,7,2021-06,4
2021-06-08,46.568525602560264,2021,6,8,2021-06,4
2021-06-09,46.45329295630097,2021,6,9,2021-06,4
2021-06-10,46.60988562091502,2021,6,10,2021-06,4
2021-06-11,46.15844069701088,2021,6,11,2021-06,4
2021-06-12,46.26603535353534,2021,6,12,2021-06,4
2021-06-13,47.94772727272728,2021,6,13,2021-06,4
2021-06-14,47.2260693968153,2021,6,14,2021-06,4
2021-06-15,47.07940771349862,2021,6,15,2021-06,4
2021-06-16,49.39474242424243,2021,6,16,2021-06,4
2021-06-17,46.03164983164982,2021,6,17,2021-06,4
2021-06-18,46.95479797979799,2021,6,18,2021-06,4
2021-06-19,50.53219696969695,2021,6,19,2021-06,4
2021-06-20,45.31881313131313,2021,6,20,2021-06,4
2021-06-21,46.180303030303044,2021,6,21,2021-06,4
2021-06-22,46.28919375890205,2021,6,22,2021-06,4
2021-06-23,45.729419191919185,2021,6,23,2021-06,4
2021-06-24,46.426893939393935,2021,6,24,2021-06,4
2021-06-25,48.76056214317086,2021,6,25,2021-06,4
2021-06-26,46.78080808080811,2021,6,26,2021-06,4
2021-06-27,47.52550505050503,2021,6,27,2021-06,4
2021-06-28,47.66071991077881,2021,6,28,2021-06,4
2021-06-29,47.60114227806468,2021,6,29,2021-06,4
2021-06-30,46.46984153125457,2021,6,30,2021-06,4
2021-07-01,47.17853836551989,2021,7,1,2021-07,5
2021-07-02,48.82659414397939,2021,7,2,2021-07,5
2021-07-03,46.7392676767677,2021,7,3,2021-07,5
2021-07-04,47.50833333333333,2021,7,4,2021-07,5
2021-07-05,51.630433002543334,2021,7,5,2021-07,5
2021-07-06,47.132258366679395,2021,7,6,2021-07,5
2021-07-07,50.91042610624652,2021,7,7,2021-07,5
2021-07-08,49.863442639253314,2021,7,8,2021-07,5
2021-07-09,48.38716631936056,2021,7,9,2021-07,5
2021-07-10,49.38712121212124,2021,7,10,2021-07,5
2021-07-11,46.32436868686869,2021,7,11,2021-07,5
2021-07-12,47.46176724422124,2021,7,12,2021-07,5
2021-07-13,46.72193324984898,2021,7,13,2021-07,5
2021-07-14,46.60916535883689,2021,7,14,2021-07,5
2021-07-15,46.729328397011614,2021,7,15,2021-07,5
2021-07-16,45.76806741646872,2021,7,16,2021-07,5
2021-07-17,45.849494949494954,2021,7,17,2021-07,5
2021-07-18,46.21338383838384,2021,7,18,2021-07,5
2021-07-19,46.66338272101548,2021,7,19,2021-07,5
2021-07-20,47.46864478114477,2021,7,20,2021-07,5
2021-07-21,47.50727533960294,2021,7,21,2021-07,5
2021-07-22,47.21805555555555,2021,7,22,2021-07,5
2021-07-23,47.36502525252527,2021,7,23,2021-07,5
2021-07-24,47.47921876103694,2021,7,24,2021-07,5
2021-07-25,47.584974747474746,2021,7,25,2021-07,5
2021-07-26,47.44000639400536,2021,7,26,2021-07,5
2021-07-27,46.89389730639731,2021,7,27,2021-07,5
2021-07-28,47.94215538829552,2021,7,28,2021-07,5
2021-07-29,48.18144286905756,2021,7,29,2021-07,5
2021-07-30,47.98465764362998,2021,7,30,2021-07,5
2021-07-31,47.869696969696975,2021,7,31,2021-07,5
2021-08-01,48.72000423818606,2021,8,1,2021-08,6
2021-08-02,47.91708020572698,2021,8,2,2021-08,6
2021-08-03,48.04420785525153,2021,8,3,2021-08,6
2021-08-04,47.7382981188027,2021,8,4,2021-08,6
2021-08-05,49.113380559297994,2021,8,5,2021-08,6
2021-08-06,48.32350873600874,2021,8,6,2021-08,6
2021-08-07,48.28825757575758,2021,8,7,2021-08,6
2021-08-08,48.40681818181818,2021,8,8,2021-08,6
2021-08-09,50.381313131313114,2021,8,9,2021-08,6
2021-08-10,46.93439144970834,2021,8,10,2021-08,6
2021-08-11,47.14804350847929,2021,8,11,2021-08,6
2021-08-12,48.748959730043794,2021,8,12,2021-08,6
2021-08-13,51.66957070707072,2021,8,13,2021-08,6
2021-08-14,55.5300505050505,2021,8,14,2021-08,6
2021-08-15,51.01249999999998,2021,8,15,2021-08,6
2021-08-16,47.020707070707076,2021,8,16,2021-08,6
2021-08-17,47.17348484848486,2021,8,17,2021-08,6
2021-08-18,46.918210329097406,2021,8,18,2021-08,6
2021-08-19,46.127398989898985,2021,8,19,2021-08,6
2021-08-20,46.27411616161614,2021,8,20,2021-08,6
2021-08-21,46.44911616161616,2021,8,21,2021-08,6
2021-08-22,46.67525252525251,2021,8,22,2021-08,6
2021-08-23,47.311391084760665,2021,8,23,2021-08,6
2021-08-24,47.47719339411817,2021,8,24,2021-08,6
2021-08-25,46.938207070707065,2021,8,25,2021-08,6
2021-08-26,47.83544461028652,2021,8,26,2021-08,6
2021-08-27,47.50907638330206,2021,8,27,2021-08,6
2021-08-28,47.98279977191267,2021,8,28,2021-08,6
2021-08-29,38.124242424242425,2021,8,29,2021-08,6
2021-08-30,47.98380411854633,2021,8,30,2021-08,6
2021-08-31,47.96804613822362,2021,8,31,2021-08,6
2021-09-01,52.07857821332591,2021,9,1,2021-09,7
2021-09-02,50.96970649895177,2021,9,2,2021-09,7
2021-09-03,48.86648071625344,2021,9,3,2021-09,7
2021-09-04,49.5181818181818,2021,9,4,2021-09,7
2021-09-05,46.69621212121213,2021,9,5,2021-09,7
2021-09-06,46.84229688186208,2021,9,6,2021-09,7
2021-09-07,46.9588480963481,2021,9,7,2021-09,7
2021-09-08,48.70878187469097,2021,9,8,2021-09,7
2021-09-09,48.72525252525253,2021,9,9,2021-09,7
2021-09-10,46.86111111111112,2021,9,10,2021-09,7
2021-09-11,48.73320707070707,2021,9,11,2021-09,7
2021-09-12,48.37449494949496,2021,9,12,2021-09,7
2021-09-13,47.42916666666665,2021,9,13,2021-09,7
2021-09-14,48.59369422379133,2021,9,14,2021-09,7
2021-09-15,48.02492874287429,2021,9,15,2021-09,7
2021-09-16,47.42415824915826,2021,9,16,2021-09,7
2021-09-17,47.03167657887283,2021,9,17,2021-09,7
2021-09-18,50.08383838383836,2021,9,18,2021-09,7
2021-09-19,46.21641414141414,2021,9,19,2021-09,7
2021-09-20,47.425505050505066,2021,9,20,2021-09,7
2021-09-21,46.8740606060606,2021,9,21,2021-09,7
2021-09-22,48.644229055258464,2021,9,22,2021-09,7
2021-09-23,47.20414106095924,2021,9,23,2021-09,7
2021-09-24,47.21969696969698,2021,9,24,2021-09,7
2021-09-25,47.4685606060606,2021,9,25,2021-09,7
2021-09-26,49.23926767676765,2021,9,26,2021-09,7
2021-09-27,46.98435404464818,2021,9,27,2021-09,7
2021-09-28,47.004137806637814,2021,9,28,2021-09,7
2021-09-29,46.56642561983471,2021,9,29,2021-09,7
2021-09-30,46.82689157934487,2021,9,30,2021-09,7
2021-10-01,47.1711038961039,2021,10,1,2021-10,8
2021-10-02,47.00959595959596,2021,10,2,2021-10,8
2021-10-03,47.84482323232324,2021,10,3,2021-10,8
2021-10-04,47.39204545454545,2021,10,4,2021-10,8
2021-10-05,47.776767676767676,2021,10,5,2021-10,8
2021-10-06,48.46262626262625,2021,10,6,2021-10,8
2021-10-07,48.15845959595958,2021,10,7,2021-10,8
2021-10-08,48.49760101010102,2021,10,8,2021-10,8
2021-10-09,48.74785353535354,2021,10,9,2021-10,8
2021-10-10,47.4679292929293,2021,10,10,2021-10,8
2021-10-11,47.84305555555555,2021,10,11,2021-10,8
2021-10-12,49.191161616161615,2021,10,12,2021-10,8
2021-10-13,48.33598192164229,2021,10,13,2021-10,8
2021-10-14,47.600757575757584,2021,10,14,2021-10,8
2021-10-15,47.88320707070705,2021,10,15,2021-10,8
2021-10-16,52.30555555555556,2021,10,16,2021-10,8
2021-10-17,54.26957070707072,2021,10,17,2021-10,8
2021-10-18,46.79419191919191,2021,10,18,2021-10,8
2021-10-19,48.545707070707074,2021,10,19,2021-10,8
2021-10-20,52.8423977537614,2021,10,20,2021-10,8
2021-10-21,47.025,2021,10,21,2021-10,8
