Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,121.13113998120171,2021,3,17,2021-03,1
2021-03-18,121.27256434821494,2021,3,18,2021-03,1
2021-03-19,121.58384912225652,2021,3,19,2021-03,1
2021-03-20,122.43410816680515,2021,3,20,2021-03,1
2021-03-21,125.26667457572854,2021,3,21,2021-03,1
2021-03-22,120.25899678681932,2021,3,22,2021-03,1
2021-03-23,119.5378475825132,2021,3,23,2021-03,1
2021-03-24,120.67598607699827,2021,3,24,2021-03,1
2021-03-25,121.35025130463389,2021,3,25,2021-03,1
2021-03-26,121.48871581502664,2021,3,26,2021-03,1
2021-03-27,121.54735511337717,2021,3,27,2021-03,1
2021-03-28,124.39710490480441,2021,3,28,2021-03,1
2021-03-29,121.46830313422977,2021,3,29,2021-03,1
2021-03-30,121.2457611906558,2021,3,30,2021-03,1
2021-03-31,120.64860636084624,2021,3,31,2021-03,1
2021-04-01,120.13056097432921,2021,4,1,2021-04,2
2021-04-02,119.96185014574486,2021,4,2,2021-04,2
2021-04-03,120.4281418096158,2021,4,3,2021-04,2
2021-04-04,122.10485681916083,2021,4,4,2021-04,2
2021-04-05,119.66314435899632,2021,4,5,2021-04,2
2021-04-06,118.82447515596837,2021,4,6,2021-04,2
2021-04-07,120.08893353081889,2021,4,7,2021-04,2
2021-04-08,121.05457822537291,2021,4,8,2021-04,2
2021-04-09,119.81902169035337,2021,4,9,2021-04,2
2021-04-10,119.98294947947429,2021,4,10,2021-04,2
2021-04-11,120.67218012177626,2021,4,11,2021-04,2
2021-04-12,121.11442575724945,2021,4,12,2021-04,2
2021-04-13,121.8857694656255,2021,4,13,2021-04,2
2021-04-14,121.88846099716005,2021,4,14,2021-04,2
2021-04-15,119.68915016569757,2021,4,15,2021-04,2
2021-04-16,120.33896072380853,2021,4,16,2021-04,2
2021-04-17,121.3803574173626,2021,4,17,2021-04,2
2021-04-18,119.86349769685387,2021,4,18,2021-04,2
2021-04-19,119.48954809900323,2021,4,19,2021-04,2
2021-04-20,120.26553067136442,2021,4,20,2021-04,2
2021-04-21,120.23184097134975,2021,4,21,2021-04,2
2021-04-22,120.72385107820465,2021,4,22,2021-04,2
2021-04-23,120.98622536614099,2021,4,23,2021-04,2
2021-04-24,121.90993859055556,2021,4,24,2021-04,2
2021-04-25,122.33158255715512,2021,4,25,2021-04,2
2021-04-26,121.52209766481644,2021,4,26,2021-04,2
2021-04-27,121.71529273412938,2021,4,27,2021-04,2
2021-04-28,122.87488376167211,2021,4,28,2021-04,2
2021-04-29,121.75410139292806,2021,4,29,2021-04,2
2021-04-30,119.04245245441957,2021,4,30,2021-04,2
2021-05-01,119.74247631826539,2021,5,1,2021-05,3
2021-05-02,119.96301069861609,2021,5,2,2021-05,3
2021-05-03,117.96312875946434,2021,5,3,2021-05,3
2021-05-04,118.74896901115447,2021,5,4,2021-05,3
2021-05-05,120.5153137414688,2021,5,5,2021-05,3
2021-05-06,119.43864533015764,2021,5,6,2021-05,3
2021-05-07,120.52675479839881,2021,5,7,2021-05,3
2021-05-08,121.03694167681005,2021,5,8,2021-05,3
2021-05-09,121.85274488343656,2021,5,9,2021-05,3
2021-05-10,121.29785071534874,2021,5,10,2021-05,3
2021-05-11,121.23353382191705,2021,5,11,2021-05,3
2021-05-12,121.31425255213078,2021,5,12,2021-05,3
2021-05-13,121.62691589536175,2021,5,13,2021-05,3
2021-05-14,122.33907538352538,2021,5,14,2021-05,3
2021-05-15,122.35521195306617,2021,5,15,2021-05,3
2021-05-16,122.65420648406996,2021,5,16,2021-05,3
2021-05-17,123.78755238405198,2021,5,17,2021-05,3
2021-05-18,122.70833644075182,2021,5,18,2021-05,3
2021-05-19,119.66369924601393,2021,5,19,2021-05,3
2021-05-20,119.09770232610073,2021,5,20,2021-05,3
2021-05-21,119.64792240529631,2021,5,21,2021-05,3
2021-05-22,120.68445248685212,2021,5,22,2021-05,3
2021-05-23,116.80524537705324,2021,5,23,2021-05,3
2021-05-24,117.72606617165772,2021,5,24,2021-05,3
2021-05-25,120.44576420473506,2021,5,25,2021-05,3
2021-05-26,117.80452530434872,2021,5,26,2021-05,3
2021-05-27,119.7451393556638,2021,5,27,2021-05,3
2021-05-28,117.8257510417851,2021,5,28,2021-05,3
2021-05-29,118.98015580756251,2021,5,29,2021-05,3
2021-05-30,119.26225129860111,2021,5,30,2021-05,3
2021-05-31,120.26656368517399,2021,5,31,2021-05,3
2021-06-01,119.58619057735059,2021,6,1,2021-06,4
2021-06-02,120.12176859587346,2021,6,2,2021-06,4
2021-06-03,120.39404872323304,2021,6,3,2021-06,4
2021-06-04,121.83682188786061,2021,6,4,2021-06,4
2021-06-05,117.64055241818384,2021,6,5,2021-06,4
2021-06-06,118.56611490589114,2021,6,6,2021-06,4
2021-06-07,119.6044991768936,2021,6,7,2021-06,4
2021-06-08,119.9077402385424,2021,6,8,2021-06,4
2021-06-09,119.87298820590864,2021,6,9,2021-06,4
2021-06-10,120.60977460551085,2021,6,10,2021-06,4
2021-06-11,120.71977391458256,2021,6,11,2021-06,4
2021-06-12,121.0414548838347,2021,6,12,2021-06,4
