Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,33.07222222222222,2021,3,17,2021-03,1
2021-03-18,32.7375,2021,3,18,2021-03,1
2021-03-19,32.77762237762238,2021,3,19,2021-03,1
2021-03-20,33.79722222222222,2021,3,20,2021-03,1
2021-03-21,41.06666666666667,2021,3,21,2021-03,1
2021-03-22,35.2,2021,3,22,2021-03,1
2021-03-23,33.43055555555556,2021,3,23,2021-03,1
2021-03-24,33.80694444444445,2021,3,24,2021-03,1
2021-03-25,35.740277777777784,2021,3,25,2021-03,1
2021-03-26,34.09608585858585,2021,3,26,2021-03,1
2021-03-27,34.86388888888889,2021,3,27,2021-03,1
2021-03-28,38.85277777777778,2021,3,28,2021-03,1
2021-03-29,35.70555555555556,2021,3,29,2021-03,1
2021-03-30,35.24861111111111,2021,3,30,2021-03,1
2021-03-31,35.516666666666666,2021,3,31,2021-03,1
2021-04-01,35.21111111111111,2021,4,1,2021-04,2
2021-04-02,35.24722222222222,2021,4,2,2021-04,2
2021-04-03,35.49722222222222,2021,4,3,2021-04,2
2021-04-04,41.96783216783217,2021,4,4,2021-04,2
2021-04-05,37.391666666666666,2021,4,5,2021-04,2
2021-04-06,34.823611111111106,2021,4,6,2021-04,2
2021-04-07,34.831944444444446,2021,4,7,2021-04,2
2021-04-08,34.79861111111111,2021,4,8,2021-04,2
2021-04-09,36.727777777777774,2021,4,9,2021-04,2
2021-04-10,34.89027777777777,2021,4,10,2021-04,2
2021-04-11,35.334722222222226,2021,4,11,2021-04,2
2021-04-12,35.15138888888889,2021,4,12,2021-04,2
2021-04-13,37.21388888888889,2021,4,13,2021-04,2
2021-04-14,36.22361111111111,2021,4,14,2021-04,2
2021-04-15,34.93472222222223,2021,4,15,2021-04,2
2021-04-16,35.22222222222222,2021,4,16,2021-04,2
2021-04-17,38.672222222222224,2021,4,17,2021-04,2
2021-04-18,38.6375,2021,4,18,2021-04,2
2021-04-19,35.837500000000006,2021,4,19,2021-04,2
2021-04-20,34.98472222222222,2021,4,20,2021-04,2
2021-04-21,34.66944444444445,2021,4,21,2021-04,2
2021-04-22,34.772222222222226,2021,4,22,2021-04,2
2021-04-23,35.11805555555556,2021,4,23,2021-04,2
2021-04-24,35.69305555555555,2021,4,24,2021-04,2
2021-04-25,35.73472222222223,2021,4,25,2021-04,2
2021-04-26,34.88472222222222,2021,4,26,2021-04,2
2021-04-27,35.14583333333333,2021,4,27,2021-04,2
