Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,46.38023718836565,2021,3,17,2021-03,1
2021-03-18,46.6789299661067,2021,3,18,2021-03,1
2021-03-19,46.30348320462242,2021,3,19,2021-03,1
2021-03-20,46.3532529239766,2021,3,20,2021-03,1
2021-03-21,53.2248720760234,2021,3,21,2021-03,1
2021-03-22,47.32599852152311,2021,3,22,2021-03,1
2021-03-23,45.83780083220871,2021,3,23,2021-03,1
2021-03-24,45.99639197432603,2021,3,24,2021-03,1
2021-03-25,45.81716780948852,2021,3,25,2021-03,1
2021-03-26,46.46565349854824,2021,3,26,2021-03,1
2021-03-27,46.16538742690059,2021,3,27,2021-03,1
2021-03-28,47.674890350877206,2021,3,28,2021-03,1
2021-03-29,47.51870949897264,2021,3,29,2021-03,1
2021-03-30,46.05632184757232,2021,3,30,2021-03,1
2021-03-31,46.238669590643276,2021,3,31,2021-03,1
2021-04-01,46.24890350877195,2021,4,1,2021-04,2
2021-04-02,46.132218567251456,2021,4,2,2021-04,2
2021-04-03,46.10343567251464,2021,4,3,2021-04,2
2021-04-04,47.082510964912274,2021,4,4,2021-04,2
2021-04-05,48.69672880116959,2021,4,5,2021-04,2
2021-04-06,45.392178362573105,2021,4,6,2021-04,2
2021-04-07,45.843293128654956,2021,4,7,2021-04,2
2021-04-08,46.855445906432735,2021,4,8,2021-04,2
2021-04-09,45.97733918128654,2021,4,9,2021-04,2
2021-04-10,45.916849415204695,2021,4,10,2021-04,2
2021-04-11,46.15204678362573,2021,4,11,2021-04,2
2021-04-12,45.957975393527676,2021,4,12,2021-04,2
2021-04-13,46.16504511434057,2021,4,13,2021-04,2
2021-04-14,51.872404970760236,2021,4,14,2021-04,2
2021-04-15,45.75272904483432,2021,4,15,2021-04,2
2021-04-16,45.78491106237815,2021,4,16,2021-04,2
2021-04-17,46.778683213716114,2021,4,17,2021-04,2
2021-04-18,46.78033625730993,2021,4,18,2021-04,2
2021-04-19,46.03042763157894,2021,4,19,2021-04,2
2021-04-20,46.416442384370036,2021,4,20,2021-04,2
2021-04-21,46.33590118458539,2021,4,21,2021-04,2
2021-04-22,46.254985380116935,2021,4,22,2021-04,2
2021-04-23,46.17996713044092,2021,4,23,2021-04,2
2021-04-24,46.53743657550738,2021,4,24,2021-04,2
2021-04-25,47.03070175438598,2021,4,25,2021-04,2
2021-04-26,46.25827850877194,2021,4,26,2021-04,2
