Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,37.0811170212766,2021,3,17,2021-03,1
2021-03-18,37.183398892773894,2021,3,18,2021-03,1
2021-03-19,36.8369937446989,2021,3,19,2021-03,1
2021-03-20,41.297482638888894,2021,3,20,2021-03,1
2021-03-21,40.859328358208955,2021,3,21,2021-03,1
2021-03-22,37.414536357695326,2021,3,22,2021-03,1
2021-03-23,37.01398082582885,2021,3,23,2021-03,1
2021-03-24,36.87389243714517,2021,3,24,2021-03,1
2021-03-25,36.717330016583745,2021,3,25,2021-03,1
2021-03-26,37.00252659574468,2021,3,26,2021-03,1
2021-03-27,37.903998015873015,2021,3,27,2021-03,1
2021-03-28,44.30651897496087,2021,3,28,2021-03,1
2021-03-29,37.11264325951826,2021,3,29,2021-03,1
2021-03-30,37.427743176538904,2021,3,30,2021-03,1
2021-03-31,37.131897759103644,2021,3,31,2021-03,1
2021-04-01,37.93337479270315,2021,4,1,2021-04,2
2021-04-02,37.526777570480924,2021,4,2,2021-04,2
2021-04-03,38.00506535947713,2021,4,3,2021-04,2
2021-04-04,39.16782745440834,2021,4,4,2021-04,2
2021-04-05,36.33905990878938,2021,4,5,2021-04,2
2021-04-06,36.65157004830918,2021,4,6,2021-04,2
2021-04-07,37.24699754901961,2021,4,7,2021-04,2
2021-04-08,37.77820626477542,2021,4,8,2021-04,2
2021-04-09,37.77339743589743,2021,4,9,2021-04,2
2021-04-10,38.112377597921665,2021,4,10,2021-04,2
2021-04-11,38.312401574803154,2021,4,11,2021-04,2
2021-04-12,40.92782118055556,2021,4,12,2021-04,2
2021-04-13,39.829353632478636,2021,4,13,2021-04,2
2021-04-14,36.74464869281046,2021,4,14,2021-04,2
2021-04-15,36.84514395782644,2021,4,15,2021-04,2
2021-04-16,37.6484309732665,2021,4,16,2021-04,2
2021-04-17,38.684309103811835,2021,4,17,2021-04,2
2021-04-18,37.09686022458629,2021,4,18,2021-04,2
2021-04-19,37.15313492063492,2021,4,19,2021-04,2
2021-04-20,36.84955565268066,2021,4,20,2021-04,2
2021-04-21,37.592780887230504,2021,4,21,2021-04,2
2021-04-22,37.90703525641025,2021,4,22,2021-04,2
2021-04-23,38.06866319444444,2021,4,23,2021-04,2
2021-04-24,38.26777360066834,2021,4,24,2021-04,2
2021-04-25,37.89238247863248,2021,4,25,2021-04,2
2021-04-26,37.537784090909085,2021,4,26,2021-04,2
2021-04-27,37.945662313432834,2021,4,27,2021-04,2
2021-04-28,39.0844742063492,2021,4,28,2021-04,2
2021-04-29,40.524428104575165,2021,4,29,2021-04,2
2021-04-30,37.01064148681055,2021,4,30,2021-04,2
2021-05-01,37.35028166278166,2021,5,1,2021-05,3
2021-05-02,37.02241847826087,2021,5,2,2021-05,3
2021-05-03,36.960801282051285,2021,5,3,2021-05,3
2021-05-04,37.941057692307695,2021,5,4,2021-05,3
2021-05-05,41.44976145038169,2021,5,5,2021-05,3
2021-05-06,37.3200641025641,2021,5,6,2021-05,3
2021-05-07,37.62474219620959,2021,5,7,2021-05,3
2021-05-08,37.92713079536371,2021,5,8,2021-05,3
2021-05-09,37.660343167072185,2021,5,9,2021-05,3
2021-05-10,37.61609781323877,2021,5,10,2021-05,3
2021-05-11,38.63445982947313,2021,5,11,2021-05,3
2021-05-12,43.767434467918626,2021,5,12,2021-05,3
2021-05-13,38.46849261849262,2021,5,13,2021-05,3
2021-05-14,37.90629273504274,2021,5,14,2021-05,3
2021-05-15,37.8973344017094,2021,5,15,2021-05,3
2021-05-16,34.973125,2021,5,16,2021-05,3
2021-05-17,36.26016414141414,2021,5,17,2021-05,3
2021-05-18,36.76518901420217,2021,5,18,2021-05,3
2021-05-19,35.784248276561236,2021,5,19,2021-05,3
2021-05-20,43.00359126984127,2021,5,20,2021-05,3
2021-05-21,35.1727210485133,2021,5,21,2021-05,3
2021-05-22,35.007262323943664,2021,5,22,2021-05,3
2021-05-23,35.77719502719503,2021,5,23,2021-05,3
2021-05-24,39.92743055555555,2021,5,24,2021-05,3
2021-05-25,37.447941141213136,2021,5,25,2021-05,3
2021-05-26,41.22654914529914,2021,5,26,2021-05,3
2021-05-27,44.12553294573644,2021,5,27,2021-05,3
2021-05-28,37.34266687396351,2021,5,28,2021-05,3
2021-05-29,37.08990633074936,2021,5,29,2021-05,3
2021-05-30,37.803075396825406,2021,5,30,2021-05,3
2021-05-31,37.60726334502743,2021,5,31,2021-05,3
2021-06-01,37.67208924349881,2021,6,1,2021-06,4
2021-06-02,37.86875992063493,2021,6,2,2021-06,4
2021-06-03,43.991765873015865,2021,6,3,2021-06,4
2021-06-04,46.07761624705703,2021,6,4,2021-06,4
2021-06-05,36.58010496183207,2021,6,5,2021-06,4
2021-06-06,37.117675264550265,2021,6,6,2021-06,4
2021-06-07,37.10712259307223,2021,6,7,2021-06,4
2021-06-08,36.973347740222735,2021,6,8,2021-06,4
2021-06-09,37.059052757793765,2021,6,9,2021-06,4
2021-06-10,37.78847901002506,2021,6,10,2021-06,4
2021-06-11,36.19638785240464,2021,6,11,2021-06,4
2021-06-12,35.12130952380952,2021,6,12,2021-06,4
2021-06-13,35.27662363067294,2021,6,13,2021-06,4
2021-06-14,35.121010586635585,2021,6,14,2021-06,4
2021-06-15,38.5280433006536,2021,6,15,2021-06,4
2021-06-16,37.34461152882206,2021,6,16,2021-06,4
2021-06-17,35.91441104749788,2021,6,17,2021-06,4
2021-06-18,41.74816683919944,2021,6,18,2021-06,4
2021-06-19,37.00322115384615,2021,6,19,2021-06,4
2021-06-20,37.649395483613105,2021,6,20,2021-06,4
2021-06-21,37.51295481220657,2021,6,21,2021-06,4
2021-06-22,37.20428564491065,2021,6,22,2021-06,4
2021-06-23,37.725075483091786,2021,6,23,2021-06,4
2021-06-24,38.520138888888894,2021,6,24,2021-06,4
2021-06-25,38.47119092039801,2021,6,25,2021-06,4
2021-06-26,38.791878019323676,2021,6,26,2021-06,4
2021-06-27,39.051480129764805,2021,6,27,2021-06,4
2021-06-28,39.146081711273325,2021,6,28,2021-06,4
2021-06-29,37.885129830917876,2021,6,29,2021-06,4
2021-06-30,37.96943400167085,2021,6,30,2021-06,4
2021-07-01,37.87205882352942,2021,7,1,2021-07,5
2021-07-02,37.66091060250391,2021,7,2,2021-07,5
2021-07-03,39.962551713947995,2021,7,3,2021-07,5
2021-07-04,37.110433663558666,2021,7,4,2021-07,5
2021-07-05,37.33037698412699,2021,7,5,2021-07,5
2021-07-06,37.37930253623189,2021,7,6,2021-07,5
2021-07-07,36.757847222222225,2021,7,7,2021-07,5
2021-07-08,39.37555758313058,2021,7,8,2021-07,5
2021-07-09,39.476164068745,2021,7,9,2021-07,5
2021-07-10,38.97384920634921,2021,7,10,2021-07,5
2021-07-11,36.668745003996804,2021,7,11,2021-07,5
2021-07-12,36.388378267973856,2021,7,12,2021-07,5
2021-07-13,36.42344246031746,2021,7,13,2021-07,5
2021-07-14,36.83365610328639,2021,7,14,2021-07,5
2021-07-15,37.50354166666666,2021,7,15,2021-07,5
2021-07-16,37.74411810776943,2021,7,16,2021-07,5
2021-07-17,37.82607276119403,2021,7,17,2021-07,5
2021-07-18,37.55214860066834,2021,7,18,2021-07,5
2021-07-19,37.248901326699844,2021,7,19,2021-07,5
2021-07-20,37.11931454836132,2021,7,20,2021-07,5
2021-07-21,36.97700785024155,2021,7,21,2021-07,5
2021-07-22,37.010933857808865,2021,7,22,2021-07,5
2021-07-23,37.67639131701632,2021,7,23,2021-07,5
2021-07-24,37.78518681533646,2021,7,24,2021-07,5
2021-07-25,37.70234126984127,2021,7,25,2021-07,5
2021-07-26,37.515649371623205,2021,7,26,2021-07,5
2021-07-27,37.53725398053959,2021,7,27,2021-07,5
2021-07-28,37.47285837388483,2021,7,28,2021-07,5
2021-07-29,38.170585150270355,2021,7,29,2021-07,5
2021-07-30,38.32943993311984,2021,7,30,2021-07,5
2021-07-31,38.972355769230774,2021,7,31,2021-07,5
2021-08-01,41.40627955082743,2021,8,1,2021-08,6
2021-08-02,37.566271374149736,2021,8,2,2021-08,6
2021-08-03,37.47591911764707,2021,8,3,2021-08,6
2021-08-04,37.55085410912617,2021,8,4,2021-08,6
2021-08-05,37.00752958734061,2021,8,5,2021-08,6
2021-08-06,37.11416062801932,2021,8,6,2021-08,6
2021-08-07,37.97027321573398,2021,8,7,2021-08,6
2021-08-08,41.92395833333334,2021,8,8,2021-08,6
2021-08-09,38.82522901891252,2021,8,9,2021-08,6
2021-08-10,37.74270590520591,2021,8,10,2021-08,6
2021-08-11,45.574455060693055,2021,8,11,2021-08,6
2021-08-12,40.79943971659428,2021,8,12,2021-08,6
2021-08-13,45.4281641209943,2021,8,13,2021-08,6
2021-08-14,56.60391828872669,2021,8,14,2021-08,6
2021-08-15,36.86517535971223,2021,8,15,2021-08,6
2021-08-16,39.68669987922705,2021,8,16,2021-08,6
2021-08-17,44.354473920863306,2021,8,17,2021-08,6
2021-08-18,37.803457446808515,2021,8,18,2021-08,6
2021-08-19,36.94057643745144,2021,8,19,2021-08,6
2021-08-20,37.034061771561774,2021,8,20,2021-08,6
2021-08-21,37.54703703703704,2021,8,21,2021-08,6
2021-08-22,36.55788868904876,2021,8,22,2021-08,6
2021-08-23,36.53968023255815,2021,8,23,2021-08,6
2021-08-24,38.546527777777776,2021,8,24,2021-08,6
2021-08-25,38.71558253397282,2021,8,25,2021-08,6
2021-08-26,38.519564859045495,2021,8,26,2021-08,6
2021-08-27,36.44880345723421,2021,8,27,2021-08,6
2021-08-28,36.42159722222222,2021,8,28,2021-08,6
2021-08-29,36.56061507936507,2021,8,29,2021-08,6
2021-08-30,36.526172785547786,2021,8,30,2021-08,6
2021-08-31,36.23692632850242,2021,8,31,2021-08,6
2021-09-01,36.454339300604545,2021,9,1,2021-09,7
2021-09-02,37.95741543557607,2021,9,2,2021-09,7
2021-09-03,41.00661221023181,2021,9,3,2021-09,7
2021-09-04,37.69782608695652,2021,9,4,2021-09,7
2021-09-05,37.80488327423167,2021,9,5,2021-09,7
2021-09-06,37.34881944444445,2021,9,6,2021-09,7
2021-09-07,37.68368055555556,2021,9,7,2021-09,7
2021-09-08,37.96586295648795,2021,9,8,2021-09,7
2021-09-09,37.85157585470087,2021,9,9,2021-09,7
2021-09-10,38.039158374792706,2021,9,10,2021-09,7
2021-09-11,37.79908459595959,2021,9,11,2021-09,7
2021-09-12,37.33644819545823,2021,9,12,2021-09,7
2021-09-13,37.78648788416076,2021,9,13,2021-09,7
2021-09-14,40.304516386890484,2021,9,14,2021-09,7
2021-09-15,37.04409722222223,2021,9,15,2021-09,7
2021-09-16,37.55485133020344,2021,9,16,2021-09,7
2021-09-17,42.68680555555556,2021,9,17,2021-09,7
2021-09-18,37.67772887323944,2021,9,18,2021-09,7
2021-09-19,37.90907738095238,2021,9,19,2021-09,7
2021-09-20,38.144603174603176,2021,9,20,2021-09,7
2021-09-21,39.37914317042607,2021,9,21,2021-09,7
2021-09-22,38.54054330065359,2021,9,22,2021-09,7
2021-09-23,37.69323049194232,2021,9,23,2021-09,7
2021-09-24,37.5986473880597,2021,9,24,2021-09,7
2021-09-25,38.00948597504974,2021,9,25,2021-09,7
2021-09-26,38.19646739130433,2021,9,26,2021-09,7
2021-09-27,37.8872701486698,2021,9,27,2021-09,7
2021-09-28,38.023608682983685,2021,9,28,2021-09,7
2021-09-29,38.18124999999999,2021,9,29,2021-09,7
2021-09-30,38.24787425784563,2021,9,30,2021-09,7
2021-10-01,37.39764423076924,2021,10,1,2021-10,8
2021-10-02,37.8294191919192,2021,10,2,2021-10,8
2021-10-03,37.6501644736842,2021,10,3,2021-10,8
2021-10-04,38.43059640522876,2021,10,4,2021-10,8
2021-10-05,38.161699879227065,2021,10,5,2021-10,8
2021-10-06,37.79213125978091,2021,10,6,2021-10,8
2021-10-07,37.81638791079813,2021,10,7,2021-10,8
2021-10-08,38.397717560217565,2021,10,8,2021-10,8
2021-10-09,38.84569746376811,2021,10,9,2021-10,8
2021-10-10,39.375092426059155,2021,10,10,2021-10,8
2021-10-11,39.176149256651016,2021,10,11,2021-10,8
2021-10-12,38.440118178390236,2021,10,12,2021-10,8
2021-10-13,38.1875035332511,2021,10,13,2021-10,8
2021-10-14,38.021971685716906,2021,10,14,2021-10,8
2021-10-15,38.22806751824817,2021,10,15,2021-10,8
2021-10-16,45.70839982269503,2021,10,16,2021-10,8
2021-10-17,38.14722222222222,2021,10,17,2021-10,8
2021-10-18,37.47441576136406,2021,10,18,2021-10,8
2021-10-19,37.46255223942723,2021,10,19,2021-10,8
2021-10-20,38.04660804776739,2021,10,20,2021-10,8
2021-10-21,39.454887820512816,2021,10,21,2021-10,8
2021-10-22,38.82845232904586,2021,10,22,2021-10,8
2021-10-23,36.14587265866522,2021,10,23,2021-10,8
2021-10-24,35.51447765700484,2021,10,24,2021-10,8
2021-10-25,38.409868392049255,2021,10,25,2021-10,8
2021-10-26,37.772905007892106,2021,10,26,2021-10,8
2021-10-27,37.795626526251525,2021,10,27,2021-10,8
2021-10-28,38.5742790073776,2021,10,28,2021-10,8
2021-10-29,38.66335712898213,2021,10,29,2021-10,8
2021-10-30,39.47845973221423,2021,10,30,2021-10,8
2021-10-31,38.43310363247863,2021,10,31,2021-10,8
2021-11-01,37.996164233877614,2021,11,1,2021-11,9
2021-11-02,38.441214306287335,2021,11,2,2021-11,9
2021-11-03,38.973450456053065,2021,11,3,2021-11,9
2021-11-04,39.160960144927536,2021,11,4,2021-11,9
2021-11-05,38.812712895377125,2021,11,5,2021-11,9
2021-11-06,40.325049603174605,2021,11,6,2021-11,9
2021-11-07,39.41278639497161,2021,11,7,2021-11,9
2021-11-08,42.33373226950356,2021,11,8,2021-11,9
2021-11-09,38.532567948717954,2021,11,9,2021-11,9
2021-11-10,39.468490537240534,2021,11,10,2021-11,9
2021-11-11,38.97708333333333,2021,11,11,2021-11,9
2021-11-12,37.99839914836625,2021,11,12,2021-11,9
2021-11-13,37.093086650082924,2021,11,13,2021-11,9
2021-11-14,38.35877976190476,2021,11,14,2021-11,9
2021-11-15,38.46272824397824,2021,11,15,2021-11,9
2021-11-16,38.53875291375292,2021,11,16,2021-11,9
2021-11-17,38.090054390054384,2021,11,17,2021-11,9
2021-11-18,38.23125,2021,11,18,2021-11,9
2021-11-19,37.91511540767386,2021,11,19,2021-11,9
2021-11-20,38.192582070707076,2021,11,20,2021-11,9
2021-11-21,39.42030982905983,2021,11,21,2021-11,9
2021-11-22,46.097077114427854,2021,11,22,2021-11,9
2021-11-23,40.21114267676767,2021,11,23,2021-11,9
2021-11-24,36.86987458540629,2021,11,24,2021-11,9
2021-11-25,37.2041232638889,2021,11,25,2021-11,9
2021-11-26,37.03635620915033,2021,11,26,2021-11,9
2021-11-27,37.9475339618816,2021,11,27,2021-11,9
2021-11-28,37.915703247261355,2021,11,28,2021-11,9
2021-11-29,38.16751760563381,2021,11,29,2021-11,9
2021-11-30,43.826850940507434,2021,11,30,2021-11,9
2021-12-01,38.66458333333333,2021,12,1,2021-12,10
2021-12-02,37.930034722222224,2021,12,2,2021-12,10
2021-12-03,39.468166797672616,2021,12,3,2021-12,10
2021-12-04,37.942436594202896,2021,12,4,2021-12,10
2021-12-05,38.66659722222222,2021,12,5,2021-12,10
2021-12-06,38.02951895782644,2021,12,6,2021-12,10
2021-12-07,38.064314358372464,2021,12,7,2021-12,10
