Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,27.651175213675213,2021,3,17,2021-03,1
2021-03-18,26.254807692307693,2021,3,18,2021-03,1
2021-03-19,25.703820751897677,2021,3,19,2021-03,1
2021-03-20,26.09508547008547,2021,3,20,2021-03,1
2021-03-21,32.05662393162393,2021,3,21,2021-03,1
2021-03-22,26.430555555555557,2021,3,22,2021-03,1
2021-03-23,25.738782051282048,2021,3,23,2021-03,1
2021-03-24,25.767628205128208,2021,3,24,2021-03,1
2021-03-25,27.17040598290598,2021,3,25,2021-03,1
2021-03-26,25.826650379534993,2021,3,26,2021-03,1
2021-03-27,25.88568376068376,2021,3,27,2021-03,1
2021-03-28,28.591880341880337,2021,3,28,2021-03,1
2021-03-29,26.74679487179487,2021,3,29,2021-03,1
2021-03-30,26.311965811965813,2021,3,30,2021-03,1
2021-03-31,26.439102564102566,2021,3,31,2021-03,1
2021-04-01,26.14155982905983,2021,4,1,2021-04,2
2021-04-02,26.088675213675213,2021,4,2,2021-04,2
2021-04-03,26.227029914529915,2021,4,3,2021-04,2
2021-04-04,32.88087606837607,2021,4,4,2021-04,2
2021-04-05,27.840277777777775,2021,4,5,2021-04,2
2021-04-06,25.77029914529914,2021,4,6,2021-04,2
2021-04-07,25.761752136752136,2021,4,7,2021-04,2
2021-04-08,25.865918803418804,2021,4,8,2021-04,2
2021-04-09,28.649038461538456,2021,4,9,2021-04,2
2021-04-10,25.772435897435898,2021,4,10,2021-04,2
2021-04-11,25.89903846153846,2021,4,11,2021-04,2
2021-04-12,26.03418803418803,2021,4,12,2021-04,2
2021-04-13,27.520833333333336,2021,4,13,2021-04,2
2021-04-14,26.061431623931625,2021,4,14,2021-04,2
2021-04-15,25.989850427350426,2021,4,15,2021-04,2
2021-04-16,25.973824786324787,2021,4,16,2021-04,2
2021-04-17,28.428952991452988,2021,4,17,2021-04,2
2021-04-18,28.114316239316242,2021,4,18,2021-04,2
2021-04-19,26.3125,2021,4,19,2021-04,2
2021-04-20,25.825320512820515,2021,4,20,2021-04,2
2021-04-21,25.553952991452988,2021,4,21,2021-04,2
2021-04-22,25.672542735042732,2021,4,22,2021-04,2
2021-04-23,25.880876068376065,2021,4,23,2021-04,2
2021-04-24,26.079594017094013,2021,4,24,2021-04,2
