Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,38.837009803921575,2021,3,17,2021-03,1
2021-03-18,39.05857843137254,2021,3,18,2021-03,1
2021-03-19,39.033668129256355,2021,3,19,2021-03,1
2021-03-20,38.77226307189542,2021,3,20,2021-03,1
2021-03-21,49.09558823529411,2021,3,21,2021-03,1
2021-03-22,40.100081699346404,2021,3,22,2021-03,1
2021-03-23,40.04154235488023,2021,3,23,2021-03,1
2021-03-24,39.90870098039216,2021,3,24,2021-03,1
2021-03-25,39.80187908496731,2021,3,25,2021-03,1
2021-03-26,40.136642156862735,2021,3,26,2021-03,1
2021-03-27,40.07250816993464,2021,3,27,2021-03,1
2021-03-28,43.92810457516339,2021,3,28,2021-03,1
2021-03-29,40.87642973856209,2021,3,29,2021-03,1
2021-03-30,40.18055555555554,2021,3,30,2021-03,1
2021-03-31,40.11621732026143,2021,3,31,2021-03,1
2021-04-01,39.782883986928105,2021,4,1,2021-04,2
2021-04-02,39.8816644956351,2021,4,2,2021-04,2
2021-04-03,39.6779003267974,2021,4,3,2021-04,2
2021-04-04,41.13316993464053,2021,4,4,2021-04,2
2021-04-05,41.56617647058823,2021,4,5,2021-04,2
2021-04-06,39.234477124183016,2021,4,6,2021-04,2
2021-04-07,39.72160947712418,2021,4,7,2021-04,2
2021-04-08,40.2593954248366,2021,4,8,2021-04,2
2021-04-09,39.89501633986929,2021,4,9,2021-04,2
2021-04-10,39.9234068627451,2021,4,10,2021-04,2
2021-04-11,39.7781862745098,2021,4,11,2021-04,2
2021-04-12,39.74244281045751,2021,4,12,2021-04,2
2021-04-13,41.56557229535171,2021,4,13,2021-04,2
2021-04-14,40.78104575163398,2021,4,14,2021-04,2
2021-04-15,39.56433823529412,2021,4,15,2021-04,2
2021-04-16,40.0827205882353,2021,4,16,2021-04,2
2021-04-17,44.804325780428705,2021,4,17,2021-04,2
2021-04-18,39.57250816993465,2021,4,18,2021-04,2
2021-04-19,39.93729575163398,2021,4,19,2021-04,2
2021-04-20,40.271241830065364,2021,4,20,2021-04,2
2021-04-21,40.2077205882353,2021,4,21,2021-04,2
2021-04-22,40.03125000000001,2021,4,22,2021-04,2
2021-04-23,39.6689133986928,2021,4,23,2021-04,2
2021-04-24,39.938316993464056,2021,4,24,2021-04,2
2021-04-25,40.287581699346404,2021,4,25,2021-04,2
2021-04-26,40.06474673202615,2021,4,26,2021-04,2
2021-04-27,40.120710784313715,2021,4,27,2021-04,2
2021-04-28,39.91380718954248,2021,4,28,2021-04,2
2021-04-29,42.768586601307184,2021,4,29,2021-04,2
2021-04-30,39.501633986928105,2021,4,30,2021-04,2
2021-05-01,42.10389239028945,2021,5,1,2021-05,3
2021-05-02,39.74550653594771,2021,5,2,2021-05,3
2021-05-03,39.91809640522876,2021,5,3,2021-05,3
2021-05-04,39.82904411764704,2021,5,4,2021-05,3
2021-05-05,42.65400326797386,2021,5,5,2021-05,3
2021-05-06,40.233251633986924,2021,5,6,2021-05,3
2021-05-07,42.06740196078431,2021,5,7,2021-05,3
2021-05-08,39.64767156862746,2021,5,8,2021-05,3
2021-05-09,39.85253267973855,2021,5,9,2021-05,3
2021-05-10,39.82639803433811,2021,5,10,2021-05,3
2021-05-11,40.03446614964394,2021,5,11,2021-05,3
2021-05-12,40.40349341490982,2021,5,12,2021-05,3
2021-05-13,40.976154765388735,2021,5,13,2021-05,3
2021-05-14,39.71764275885793,2021,5,14,2021-05,3
2021-05-15,39.77144607843136,2021,5,15,2021-05,3
2021-05-16,40.512663398692816,2021,5,16,2021-05,3
2021-05-17,40.89551471038307,2021,5,17,2021-05,3
2021-05-18,40.92455261962181,2021,5,18,2021-05,3
2021-05-19,43.93260593453068,2021,5,19,2021-05,3
2021-05-20,42.34982192715274,2021,5,20,2021-05,3
2021-05-21,43.50129725313549,2021,5,21,2021-05,3
2021-05-22,40.953227124183,2021,5,22,2021-05,3
2021-05-23,39.66707516339869,2021,5,23,2021-05,3
2021-05-24,41.9451246113332,2021,5,24,2021-05,3
2021-05-25,40.271376950988596,2021,5,25,2021-05,3
2021-05-26,40.33879233511587,2021,5,26,2021-05,3
2021-05-27,45.19464869281045,2021,5,27,2021-05,3
2021-05-28,39.653326330532224,2021,5,28,2021-05,3
2021-05-29,39.60069444444444,2021,5,29,2021-05,3
2021-05-30,40.16360294117647,2021,5,30,2021-05,3
2021-05-31,40.283706929373686,2021,5,31,2021-05,3
2021-06-01,40.82744594235236,2021,6,1,2021-06,4
2021-06-02,40.518382352941174,2021,6,2,2021-06,4
2021-06-03,39.99214139539311,2021,6,3,2021-06,4
2021-06-04,43.80902777777778,2021,6,4,2021-06,4
2021-06-05,39.79187091503269,2021,6,5,2021-06,4
2021-06-06,40.600081699346404,2021,6,6,2021-06,4
2021-06-07,40.68628992477494,2021,6,7,2021-06,4
2021-06-08,41.247710876803545,2021,6,8,2021-06,4
2021-06-09,40.218170376258605,2021,6,9,2021-06,4
2021-06-10,40.09885620915033,2021,6,10,2021-06,4
2021-06-11,39.87908496732025,2021,6,11,2021-06,4
2021-06-12,39.804330065359466,2021,6,12,2021-06,4
2021-06-13,40.07576186068834,2021,6,13,2021-06,4
2021-06-14,40.75000000000001,2021,6,14,2021-06,4
2021-06-15,40.00714869281046,2021,6,15,2021-06,4
2021-06-16,41.621527777777786,2021,6,16,2021-06,4
2021-06-17,39.91687091503268,2021,6,17,2021-06,4
2021-06-18,39.697099673202615,2021,6,18,2021-06,4
2021-06-19,42.61151960784313,2021,6,19,2021-06,4
2021-06-20,39.83190359477124,2021,6,20,2021-06,4
2021-06-21,39.85507668413898,2021,6,21,2021-06,4
2021-06-22,39.55242675978946,2021,6,22,2021-06,4
2021-06-23,39.51096132897603,2021,6,23,2021-06,4
2021-06-24,39.85795582600857,2021,6,24,2021-06,4
2021-06-25,39.72442439096851,2021,6,25,2021-06,4
2021-06-26,39.68974673202614,2021,6,26,2021-06,4
2021-06-27,40.338439542483655,2021,6,27,2021-06,4
2021-06-28,41.217775892408234,2021,6,28,2021-06,4
2021-06-29,41.91661607303473,2021,6,29,2021-06,4
2021-06-30,39.472512667146376,2021,6,30,2021-06,4
