Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,38.33159722222222,2021,3,17,2021-03,1
2021-03-18,38.37152777777778,2021,3,18,2021-03,1
2021-03-19,38.60243055555555,2021,3,19,2021-03,1
2021-03-20,44.95659722222222,2021,3,20,2021-03,1
2021-03-21,41.109375,2021,3,21,2021-03,1
2021-03-22,37.59895833333333,2021,3,22,2021-03,1
2021-03-23,38.22569444444444,2021,3,23,2021-03,1
2021-03-24,38.35069444444444,2021,3,24,2021-03,1
2021-03-25,39.02430555555555,2021,3,25,2021-03,1
2021-03-26,37.967013888888886,2021,3,26,2021-03,1
2021-03-27,38.463541666666664,2021,3,27,2021-03,1
2021-03-28,44.26909722222223,2021,3,28,2021-03,1
2021-03-29,37.40277777777778,2021,3,29,2021-03,1
2021-03-30,38.19097222222222,2021,3,30,2021-03,1
2021-03-31,38.458333333333336,2021,3,31,2021-03,1
2021-04-01,38.248263888888886,2021,4,1,2021-04,2
2021-04-02,37.489583333333336,2021,4,2,2021-04,2
2021-04-03,38.61284722222223,2021,4,3,2021-04,2
2021-04-04,41.33680555555556,2021,4,4,2021-04,2
2021-04-05,36.85416666666667,2021,4,5,2021-04,2
2021-04-06,39.470486111111114,2021,4,6,2021-04,2
2021-04-07,37.890625,2021,4,7,2021-04,2
2021-04-08,38.421875,2021,4,8,2021-04,2
2021-04-09,38.248263888888886,2021,4,9,2021-04,2
2021-04-10,38.255208333333336,2021,4,10,2021-04,2
2021-04-11,38.71006944444444,2021,4,11,2021-04,2
2021-04-12,41.23784722222222,2021,4,12,2021-04,2
2021-04-13,41.35243055555556,2021,4,13,2021-04,2
2021-04-14,37.309027777777786,2021,4,14,2021-04,2
2021-04-15,37.65972222222223,2021,4,15,2021-04,2
2021-04-16,38.68576388888889,2021,4,16,2021-04,2
2021-04-17,43.322916666666664,2021,4,17,2021-04,2
2021-04-18,37.661458333333336,2021,4,18,2021-04,2
2021-04-19,38.189236111111114,2021,4,19,2021-04,2
2021-04-20,38.44965277777778,2021,4,20,2021-04,2
2021-04-21,38.510416666666664,2021,4,21,2021-04,2
2021-04-22,38.70138888888889,2021,4,22,2021-04,2
2021-04-23,38.125,2021,4,23,2021-04,2
2021-04-24,37.796875,2021,4,24,2021-04,2
2021-04-25,38.34375,2021,4,25,2021-04,2
2021-04-26,37.6875,2021,4,26,2021-04,2
2021-04-27,38.482638888888886,2021,4,27,2021-04,2
2021-04-28,39.85590277777778,2021,4,28,2021-04,2
2021-04-29,42.05555555555556,2021,4,29,2021-04,2
2021-04-30,37.97743055555556,2021,4,30,2021-04,2
2021-05-01,39.21180555555556,2021,5,1,2021-05,3
2021-05-02,38.25,2021,5,2,2021-05,3
2021-05-03,38.00868055555555,2021,5,3,2021-05,3
2021-05-04,38.32465277777778,2021,5,4,2021-05,3
2021-05-05,43.84548611111111,2021,5,5,2021-05,3
2021-05-06,37.677083333333336,2021,5,6,2021-05,3
2021-05-07,40.96006944444444,2021,5,7,2021-05,3
2021-05-08,38.21180555555556,2021,5,8,2021-05,3
2021-05-09,38.296875,2021,5,9,2021-05,3
2021-05-10,37.91145833333333,2021,5,10,2021-05,3
2021-05-11,38.61631944444444,2021,5,11,2021-05,3
2021-05-12,43.63368055555556,2021,5,12,2021-05,3
2021-05-13,39.08854166666667,2021,5,13,2021-05,3
2021-05-14,38.38541666666667,2021,5,14,2021-05,3
