Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,47.76498538011696,2021,3,17,2021-03,1
2021-03-18,48.21125730994152,2021,3,18,2021-03,1
2021-03-19,48.13925438596491,2021,3,19,2021-03,1
2021-03-20,51.54020467836258,2021,3,20,2021-03,1
2021-03-21,53.38340643274855,2021,3,21,2021-03,1
2021-03-22,51.03545321637427,2021,3,22,2021-03,1
2021-03-23,47.933479532163744,2021,3,23,2021-03,1
2021-03-24,48.17324561403509,2021,3,24,2021-03,1
2021-03-25,48.199926900584785,2021,3,25,2021-03,1
2021-03-26,48.176169590643276,2021,3,26,2021-03,1
2021-03-27,48.81761695906433,2021,3,27,2021-03,1
2021-03-28,52.289473684210535,2021,3,28,2021-03,1
2021-03-29,48.313230994152036,2021,3,29,2021-03,1
2021-03-30,48.66154970760234,2021,3,30,2021-03,1
2021-03-31,48.69334795321637,2021,3,31,2021-03,1
2021-04-01,48.35562865497076,2021,4,1,2021-04,2
2021-04-02,48.70723684210526,2021,4,2,2021-04,2
2021-04-03,48.46089181286549,2021,4,3,2021-04,2
2021-04-04,53.659356725146196,2021,4,4,2021-04,2
2021-04-05,47.931652046783626,2021,4,5,2021-04,2
2021-04-06,47.5272180305075,2021,4,6,2021-04,2
2021-04-07,48.31432748538011,2021,4,7,2021-04,2
2021-04-08,48.437865497076025,2021,4,8,2021-04,2
2021-04-09,47.95540935672515,2021,4,9,2021-04,2
2021-04-10,48.45614035087719,2021,4,10,2021-04,2
2021-04-11,48.90277777777777,2021,4,11,2021-04,2
2021-04-12,49.290935672514614,2021,4,12,2021-04,2
2021-04-13,48.94334795321638,2021,4,13,2021-04,2
2021-04-14,49.32456140350877,2021,4,14,2021-04,2
2021-04-15,48.554093567251456,2021,4,15,2021-04,2
2021-04-16,48.597953216374265,2021,4,16,2021-04,2
2021-04-17,50.888888888888886,2021,4,17,2021-04,2
2021-04-18,49.369883040935676,2021,4,18,2021-04,2
2021-04-19,48.294225146198826,2021,4,19,2021-04,2
2021-04-20,48.555555555555564,2021,4,20,2021-04,2
2021-04-21,48.94115497076023,2021,4,21,2021-04,2
2021-04-22,48.79788011695907,2021,4,22,2021-04,2
2021-04-23,48.422514619883046,2021,4,23,2021-04,2
2021-04-24,48.779970760233915,2021,4,24,2021-04,2
2021-04-25,48.32236842105262,2021,4,25,2021-04,2
2021-04-26,48.149853801169584,2021,4,26,2021-04,2
2021-04-27,49.56432748538012,2021,4,27,2021-04,2
2021-04-28,49.296052631578945,2021,4,28,2021-04,2
2021-04-29,51.8234649122807,2021,4,29,2021-04,2
2021-04-30,48.82309941520469,2021,4,30,2021-04,2
2021-05-01,50.61988304093567,2021,5,1,2021-05,3
2021-05-02,53.06674933049134,2021,5,2,2021-05,3
2021-05-03,45.22222222222222,2021,5,3,2021-05,3
2021-05-04,45.76352339181286,2021,5,4,2021-05,3
2021-05-05,48.50840643274854,2021,5,5,2021-05,3
2021-05-06,48.15128256246678,2021,5,6,2021-05,3
2021-05-07,48.822733918128655,2021,5,7,2021-05,3
2021-05-08,48.60891812865498,2021,5,8,2021-05,3
2021-05-09,48.573830409356724,2021,5,9,2021-05,3
2021-05-10,49.314327485380105,2021,5,10,2021-05,3
2021-05-11,48.736067660409766,2021,5,11,2021-05,3
2021-05-12,49.16374269005847,2021,5,12,2021-05,3
2021-05-13,48.660453216374265,2021,5,13,2021-05,3
2021-05-14,49.55884502923977,2021,5,14,2021-05,3
2021-05-15,50.58552631578948,2021,5,15,2021-05,3
2021-05-16,49.93823099415205,2021,5,16,2021-05,3
2021-05-17,55.53216374269006,2021,5,17,2021-05,3
2021-05-18,48.11659356725146,2021,5,18,2021-05,3
2021-05-19,48.135964912280706,2021,5,19,2021-05,3
2021-05-20,55.32638888888889,2021,5,20,2021-05,3
2021-05-21,50.248538011695906,2021,5,21,2021-05,3
2021-05-22,47.9752024291498,2021,5,22,2021-05,3
2021-05-23,48.23062865497076,2021,5,23,2021-05,3
2021-05-24,51.658625730994146,2021,5,24,2021-05,3
2021-05-25,48.16447368421053,2021,5,25,2021-05,3
2021-05-26,48.238304093567244,2021,5,26,2021-05,3
2021-05-27,53.38084795321638,2021,5,27,2021-05,3
2021-05-28,49.318393271504924,2021,5,28,2021-05,3
2021-05-29,34.629751461988306,2021,5,29,2021-05,3
