Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,59.31666666666668,2021,3,17,2021-03,1
2021-03-18,58.725080012077285,2021,3,18,2021-03,1
2021-03-19,58.715948901326705,2021,3,19,2021-03,1
2021-03-20,64.75815972222225,2021,3,20,2021-03,1
2021-03-21,59.02638888888888,2021,3,21,2021-03,1
2021-03-22,58.023437499999986,2021,3,22,2021-03,1
2021-03-23,58.04126984126983,2021,3,23,2021-03,1
2021-03-24,58.52986111111111,2021,3,24,2021-03,1
2021-03-25,59.02690972222223,2021,3,25,2021-03,1
2021-03-26,58.31197916666666,2021,3,26,2021-03,1
2021-03-27,58.68420138888888,2021,3,27,2021-03,1
2021-03-28,63.846875000000026,2021,3,28,2021-03,1
2021-03-29,58.38472222222221,2021,3,29,2021-03,1
2021-03-30,59.44809027777777,2021,3,30,2021-03,1
2021-03-31,59.117013888888906,2021,3,31,2021-03,1
2021-04-01,58.79131944444445,2021,4,1,2021-04,2
2021-04-02,58.582812500000024,2021,4,2,2021-04,2
2021-04-03,58.1984375,2021,4,3,2021-04,2
2021-04-04,59.39357638888889,2021,4,4,2021-04,2
2021-04-05,58.092708333333334,2021,4,5,2021-04,2
2021-04-06,58.29409722222223,2021,4,6,2021-04,2
2021-04-07,58.43229166666667,2021,4,7,2021-04,2
2021-04-08,59.02725694444443,2021,4,8,2021-04,2
2021-04-09,58.924652777777794,2021,4,9,2021-04,2
2021-04-10,58.5423611111111,2021,4,10,2021-04,2
2021-04-11,58.23072916666668,2021,4,11,2021-04,2
2021-04-12,59.76642214397498,2021,4,12,2021-04,2
2021-04-13,60.67048611111111,2021,4,13,2021-04,2
2021-04-14,58.180729166666666,2021,4,14,2021-04,2
2021-04-15,58.511631944444446,2021,4,15,2021-04,2
2021-04-16,58.89427083333332,2021,4,16,2021-04,2
2021-04-17,64.25972222222225,2021,4,17,2021-04,2
2021-04-18,58.19548611111111,2021,4,18,2021-04,2
2021-04-19,58.45486111111111,2021,4,19,2021-04,2
2021-04-20,58.27222222222222,2021,4,20,2021-04,2
2021-04-21,58.35069444444444,2021,4,21,2021-04,2
2021-04-22,58.64444444444443,2021,4,22,2021-04,2
2021-04-23,58.57013888888889,2021,4,23,2021-04,2
2021-04-24,58.567708333333336,2021,4,24,2021-04,2
2021-04-25,59.00850694444445,2021,4,25,2021-04,2
2021-04-26,58.95833333333333,2021,4,26,2021-04,2
2021-04-27,58.575520833333314,2021,4,27,2021-04,2
2021-04-28,60.3717013888889,2021,4,28,2021-04,2
2021-04-29,62.60451388888888,2021,4,29,2021-04,2
2021-04-30,58.48576388888889,2021,4,30,2021-04,2
2021-05-01,58.93169556138305,2021,5,1,2021-05,3
2021-05-02,58.20590277777778,2021,5,2,2021-05,3
2021-05-03,58.12239583333333,2021,5,3,2021-05,3
2021-05-04,58.55763888888889,2021,5,4,2021-05,3
2021-05-05,63.01215277777779,2021,5,5,2021-05,3
2021-05-06,57.8734375,2021,5,6,2021-05,3
2021-05-07,60.94375,2021,5,7,2021-05,3
2021-05-08,59.208854166666676,2021,5,8,2021-05,3
2021-05-09,58.399305555555564,2021,5,9,2021-05,3
2021-05-10,58.660069444444424,2021,5,10,2021-05,3
2021-05-11,62.80173611111113,2021,5,11,2021-05,3
2021-05-12,62.53593749999999,2021,5,12,2021-05,3
2021-05-13,58.163541666666674,2021,5,13,2021-05,3
2021-05-14,59.70295138888888,2021,5,14,2021-05,3
2021-05-15,60.12065972222223,2021,5,15,2021-05,3
2021-05-16,57.10902777777778,2021,5,16,2021-05,3
2021-05-17,62.37343750000002,2021,5,17,2021-05,3
2021-05-18,61.04982638888887,2021,5,18,2021-05,3
2021-05-19,61.662847222222204,2021,5,19,2021-05,3
2021-05-20,60.82916911189359,2021,5,20,2021-05,3
2021-05-21,63.561944933489826,2021,5,21,2021-05,3
2021-05-22,57.79826388888888,2021,5,22,2021-05,3
2021-05-23,57.86875000000001,2021,5,23,2021-05,3
2021-05-24,62.02951388888889,2021,5,24,2021-05,3
2021-05-25,57.510416666666664,2021,5,25,2021-05,3
2021-05-26,59.759375,2021,5,26,2021-05,3
2021-05-27,63.99531250000001,2021,5,27,2021-05,3
2021-05-28,58.05295138888888,2021,5,28,2021-05,3
2021-05-29,58.391840277777746,2021,5,29,2021-05,3
2021-05-30,58.62916666666668,2021,5,30,2021-05,3
2021-05-31,58.60590277777779,2021,5,31,2021-05,3
2021-06-01,58.619365530303035,2021,6,1,2021-06,4
2021-06-02,59.58193938781015,2021,6,2,2021-06,4
2021-06-03,65.01858822601011,2021,6,3,2021-06,4
2021-06-04,62.623548873165625,2021,6,4,2021-06,4
2021-06-05,58.98559027777776,2021,6,5,2021-06,4
2021-06-06,58.089537198912225,2021,6,6,2021-06,4
2021-06-07,57.753997064256495,2021,6,7,2021-06,4
2021-06-08,57.86525297619047,2021,6,8,2021-06,4
2021-06-09,58.29649502096434,2021,6,9,2021-06,4
2021-06-10,58.22222222222223,2021,6,10,2021-06,4
2021-06-11,58.44805918325041,2021,6,11,2021-06,4
2021-06-12,58.45798611111113,2021,6,12,2021-06,4
2021-06-13,57.712326388888904,2021,6,13,2021-06,4
2021-06-14,57.94815938511327,2021,6,14,2021-06,4
2021-06-15,60.43107492037383,2021,6,15,2021-06,4
2021-06-16,62.14067043094498,2021,6,16,2021-06,4
2021-06-17,57.67105113636363,2021,6,17,2021-06,4
2021-06-18,58.45496008566979,2021,6,18,2021-06,4
2021-06-19,58.9065972222222,2021,6,19,2021-06,4
2021-06-20,58.64930555555554,2021,6,20,2021-06,4
2021-06-21,58.70987586037366,2021,6,21,2021-06,4
2021-06-22,58.85209789789792,2021,6,22,2021-06,4
2021-06-23,58.98246527777775,2021,6,23,2021-06,4
2021-06-24,58.611426767676775,2021,6,24,2021-06,4
2021-06-25,58.7016674991675,2021,6,25,2021-06,4
2021-06-26,59.56667030885781,2021,6,26,2021-06,4
2021-06-27,60.923090277777774,2021,6,27,2021-06,4
2021-06-28,61.94791504413289,2021,6,28,2021-06,4
2021-06-29,58.56597549790356,2021,6,29,2021-06,4
2021-06-30,58.52013888888888,2021,6,30,2021-06,4
2021-07-01,60.06250000000002,2021,7,1,2021-07,5
2021-07-02,58.62727029914529,2021,7,2,2021-07,5
2021-07-03,58.829166666666666,2021,7,3,2021-07,5
2021-07-04,56.89861111111112,2021,7,4,2021-07,5
2021-07-05,56.98720734126986,2021,7,5,2021-07,5
2021-07-06,57.180902777777774,2021,7,6,2021-07,5
2021-07-07,57.291533816425115,2021,7,7,2021-07,5
2021-07-08,58.176016865079376,2021,7,8,2021-07,5
2021-07-09,58.79941104963111,2021,7,9,2021-07,5
2021-07-10,64.11891991725767,2021,7,10,2021-07,5
2021-07-11,57.18940972222223,2021,7,11,2021-07,5
2021-07-12,57.27777777777775,2021,7,12,2021-07,5
2021-07-13,57.33954569735819,2021,7,13,2021-07,5
2021-07-14,57.28534503690755,2021,7,14,2021-07,5
2021-07-15,57.70053305946793,2021,7,15,2021-07,5
2021-07-16,57.767881944444454,2021,7,16,2021-07,5
2021-07-17,58.28628472222222,2021,7,17,2021-07,5
2021-07-18,57.55371919014085,2021,7,18,2021-07,5
2021-07-19,57.02926014957264,2021,7,19,2021-07,5
2021-07-20,57.16312003968254,2021,7,20,2021-07,5
2021-07-21,57.507118055555566,2021,7,21,2021-07,5
2021-07-22,57.69045138888887,2021,7,22,2021-07,5
2021-07-23,57.908333333333324,2021,7,23,2021-07,5
2021-07-24,57.94045138888889,2021,7,24,2021-07,5
2021-07-25,58.109375,2021,7,25,2021-07,5
2021-07-26,58.28403511345853,2021,7,26,2021-07,5
2021-07-27,58.733159722222226,2021,7,27,2021-07,5
2021-07-28,59.044270833333336,2021,7,28,2021-07,5
2021-07-29,59.08350694444446,2021,7,29,2021-07,5
2021-07-30,59.03368055555554,2021,7,30,2021-07,5
2021-07-31,59.24774305555553,2021,7,31,2021-07,5
2021-08-01,60.388020833333336,2021,8,1,2021-08,6
2021-08-02,58.062326388888906,2021,8,2,2021-08,6
2021-08-03,57.872916666666654,2021,8,3,2021-08,6
2021-08-04,57.94583333333334,2021,8,4,2021-08,6
2021-08-05,58.33211805555553,2021,8,5,2021-08,6
2021-08-06,59.06666666666665,2021,8,6,2021-08,6
2021-08-07,59.19045138888888,2021,8,7,2021-08,6
2021-08-08,64.5404513888889,2021,8,8,2021-08,6
2021-08-09,59.83645833333334,2021,8,9,2021-08,6
2021-08-10,57.74947916666666,2021,8,10,2021-08,6
2021-08-11,63.01284722222223,2021,8,11,2021-08,6
2021-08-12,57.88645833333334,2021,8,12,2021-08,6
2021-08-13,59.18972760172144,2021,8,13,2021-08,6
2021-08-14,57.89826388888889,2021,8,14,2021-08,6
2021-08-15,61.5204861111111,2021,8,15,2021-08,6
2021-08-16,59.00347222222221,2021,8,16,2021-08,6
2021-08-17,63.72455741392802,2021,8,17,2021-08,6
2021-08-18,62.71111111111112,2021,8,18,2021-08,6
2021-08-19,57.40798611111112,2021,8,19,2021-08,6
2021-08-20,59.26545138888888,2021,8,20,2021-08,6
2021-08-21,57.07326388888888,2021,8,21,2021-08,6
2021-08-22,57.128298611111106,2021,8,22,2021-08,6
2021-08-23,57.42118055555555,2021,8,23,2021-08,6
2021-08-24,57.256944444444436,2021,8,24,2021-08,6
2021-08-25,57.136631944444446,2021,8,25,2021-08,6
2021-08-26,57.25034722222223,2021,8,26,2021-08,6
2021-08-27,57.5269890873016,2021,8,27,2021-08,6
2021-08-28,57.810590277777784,2021,8,28,2021-08,6
2021-08-29,57.93923611111111,2021,8,29,2021-08,6
2021-08-30,58.01214285714286,2021,8,30,2021-08,6
2021-08-31,58.29487044817925,2021,8,31,2021-08,6
2021-09-01,58.368448464912284,2021,9,1,2021-09,7
2021-09-02,58.43197115384614,2021,9,2,2021-09,7
2021-09-03,58.408506944444426,2021,9,3,2021-09,7
2021-09-04,58.94427083333335,2021,9,4,2021-09,7
